Dates,Volume,Price
2016-01-01,0.0,1.735e-05
2016-01-02,0.0,1.723e-05
2016-01-03,6.49,1.5164999999999998e-05
2016-01-04,0.0,1.294e-05
2016-01-05,0.0,1.292e-05
2016-01-06,0.0,1.371e-05
2016-01-07,0.0,1.359e-05
2016-01-08,280.48,1.3449999999999998e-05
2016-01-09,0.7586,1.562e-05
2016-01-10,0.0,1.791e-05
2016-01-11,0.0,1.78e-05
2016-01-12,21.48,1.0804999999999999e-05
2016-01-13,10.3,8.58e-06
2016-01-14,30.5,1.117e-05
2016-01-15,0.842,1.155e-05
2016-01-16,0.03824,1.147e-05
2016-01-17,0.8991,9.610000000000001e-06
2016-01-18,0.0,7.59e-06
2016-01-19,7.13,1.0365e-05
2016-01-20,0.4062,1.231e-05
2016-01-21,0.0,1.148e-05
2016-01-22,0.0,1.166e-05
2016-01-23,0.0,1.206e-05
2016-01-24,2.3,7.855e-06
2016-01-25,23.25,9.745e-06
2016-01-26,145.89,2.27125e-05
2016-01-27,54.81,2.46825e-05
2016-01-28,64.81,2.567e-05
2016-01-29,48.8,2.54975e-05
2016-01-30,180.5,2.404e-05
2016-01-31,13.6,2.233e-05
2016-02-01,29.86,1.87e-05
2016-02-02,8.15,1.748e-05
2016-02-03,0.0,1.953e-05
2016-02-04,28.07,2.1255e-05
2016-02-05,127.52,2.26025e-05
2016-02-06,0.03834,2.268e-05
2016-02-07,1.42,2.2355e-05
2016-02-08,1.09,2.4395e-05
2016-02-09,179.93,2.5775e-05
2016-02-10,45.69,2.8460000000000002e-05
2016-02-11,2031.68,3.6479999999999996e-05
2016-02-12,758.97,4.681e-05
2016-02-13,26.23,4.0555e-05
2016-02-14,5.33,4.011e-05
2016-02-15,335.44,4.3690000000000004e-05
2016-02-16,449.3,5.84025e-05
2016-02-17,7565.64,0.00010008749999999999
2016-02-18,5195.24,0.0001554
2016-02-19,4718.4,0.00017710000000000002
2016-02-20,1141.22,0.000140125
2016-02-21,1192.5,0.00014225000000000002
2016-02-22,272.73,0.000117595
2016-02-23,166.05,9.8265e-05
2016-02-24,51.18,7.72875e-05
2016-02-25,15.54,6.196e-05
2016-02-26,268.94,4.5285e-05
2016-02-27,8.01,3.8925e-05
2016-02-28,176.48,3.926e-05
2016-02-29,1.3,4.34e-05
2016-03-01,3.62,4.254e-05
2016-03-02,12.69,4.196e-05
2016-03-03,622.32,2.3545e-05
2016-03-04,170.74,1.6957499999999998e-05
2016-03-05,326.67,2.2329999999999998e-05
2016-03-06,276.46,2.3852500000000002e-05
2016-03-07,126.62,2.883e-05
2016-03-08,117.43,2.78625e-05
2016-03-09,114.48,3.015e-05
2016-03-10,121.86,3.03875e-05
2016-03-11,17.91,2.6675e-05
2016-03-12,4.82,2.6805e-05
2016-03-13,241.35,3.10725e-05
2016-03-14,1052.03,4.0475e-05
2016-03-15,45.28,4.6790000000000004e-05
2016-03-16,20.58,4.3905e-05
2016-03-17,24.55,3.77525e-05
2016-03-18,4.16,3.8824999999999995e-05
2016-03-19,2.46,3.9095e-05
2016-03-20,301.44,3.5972499999999995e-05
2016-03-21,11.01,3.746e-05
2016-03-22,98.71,3.5445e-05
2016-03-23,49.12,3.5255e-05
2016-03-24,49.78,3.9492499999999995e-05
2016-03-25,4.29,4.165e-05
2016-03-26,0.0,4.246e-05
2016-03-27,0.0,4.222e-05
2016-03-28,0.0,4.15e-05
2016-03-29,0.0,4.124e-05
2016-03-30,0.0,4.157e-05
2016-03-31,0.0,4.156e-05
2016-04-01,0.0,4.185e-05
2016-04-02,0.0,4.191e-05
2016-04-03,0.0,4.193e-05
2016-04-04,0.0,4.221e-05
2016-04-05,0.0,4.213e-05
2016-04-06,0.0,4.201e-05
2016-04-07,0.0,4.177e-05
2016-04-08,0.0,4.18e-05
2016-04-09,0.0,4.202e-05
2016-04-10,0.0,4.214e-05
2016-04-11,0.0,4.247e-05
2016-04-12,0.0,4.235e-05
2016-04-13,0.0,4.24e-05
2016-04-14,0.0,4.287e-05
2016-04-15,0.0,4.3e-05
2016-04-16,0.0,4.263e-05
2016-04-17,0.0,4.277e-05
2016-04-18,0.0,4.349e-05
2016-04-19,0.0,4.412e-05
2016-04-20,0.0,4.493e-05
2016-04-21,0.0,4.453e-05
2016-04-22,0.0,4.501e-05
2016-04-23,0.0,4.576e-05
2016-04-24,0.0,4.617e-05
2016-04-25,0.0,4.66e-05
2016-04-26,0.0,4.47e-05
2016-04-27,0.0,4.485e-05
2016-04-28,0.0,4.55e-05
2016-04-29,0.0,4.485e-05
2016-04-30,0.0,4.522e-05
2016-05-01,0.0,4.442e-05
2016-05-02,0.0,4.503e-05
2016-05-03,0.0,4.458e-05
2016-05-04,0.0,4.481e-05
2016-05-05,0.0,4.596e-05
2016-05-06,0.0,4.585e-05
2016-05-07,0.0,4.579e-05
2016-05-08,0.0,4.604e-05
2016-05-09,0.0,4.494e-05
2016-05-10,0.0,4.525e-05
2016-05-11,0.0,4.544e-05
2016-05-12,0.0,4.554e-05
2016-05-13,0.0,4.564e-05
2016-05-14,0.0,4.581e-05
2016-05-15,0.0,4.549e-05
2016-05-16,0.0,4.532e-05
2016-05-17,0.0,4.542e-05
2016-05-18,0.0,4.427e-05
2016-05-19,0.0,4.421e-05
2016-05-20,0.0,4.436e-05
2016-05-21,0.0,4.396e-05
2016-05-22,0.0,4.437e-05
2016-05-23,0.0,4.461e-05
2016-05-24,0.0,4.498e-05
2016-05-25,0.0,4.533e-05
2016-05-26,0.0,4.74e-05
2016-05-27,0.0,5.242e-05
2016-05-28,0.0,5.16e-05
2016-05-29,0.0,5.323e-05
2016-05-30,0.0,5.289e-05
2016-05-31,0.0,5.374e-05
2016-06-01,0.0,5.371e-05
2016-06-02,0.0,5.67e-05
2016-06-03,0.0,5.72e-05
2016-06-04,0.0,5.749e-05
2016-06-05,0.0,5.836e-05
2016-06-06,0.0,5.756e-05
2016-06-07,0.0,5.805e-05
2016-06-08,0.0,5.747e-05
2016-06-09,0.0,5.779e-05
2016-06-10,0.0,5.916e-05
2016-06-11,0.0,6.665e-05
2016-06-12,0.0,7.001e-05
2016-06-13,0.0,6.851e-05
