Dates,Volume,Price
2017-11-14,285151.54,0.7720750000000001
2017-11-15,1336536.94,0.81995
2017-11-16,1855497.66,0.696375
2017-11-17,3380892.88,0.720275
2017-11-18,10403353.2,0.832575
2017-11-19,27718185.5,0.8650749999999999
2017-11-20,1492349.15,0.778275
2017-11-21,1128803.25,0.7049
2017-11-22,651700.32,0.62245
2017-11-23,862981.33,0.5887749999999999
2017-11-24,491710.64,0.610175
2017-11-25,506954.02,0.6554749999999999
2017-11-26,556010.85,0.6664
2017-11-27,373730.37,0.606
2017-11-28,517511.27,0.525775
2017-11-29,417232.51,0.4925
2017-11-30,250893.56,0.5374
2017-12-01,175701.08,0.517775
2017-12-02,340796.25,0.535825
2017-12-03,1612546.19,0.683775
2017-12-04,1677380.1,0.785175
2017-12-05,1783991.19,0.935075
2017-12-06,3041687.49,1.096775
2017-12-07,1187591.25,0.872475
2017-12-08,501434.86,0.828775
2017-12-09,471039.23,0.808175
2017-12-10,422732.14,0.825225
2017-12-11,628368.73,0.805725
2017-12-12,1065486.55,0.810225
2017-12-13,1305091.38,0.9718500000000001
2017-12-14,853616.22,0.9971500000000001
2017-12-15,2294902.45,1.1449999999999998
2017-12-16,1701568.32,1.1324999999999998
2017-12-17,2910019.47,1.1925
2017-12-18,3111073.3,1.2
2017-12-19,1628750.06,1.0499500000000002
2017-12-20,1897283.29,1.07055
2017-12-21,766730.35,0.94165
2017-12-22,11095726.71,1.408575
2017-12-23,7552411.41,1.7475
2017-12-24,2204667.79,1.8224999999999998
2017-12-25,2122093.95,1.83
2017-12-26,4737370.49,1.935
2017-12-27,2919045.07,2.1599999999999997
2017-12-28,2466762.03,2.23
2017-12-29,2107372.97,2.0324999999999998
2017-12-30,1369036.25,2.3649999999999998
2017-12-31,1403906.2,2.2325
2018-01-01,1704036.39,2.4025
2018-01-02,7561008.46,3.0124999999999997
2018-01-03,7118636.77,3.87
2018-01-04,10734924.28,4.855
2018-01-05,12222208.77,5.7225
2018-01-06,13397487.99,6.675000000000001
2018-01-07,10587000.42,6.67
2018-01-08,10276881.28,7.039999999999999
2018-01-09,10677625.77,8.2075
2018-01-10,7844823.48,7.0175
2018-01-11,5859624.04,6.9625
2018-01-12,4042052.65,6.465
2018-01-13,10216901.15,6.1475
2018-01-14,5166808.05,5.5975
2018-01-15,5628354.52,4.0625
2018-01-16,6088230.25,4.255000000000001
2018-01-17,7167951.59,5.1175
2018-01-18,3750353.93,5.41
2018-01-19,4419736.02,5.4975
2018-01-20,2654517.31,4.63
2018-01-21,2474934.67,4.3149999999999995
2018-01-22,1751617.62,4.335
2018-01-23,1529472.31,4.6475
2018-01-24,1922553.89,4.615
2018-01-25,2219772.21,4.5825
2018-01-26,1615056.21,4.835
2018-01-27,1989869.05,4.9475
2018-01-28,1430849.97,4.54
2018-01-29,1788107.74,3.9774999999999996
2018-01-30,1663900.77,4.1175
2018-01-31,1576052.05,3.5
2018-02-01,1461319.97,3.0749999999999997
2018-02-02,1089946.11,3.3225
2018-02-03,697605.34,2.885
2018-02-04,1013248.5,2.1149999999999998
2018-02-05,2607804.65,2.1550000000000002
2018-02-06,1986309.76,2.6500000000000004
2018-02-07,260257.53,2.95
2018-02-08,2385879.38,3.1075
2018-02-09,2825943.47,2.69
2018-02-10,2856760.98,2.325
2018-02-11,2739786.18,2.43
2018-02-12,985209.59,2.3125
2018-02-13,1643930.39,2.6325
2018-02-14,7585774.31,3.0075000000000003
2018-02-15,3016798.34,3.165
2018-02-16,2610220.54,3.5125
2018-02-17,1506573.07,3.25
2018-02-18,1727230.43,3.34
2018-02-19,2423026.32,3.005
2018-02-20,1986375.56,2.5625
2018-02-21,2021746.41,2.4800000000000004
2018-02-22,1335352.84,2.5675000000000003
2018-02-23,1177838.86,2.4875
2018-02-24,7567669.15,2.7950000000000004
2018-02-25,3016518.19,2.9675
2018-02-26,2227302.42,2.8425000000000002
2018-02-27,1494077.08,2.7075
2018-02-28,1515444.16,2.7775
2018-03-01,4349211.94,3.0250000000000004
2018-03-02,5811026.64,3.4175
2018-03-03,3606840.3,3.5475
2018-03-04,79666.52,3.4675
