Dates,Volume,Price
2018-01-23,88441.4,0.10803499999999999
2018-01-24,2549344.46,5231850.1203
2018-01-25,1781835.97,1310725.1347
2018-01-26,2037490.72,1.043475
2018-01-27,1606193.04,320211.12189999997
2018-01-28,987295.53,0.37805
2018-01-29,1779303.53,1329687.6916125
2018-01-30,988853.62,0.378675
2018-01-31,463181.48,38482.367425
2018-02-01,392756.54,1527.7986
2018-02-02,522054.16,2259700.14535
2018-02-03,476658.66,0.2571
2018-02-04,239731.59,0.17775000000000002
2018-02-05,369593.96,585395.8289249999
2018-02-06,110517.7,0.16578
2018-02-07,121306.71,0.2158
2018-02-08,0.0,0.2188
2018-02-09,0.0,0.212
2018-02-10,0.0,0.2022
2018-02-11,0.0,0.2156
2018-02-12,0.0,0.2096
2018-02-13,0.0,0.2293
2018-02-14,0.0,0.2312
2018-02-15,0.0,0.2338
2018-02-16,0.0,0.2429
2018-02-17,0.0,0.2277
2018-02-18,0.0,0.2342
2018-02-19,0.0,0.2207
2018-02-20,0.0,0.2094
2018-02-21,0.0,0.2005
2018-02-22,0.0,0.213
2018-02-23,0.0,0.2077
2018-02-24,0.0,0.2094
2018-02-25,0.0,0.2162
2018-02-26,0.0,0.2172
2018-02-27,0.0,0.2122
2018-02-28,9096.54,0.18725
2018-03-01,38083.08,0.1939
2018-03-02,32153.43,0.22125
2018-03-03,18155.28,0.26895
2018-03-04,122.59,0.2328
