Dates,Volume,Price
2017-12-28,132566.8,0.5469250000000001
2017-12-29,73063.13,0.5156499999999999
2017-12-30,0.0,0.5536
2017-12-31,200296.73,0.5367
2018-01-01,453525.35,0.66035
2018-01-02,1837880.99,1.205525
2018-01-03,2057021.37,1.75
2018-01-04,1808403.98,1.8025
2018-01-05,7177556.87,2.355
2018-01-06,9344184.98,3.575
2018-01-07,3662108.47,3.53
2018-01-08,3913111.29,3.4299999999999997
2018-01-09,4155871.75,3.715
2018-01-10,2613516.94,2.9425
2018-01-11,2663969.41,3.1399999999999997
2018-01-12,3385070.5,2.7249999999999996
2018-01-13,1668131.83,2.23
2018-01-14,1903074.09,1.9325
2018-01-15,1258114.26,1.4125
2018-01-16,1350007.53,1.3775
2018-01-17,1293358.65,1.6374999999999997
2018-01-18,571836.97,1.6525
2018-01-19,1387560.24,1.7325000000000002
2018-01-20,608475.22,1.5425
2018-01-21,605009.64,1.3175
2018-01-22,472025.43,1.3250000000000002
2018-01-23,573710.14,1.3524999999999998
2018-01-24,670758.37,1.19
2018-01-25,574851.8,1.23
2018-01-26,702961.24,1.3425
2018-01-27,642773.69,1.2575
2018-01-28,642749.75,1.089275
2018-01-29,655354.02,0.919475
2018-01-30,850036.3,0.88375
2018-01-31,1031653.5,0.9248
2018-02-01,1303071.32,0.8120249999999999
2018-02-02,620071.68,0.7804
2018-02-03,386788.68,0.615975
2018-02-04,596165.44,0.430325
2018-02-05,487771.62,0.462025
2018-02-06,368190.56,0.47745000000000004
2018-02-07,285105.23,0.5735
2018-02-08,1383595.69,0.8416750000000001
2018-02-09,2284248.38,1.120675
2018-02-10,972432.95,0.98025
2018-02-11,825848.29,1.041575
2018-02-12,419060.66,0.9319999999999999
2018-02-13,502661.38,0.928225
2018-02-14,537592.47,0.953725
2018-02-15,569555.74,1.0395750000000001
2018-02-16,1125493.43,1.285
2018-02-17,494904.15,1.2650000000000001
2018-02-18,696323.28,1.4375
2018-02-19,1767876.72,1.5875000000000001
2018-02-20,969693.75,1.49
2018-02-21,620589.36,1.415
2018-02-22,458711.45,1.5
2018-02-23,365240.1,1.4349999999999998
2018-02-24,392116.23,1.33
2018-02-25,380581.6,1.4075000000000002
2018-02-26,409978.77,1.425
2018-02-27,458667.78,1.3775
2018-02-28,670207.69,1.4825
2018-03-01,235054.37,1.42
2018-03-02,515224.27,1.335
2018-03-03,345842.67,1.2775
2018-03-04,5460.04,1.2974999999999999
