Dates,Volume,Price
2017-05-25,19.93,2.245e-05
2017-05-26,41.47,2.052e-05
2017-05-27,2568.56,2.189e-05
2017-05-28,552.78,2.278e-05
2017-05-29,4.02,2.193e-05
2017-05-30,60.7,2.303e-05
2017-05-31,23.3,2.413e-05
2017-06-01,37.13,2.493e-05
2017-06-02,23.24,2.545e-05
2017-06-03,3.18,2.524e-05
2017-06-04,16.5,2.705e-05
2017-06-05,1.67,2.871e-05
2017-06-06,133.57,2.692e-05
2017-06-07,20.92,2.799e-05
2017-06-08,94.73,2.811e-05
2017-06-09,66.09,2.9e-05
2017-06-10,44.74,2.973e-05
2017-06-11,91.79,2.657e-05
2017-06-12,41.61,2.713e-05
2017-06-13,11.22,2.467e-05
2017-06-14,43.47,2.442e-05
2017-06-15,269.2,2.509e-05
2017-06-16,605.37,2.655e-05
2017-06-17,55.82,2.54e-05
2017-06-18,36.07,2.617e-05
2017-06-19,10.64,2.754e-05
2017-06-20,31.02,2.678e-05
2017-06-21,85.11,2.723e-05
2017-06-22,19.08,2.71e-05
2017-06-23,42.01,2.59e-05
2017-06-24,61.08,2.542e-05
2017-06-25,5.87,2.446e-05
2017-06-26,38.53,2.584e-05
2017-06-27,27.13,2.578e-05
2017-06-28,47.7,2.558e-05
2017-06-29,67.06,2.481e-05
2017-06-30,4.44,2.425e-05
2017-07-01,1.5,2.536e-05
2017-07-02,120.85,2.572e-05
2017-07-03,54.66,2.617e-05
2017-07-04,26.86,2.628e-05
2017-07-05,113.94,2.614e-05
2017-07-06,9.24,2.514e-05
2017-07-07,22.95,2.565e-05
2017-07-08,11.12,2.511e-05
2017-07-09,3.19,2.344e-05
2017-07-10,576.01,2.324e-05
2017-07-11,197.48,2.403e-05
2017-07-12,184.75,2.362e-05
2017-07-13,80.87,2.234e-05
2017-07-14,12.42,1.975e-05
2017-07-15,4.11,1.914e-05
2017-07-16,849.5,2.233e-05
2017-07-17,124.35,2.32e-05
2017-07-18,60.36,2.283e-05
2017-07-19,23.79,2.866e-05
2017-07-20,15.54,2.675e-05
2017-07-21,61.46,2.837e-05
2017-07-22,105.1,2.757e-05
2017-07-23,4.91,2.763e-05
2017-07-24,19.73,2.583e-05
2017-07-25,102.61,2.559e-05
2017-07-26,123.21,2.692e-05
2017-07-27,38.32,2.807e-05
2017-07-28,1.64,2.734e-05
2017-07-29,10.71,2.766e-05
2017-07-30,79.56,2.883e-05
