Dates,Volume,Price
2017-07-20,926598.56,6.355
2017-07-21,750168.47,5.842499999999999
2017-07-22,481818.18,6.4125
2017-07-23,430786.09,6.967499999999999
2017-07-24,286040.03,6.1025
2017-07-25,129290.1,5.785
2017-07-26,83415.61,5.8425
2017-07-27,173594.89,5.697500000000001
2017-07-28,65236.91,5.194999999999999
2017-07-29,67559.73,5.375
2017-07-30,148583.37,5.4025
2017-07-31,97162.52,5.545
2017-08-01,88473.36,5.4025
2017-08-02,62905.91,5.625
2017-08-03,53247.78,5.84
2017-08-04,87925.95,6.71
2017-08-05,168951.23,6.785
2017-08-06,121666.98,7.077500000000001
2017-08-07,107921.76,6.609999999999999
2017-08-08,316039.23,5.9575
2017-08-09,392455.35,6.23
2017-08-10,942042.15,7.744999999999999
2017-08-11,821998.03,9.0075
2017-08-12,628231.59,9.305
2017-08-13,2053629.05,11.282499999999999
2017-08-14,885977.48,11.0
2017-08-15,485707.99,10.0375
2017-08-16,334495.65,9.3275
2017-08-17,400379.25,8.465
2017-08-18,325237.2,8.049999999999999
2017-08-19,269424.15,8.0425
2017-08-20,355289.93,7.390000000000001
2017-08-21,675262.73,7.4625
2017-08-22,262335.83,8.059999999999999
2017-08-23,116593.88,8.235
2017-08-24,94892.11,8.2575
2017-08-25,158578.82,8.354999999999999
2017-08-26,430458.29,9.04
2017-08-27,259446.13,9.84
2017-08-28,475143.72,10.2975
2017-08-29,694222.91,10.2575
2017-08-30,915025.64,11.112499999999999
2017-08-31,706261.05,12.815
2017-09-01,336440.76,12.209999999999999
2017-09-02,183495.99,12.0125
2017-09-03,327526.66,10.3875
2017-09-04,311466.47,10.695
2017-09-05,341510.25,11.685
2017-09-06,202588.98,11.2175
2017-09-07,288820.37,9.8875
2017-09-08,203326.24,9.4375
2017-09-09,112285.42,9.0425
2017-09-10,127548.34,8.8375
2017-09-11,202052.99,8.3075
2017-09-12,188647.79,7.737499999999999
2017-09-13,265756.51,6.3525
2017-09-14,238316.72,7.6775
2017-09-15,123174.81,7.755000000000001
2017-09-16,142308.74,8.125
2017-09-17,198283.36,8.575
2017-09-18,174891.01,7.8950000000000005
2017-09-19,109727.04,7.9
2017-09-20,110766.21,7.21
2017-09-21,165655.25,6.760000000000001
2017-09-22,38589.78,7.397499999999999
2017-09-23,61568.92,7.1825
2017-09-24,156282.45,7.447500000000001
2017-09-25,473092.21,7.1625000000000005
2017-09-26,290389.27,7.87
2017-09-27,446770.89,7.945
2017-09-28,96032.69,7.7075
2017-09-29,104122.42,8.0825
2017-09-30,121657.36,8.1175
2017-10-01,103739.55,7.8575
