Dates,Volume,Price
2017-01-13,231.11,0.00052045
2017-01-14,552.3,0.000414675
2017-01-15,327.21,0.00041985
2017-01-16,3060.29,0.00043635
2017-01-17,972.9,0.00038152499999999996
2017-01-18,533.17,0.00042522499999999994
2017-01-19,1644.12,0.000455375
2017-01-20,1369.81,0.00041850000000000004
2017-01-21,887.5,0.0003698
2017-01-22,42.71,0.0003732
2017-01-23,785.64,0.0003843
2017-01-24,62.73,0.00039129999999999997
2017-01-25,932.44,0.000393675
2017-01-26,12800.16,0.00065865
2017-01-27,2824.13,0.00084035
2017-01-28,1815.75,0.0008092500000000001
2017-01-29,121.34,0.000946
2017-01-30,423.72,0.000977425
2017-01-31,874.5,0.000970075
2017-02-01,117.87,0.0010039250000000001
2017-02-02,7302.95,0.0013677000000000001
2017-02-03,6478.12,0.0018777499999999999
2017-02-04,5894.43,0.00172475
2017-02-05,911.9,0.0015627500000000001
2017-02-06,656.44,0.00151375
2017-02-07,506.59,0.001533
2017-02-08,2357.82,0.0015445
2017-02-09,4521.19,0.00174825
2017-02-10,7152.26,0.00191325
2017-02-11,8103.46,0.00217475
2017-02-12,29305.59,0.002782
2017-02-13,50814.1,0.003658
2017-02-14,14352.11,0.003496
2017-02-15,4187.22,0.0034079999999999996
2017-02-16,5711.3,0.0031639999999999997
2017-02-17,8506.36,0.0027465
2017-02-18,3108.38,0.00267975
2017-02-19,4992.6,0.00296875
2017-02-20,17446.75,0.0029405000000000004
2017-02-21,3695.64,0.00264725
2017-02-22,5234.79,0.0028565
2017-02-23,1674.33,0.00300025
2017-02-24,3062.59,0.0028067500000000002
2017-02-25,7958.83,0.0027737499999999997
2017-02-26,5226.0,0.0026449999999999998
2017-02-27,26887.53,0.0027887500000000004
2017-02-28,9769.74,0.0028215
2017-03-01,4453.7,0.00242625
2017-03-02,3756.93,0.0023065
2017-03-03,3116.68,0.00208275
2017-03-04,4531.07,0.0021325
2017-03-05,806.74,0.0022765
2017-03-06,1538.23,0.00215125
2017-03-07,829.65,0.0019012500000000002
2017-03-08,4335.88,0.0019479999999999999
2017-03-09,7250.39,0.001741
2017-03-10,1333.45,0.0017832500000000001
2017-03-11,7509.51,0.001752
2017-03-12,2028.79,0.0018632499999999999
2017-03-13,1162.89,0.00193625
2017-03-14,6072.74,0.0018799999999999997
2017-03-15,2397.26,0.0016805
2017-03-16,1936.64,0.0014657499999999998
2017-03-17,4121.7,0.0014305000000000001
2017-03-18,802.98,0.00159525
2017-03-19,2321.15,0.00158975
2017-03-20,4421.23,0.0017717499999999999
2017-03-21,10715.87,0.0020085000000000003
2017-03-22,16906.43,0.00249425
2017-03-23,3096.01,0.0024149999999999996
2017-03-24,13577.94,0.0026404999999999996
2017-03-25,24748.06,0.003061
2017-03-26,24550.81,0.0037287500000000003
2017-03-27,16158.7,0.0038902500000000005
2017-03-28,22027.89,0.00418325
2017-03-29,9425.69,0.004105
2017-03-30,18508.08,0.004281
2017-03-31,27115.55,0.00421675
2017-04-01,4732.52,0.004107
2017-04-02,29995.65,0.004266
2017-04-03,11842.02,0.00443825
2017-04-04,13901.39,0.00447425
2017-04-05,15428.9,0.0042645
2017-04-06,11140.35,0.00377375
2017-04-07,9611.91,0.0034565
2017-04-08,10265.03,0.0037332499999999996
2017-04-09,3846.67,0.00408475
2017-04-10,12090.62,0.00442525
2017-04-11,28843.14,0.00482275
2017-04-12,13979.83,0.00496075
2017-04-13,12262.32,0.00481225
2017-04-14,3221.93,0.004658
2017-04-15,12517.62,0.00456875
2017-04-16,6716.46,0.00452225
2017-04-17,5846.49,0.00471275
2017-04-18,6231.22,0.004867000000000001
2017-04-19,10810.67,0.005221750000000001
2017-04-20,40893.02,0.004598499999999999
2017-04-21,6341.3,0.0041725
2017-04-22,4646.82,0.0046285
2017-04-23,12840.05,0.0046935
2017-04-24,5796.36,0.00446625
2017-04-25,11602.48,0.00444875
2017-04-26,14176.35,0.004462000000000001
2017-04-27,5567.64,0.00425825
2017-04-28,27782.35,0.0045335
2017-04-29,772.02,0.004904
2017-04-30,18459.04,0.0046542499999999995
2017-05-01,18407.24,0.00422225
2017-05-02,10393.59,0.00417825
2017-05-03,7634.0,0.004266
2017-05-04,2063.54,0.00434225
2017-05-05,8209.18,0.00488675
2017-05-06,12659.78,0.005250250000000001
2017-05-07,30446.1,0.005788
2017-05-08,29634.36,0.0060897500000000005
2017-05-09,23691.29,0.006895500000000001
2017-05-10,32339.49,0.007591
2017-05-11,35896.95,0.006931
2017-05-12,40549.97,0.00753575
2017-05-13,89228.27,0.00849075
2017-05-14,61729.66,0.0096515
2017-05-15,24368.74,0.0098335
2017-05-16,19573.1,0.00957
2017-05-17,8076.73,0.0097525
2017-05-18,140311.35,0.0115725
2017-05-19,168341.95,0.014295
2017-05-20,97808.86,0.015754999999999998
2017-05-21,203560.27,0.0184725
2017-05-22,268392.94,0.021685000000000003
2017-05-23,382742.72,0.0243625
2017-05-24,207958.34,0.0236425
2017-05-25,62710.71,0.0233475
2017-05-26,208237.33,0.0186225
2017-05-27,26256.62,0.020485
2017-05-28,26047.48,0.021982500000000002
2017-05-29,73219.5,0.020665
2017-05-30,9854.84,0.020715
2017-05-31,20399.56,0.021525000000000002
2017-06-01,29067.55,0.021585
2017-06-02,31661.16,0.020687499999999998
2017-06-03,31971.4,0.01916
2017-06-04,56862.32,0.020065
2017-06-05,47211.11,0.0213025
2017-06-06,61749.59,0.0193525
2017-06-07,35213.42,0.019815
2017-06-08,32895.14,0.01961
2017-06-09,60564.78,0.0201475
2017-06-10,41138.59,0.0192775
2017-06-11,26879.68,0.017295
2017-06-12,19051.47,0.016995
2017-06-13,26646.38,0.014624999999999999
2017-06-14,22832.88,0.014255
2017-06-15,17072.33,0.0144575
2017-06-16,11274.66,0.0157825
2017-06-17,6484.69,0.01555
2017-06-18,19293.18,0.0173025
2017-06-19,30062.77,0.0198575
2017-06-20,77992.11,0.0216025
2017-06-21,12926.75,0.021995
2017-06-22,25072.45,0.0213975
2017-06-23,18320.28,0.020544999999999997
2017-06-24,18460.55,0.0193925
2017-06-25,14019.71,0.0172125
2017-06-26,26701.25,0.017615
2017-06-27,13369.68,0.0169425
2017-06-28,4528.48,0.0161175
2017-06-29,4341.3,0.0153025
2017-06-30,9410.9,0.015455
2017-07-01,6599.18,0.016
2017-07-02,6120.92,0.015745000000000002
