Dates,Volume,Price
2017-02-12,14910.03,0.025962500000000003
2017-02-13,5766.72,0.025695
2017-02-14,11459.51,0.0237975
2017-02-15,2385.38,0.02475
2017-02-16,6148.9,0.023835000000000002
2017-02-17,2341.51,0.0227275
2017-02-18,1725.12,0.0233825
2017-02-19,2626.2,0.023805
2017-02-20,8389.69,0.024447500000000004
2017-02-21,15744.01,0.02734
2017-02-22,9788.03,0.032325
2017-02-23,5808.07,0.0295925
2017-02-24,493.37,0.0281925
2017-02-25,3604.27,0.030317500000000004
2017-02-26,4693.48,0.0329575
2017-02-27,45183.65,0.04254
2017-02-28,10256.37,0.046475
2017-03-01,4926.43,0.047725
2017-03-02,15933.44,0.048837500000000006
2017-03-03,9612.92,0.04570249999999999
2017-03-04,17968.15,0.04336
2017-03-05,2065.23,0.04326000000000001
2017-03-06,6873.84,0.04169249999999999
2017-03-07,14600.39,0.040317500000000006
2017-03-08,18678.46,0.0475375
2017-03-09,20030.26,0.0434525
2017-03-10,35047.67,0.0512
2017-03-11,67186.48,0.06231
2017-03-12,108653.14,0.0814075
2017-03-13,140190.09,0.09924250000000001
2017-03-14,491737.62,0.14555
2017-03-15,243266.27,0.13775500000000002
2017-03-16,114751.14,0.1133
2017-03-17,410783.76,0.1318225
2017-03-18,877471.37,0.22474999999999998
2017-03-19,1838448.64,0.336675
2017-03-20,1367411.33,0.454675
2017-03-21,2964165.49,0.560525
2017-03-22,5269823.67,0.683875
2017-03-23,2190958.33,0.5542
2017-03-24,1831771.42,0.534125
2017-03-25,973837.75,0.602525
2017-03-26,984909.68,0.633975
2017-03-27,589862.83,0.6225
2017-03-28,428781.07,0.63175
2017-03-29,1275684.65,0.7353999999999999
2017-03-30,1165006.41,0.8844
2017-03-31,737519.55,0.903925
2017-04-01,790109.33,0.9050499999999999
2017-04-02,855091.24,0.837825
2017-04-03,589524.62,0.7502
2017-04-04,352541.54,0.7342249999999999
2017-04-05,744588.64,0.83795
2017-04-06,498017.35,0.899075
2017-04-07,332952.67,0.9002749999999999
2017-04-08,372857.87,0.8743
2017-04-09,380235.46,0.893675
2017-04-10,1747611.02,1.05755
2017-04-11,3651583.31,1.3325
2017-04-12,4295253.78,1.5799999999999998
2017-04-13,1277926.15,1.595
2017-04-14,2191470.4,1.7625
2017-04-15,2655855.12,1.9775
2017-04-16,1716272.21,1.9449999999999998
2017-04-17,1003452.94,1.9049999999999998
2017-04-18,1015331.99,1.8900000000000001
2017-04-19,1263414.73,1.785
2017-04-20,642171.52,1.7175
2017-04-21,987641.66,1.585
2017-04-22,1106350.35,1.315
2017-04-23,3214616.3,1.2221250000000001
2017-04-24,890344.98,1.3050000000000002
2017-04-25,892338.12,1.26
2017-04-26,1329685.86,1.3425
2017-04-27,1028505.32,1.43
2017-04-28,1265537.61,1.575
2017-04-29,1917648.36,1.77
2017-04-30,1249302.33,1.68
2017-05-01,815269.54,1.68
2017-05-02,1472327.24,1.6125
2017-05-03,1610272.13,1.5074999999999998
2017-05-04,1428185.59,1.4674999999999998
2017-05-05,904378.3,1.5525
2017-05-06,1288020.47,1.4900000000000002
2017-05-07,1745779.58,1.3849999999999998
2017-05-08,847150.0,1.2325
2017-05-09,1524141.6,1.13635
2017-05-10,1022640.73,1.18
2017-05-11,811703.54,1.1975
2017-05-12,493478.5,1.2775
2017-05-13,505323.99,1.2375
2017-05-14,552867.29,1.14
2017-05-15,857603.05,1.04485
2017-05-16,915471.81,1.076975
2017-05-17,759720.77,1.165
2017-05-18,865018.35,1.1975
2017-05-19,1064142.22,1.1675
2017-05-20,1082725.84,1.063625
2017-05-21,1719651.54,0.9417
2017-05-22,758071.82,0.9785999999999999
2017-05-23,1497779.91,0.9711249999999999
2017-05-24,4082722.61,1.1094249999999999
2017-05-25,3307636.14,1.226375
2017-05-26,1527335.14,1.03605
2017-05-27,1609162.42,1.2574999999999998
2017-05-28,3245626.51,1.5299999999999998
2017-05-29,2974355.14,1.69
2017-05-30,1938088.49,1.67
2017-05-31,996448.98,1.6400000000000001
2017-06-01,943330.65,1.7074999999999998
2017-06-02,1287941.12,1.65
2017-06-03,996486.44,1.6175
2017-06-04,1343027.51,1.6575
2017-06-05,1033459.95,1.565
2017-06-06,1216427.83,1.5000000000000002
2017-06-07,699745.01,1.625
2017-06-08,1035947.62,1.6175000000000002
2017-06-09,733696.56,1.605
2017-06-10,779565.55,1.635
2017-06-11,576644.32,1.4525
2017-06-12,762638.02,1.5025
2017-06-13,426415.5,1.4000000000000001
2017-06-14,418923.53,1.4049999999999998
2017-06-15,1223277.15,1.605
2017-06-16,598703.39,1.77
2017-06-17,492616.34,1.6925
2017-06-18,1162146.14,1.8425
2017-06-19,656709.53,1.915
2017-06-20,483069.14,1.8050000000000002
2017-06-21,530030.79,1.8175000000000001
2017-06-22,619946.75,1.8525
2017-06-23,930103.36,1.8875
2017-06-24,635197.71,1.8599999999999999
2017-06-25,693884.98,1.71
2017-06-26,747726.6,1.8299999999999998
2017-06-27,503857.63,1.8475000000000001
2017-06-28,386475.68,1.86
2017-06-29,4327734.7,2.08
2017-06-30,5676898.52,2.3225
2017-07-01,1429417.39,2.31
2017-07-02,1063988.04,2.4825
2017-07-03,1641830.66,2.45
2017-07-04,1558785.81,2.5875
2017-07-05,1438811.19,2.72
2017-07-06,1442326.42,2.5949999999999998
2017-07-07,846193.2,2.43
2017-07-08,601096.85,2.2975
2017-07-09,1008813.46,1.8949999999999998
2017-07-10,1076423.68,1.7225
2017-07-11,788026.75,1.7925
2017-07-12,762389.42,1.8775
2017-07-13,543965.86,1.6600000000000001
2017-07-14,303024.48,1.4574999999999998
2017-07-15,339669.05,1.3900000000000001
2017-07-16,380082.22,1.6275
2017-07-17,549699.43,1.73
2017-07-18,1103721.88,1.9224999999999999
2017-07-19,1294960.96,2.3200000000000003
2017-07-20,496005.09,2.0850000000000004
2017-07-21,799864.6,2.2675
2017-07-22,447311.69,2.2624999999999997
2017-07-23,424302.43,2.22
2017-07-24,697355.65,1.9625
2017-07-25,436353.24,1.9749999999999999
2017-07-26,634772.66,2.245
2017-07-27,942860.02,2.1225
2017-07-28,279240.58,1.9375
2017-07-29,294804.67,1.9749999999999999
2017-07-30,437403.83,1.9674999999999998
2017-07-31,702573.05,1.9375
2017-08-01,718686.23,1.9874999999999998
2017-08-02,375647.92,2.0424999999999995
2017-08-03,535158.09,2.0649999999999995
2017-08-04,627897.36,2.2325
2017-08-05,737429.63,1.9925
2017-08-06,902346.1,2.02
2017-08-07,772132.88,1.9949999999999999
2017-08-08,712795.53,2.0025
2017-08-09,1329374.35,2.1275
2017-08-10,1065655.64,2.195
2017-08-11,1120630.17,2.145
2017-08-12,985590.49,1.96
2017-08-13,860917.31,1.8624999999999998
2017-08-14,1269321.73,1.8375
2017-08-15,675859.85,1.995
2017-08-16,870657.38,1.7825000000000002
2017-08-17,652938.29,1.6925
2017-08-18,780991.18,1.8074999999999999
2017-08-19,1960155.97,1.9949999999999999
2017-08-20,758674.73,1.885
2017-08-21,945204.81,1.935
2017-08-22,1511663.62,2.0575
2017-08-23,570257.49,2.14
2017-08-24,1319012.6,2.3025
2017-08-25,4604426.62,2.8024999999999998
2017-08-26,2790999.87,3.0075
2017-08-27,1795890.76,3.0375000000000005
2017-08-28,2439706.9,3.0275
2017-08-29,1245665.54,2.8674999999999997
2017-08-30,1885542.69,3.0775
2017-08-31,9066036.37,3.8749999999999996
2017-09-01,1851789.56,3.5300000000000002
2017-09-02,1393937.85,3.5325
2017-09-03,2266215.51,3.2224999999999997
2017-09-04,1401209.88,3.3825000000000003
2017-09-05,2699986.36,3.9324999999999997
2017-09-06,1567196.73,4.0975
2017-09-07,1917121.84,3.7199999999999998
2017-09-08,683408.96,3.6950000000000003
2017-09-09,739265.4,3.565
2017-09-10,721074.34,3.3549999999999995
2017-09-11,801576.19,3.19
2017-09-12,955718.95,2.99
2017-09-13,1434268.84,2.6575
2017-09-14,1451533.41,3.165
2017-09-15,721966.64,3.2175
2017-09-16,633781.03,3.1625
2017-09-17,814155.88,3.6125
2017-09-18,823937.44,3.3674999999999997
2017-09-19,587178.88,3.1875
2017-09-20,992008.61,2.885
2017-09-21,431343.25,2.8274999999999997
2017-09-22,367659.29,2.9975
2017-09-23,347542.98,2.8575
2017-09-24,450765.6,2.9975
2017-09-25,418292.92,2.96
2017-09-26,547287.07,3.235
2017-09-27,489139.8,3.21
2017-09-28,468217.52,3.1175
2017-09-29,313827.7,3.2225
2017-09-30,310159.7,3.125
2017-10-01,540483.29,2.8925
2017-10-02,3319218.84,3.1225
2017-10-03,3119436.49,3.385
2017-10-04,1078346.9,3.375
2017-10-05,1158845.11,3.535
2017-10-06,886602.59,3.6275
2017-10-07,989564.75,3.52
2017-10-08,1271293.1,3.3325
2017-10-09,966964.78,3.23
2017-10-10,906635.73,3.4250000000000003
2017-10-11,1554868.47,3.8449999999999998
2017-10-12,1096966.72,3.6325000000000003
2017-10-13,681835.73,3.8775000000000004
2017-10-14,1062950.91,3.9825
2017-10-15,1613342.92,3.9625
2017-10-16,1168669.27,3.8325
2017-10-17,774988.95,3.7775
2017-10-18,1327950.9,3.585
2017-10-19,671509.22,3.4524999999999997
2017-10-20,531306.86,3.1550000000000002
2017-10-21,714109.13,3.435
2017-10-22,281406.8,3.2550000000000003
2017-10-23,618079.58,3.1875
2017-10-24,401390.59,3.4775
2017-10-25,292830.99,3.3874999999999997
2017-10-26,151228.41,3.2699999999999996
2017-10-27,227300.38,3.21
2017-10-28,353037.94,3.4025
2017-10-29,264005.74,3.295
2017-10-30,1063175.09,3.2075
2017-10-31,1224865.07,2.9175
2017-11-01,1752941.9,2.7175
2017-11-02,1129821.35,2.73
2017-11-03,639866.37,2.87
2017-11-04,1575642.01,2.9675
2017-11-05,920090.98,2.9074999999999998
2017-11-06,1204235.4,2.905
2017-11-07,2131889.22,3.095
2017-11-08,1045415.09,3.2775
2017-11-09,1230006.63,3.205
2017-11-10,729954.98,3.2575000000000003
2017-11-11,555707.82,3.0225
2017-11-12,580146.8,3.255
2017-11-13,348444.51,3.1675
2017-11-14,376280.31,3.33
2017-11-15,1040077.66,3.3225000000000002
2017-11-16,700717.48,3.0024999999999995
2017-11-17,630565.41,3.0125
2017-11-18,667426.87,3.07
2017-11-19,846721.71,3.0025
2017-11-20,1451889.82,2.9000000000000004
2017-11-21,1085041.05,3.0625
2017-11-22,1039754.62,3.02
2017-11-23,1061966.57,3.035
2017-11-24,1011024.07,3.2475
2017-11-25,1699998.43,3.4975000000000005
2017-11-26,1951252.89,3.7125
2017-11-27,19354109.52,4.635000000000001
2017-11-28,3572957.56,3.8850000000000002
2017-11-29,1901629.53,3.6125
2017-11-30,3258390.42,4.2425
2017-12-01,2465098.74,4.2425
2017-12-02,11131587.1,5.112500000000001
2017-12-03,3131513.59,5.4975
2017-12-04,3845556.93,5.3925
2017-12-05,4591995.57,5.584999999999999
2017-12-06,3244039.55,5.025
2017-12-07,3163018.51,4.35
2017-12-08,2564326.16,4.57
2017-12-09,2223467.78,4.65
2017-12-10,2102812.5,4.6325
2017-12-11,2877491.26,4.8425
2017-12-12,3254332.58,4.805
2017-12-13,3853180.18,5.4225
2017-12-14,3643513.55,5.6850000000000005
2017-12-15,5636046.97,6.1450000000000005
2017-12-16,13785791.23,7.12
2017-12-17,5109816.15,7.785
2017-12-18,5198421.81,7.6475
2017-12-19,6745220.76,7.5200000000000005
2017-12-20,18317778.9,9.105
2017-12-21,8038812.05,8.2875
2017-12-22,19758260.92,9.8975
2017-12-23,13535076.59,11.5075
2017-12-24,11503521.16,12.355
2017-12-25,11492518.5,13.46
2017-12-26,7062635.75,12.272499999999999
2017-12-27,5720870.42,11.455000000000002
2017-12-28,8906174.06,11.395
2017-12-29,7251754.38,9.6
2017-12-30,5484774.55,10.485
2017-12-31,5399891.65,10.3825
2018-01-01,6907768.05,11.7675
2018-01-02,6965832.1,11.59
2018-01-03,6426840.12,10.809999999999999
2018-01-04,8811217.31,11.1675
2018-01-05,5313331.0,10.8275
2018-01-06,7189593.17,11.387500000000001
2018-01-07,11590411.6,11.665
2018-01-08,9206623.58,11.932500000000001
2018-01-09,13879958.03,13.212499999999999
2018-01-10,10022075.15,12.0725
2018-01-11,4622123.03,12.682500000000001
2018-01-12,5018984.08,12.8775
2018-01-13,2721095.22,11.855000000000002
2018-01-14,3736470.66,11.6775
2018-01-15,4297095.85,8.827499999999999
2018-01-16,4001833.24,8.6175
2018-01-17,951406.81,9.18
2018-01-18,1732154.57,9.3875
2018-01-19,2594113.16,10.335
2018-01-20,2042943.42,8.7825
2018-01-21,5338235.11,8.462499999999999
2018-01-22,39946781.44,11.265
2018-01-23,10356420.37,11.8125
2018-01-24,3687008.18,10.334999999999999
2018-01-25,2203739.67,9.9175
2018-01-26,1626924.45,9.9725
2018-01-27,2014835.93,10.07
2018-01-28,1263839.53,9.3775
2018-01-29,1990765.39,7.955
2018-01-30,2593332.71,7.9399999999999995
2018-01-31,1932820.3,6.9
2018-02-01,3238626.89,5.965
2018-02-02,4194897.51,6.7925
2018-02-03,987997.49,5.904999999999999
2018-02-04,3496213.02,5.045
2018-02-05,2865884.55,5.324999999999999
2018-02-06,1348114.02,5.165
2018-02-07,894185.14,5.4025
2018-02-08,2784543.6,5.997499999999999
2018-02-09,1761444.41,5.905
2018-02-10,707559.29,5.467499999999999
2018-02-11,1697447.29,5.9625
2018-02-12,3486706.44,5.6225000000000005
2018-02-13,2421206.18,6.1375
2018-02-14,2173800.07,6.32
2018-02-15,1943436.99,6.229999999999999
2018-02-16,2540036.78,6.7975
2018-02-17,1725209.69,5.95
2018-02-18,1425165.29,6.21
2018-02-19,1997401.61,5.79
2018-02-20,935064.66,5.205
2018-02-21,781611.37,4.865
2018-02-22,1142521.43,5.1875
2018-02-23,1062464.56,5.032500000000001
2018-02-24,4658604.47,5.362500000000001
2018-02-25,1420358.15,5.55
2018-02-26,2024023.51,5.6125
2018-02-27,1159070.63,5.385
2018-02-28,1308982.19,5.7725
2018-03-01,1280626.01,5.9175
2018-03-02,2112960.75,6.35
2018-03-03,1351409.01,6.3125
2018-03-04,21794.83,6.0825000000000005
