Dates,Volume,Price
2017-09-10,0.2979,0.000163845
2017-09-11,0.0,2.941e-05
2017-09-12,0.0,2.758e-05
2017-09-13,0.0,2.231e-05
2017-09-14,0.0,2.596e-05
2017-09-15,0.0,2.545e-05
2017-09-16,0.0,2.584e-05
2017-09-17,0.0,2.975e-05
2017-09-18,0.0,2.83e-05
2017-09-19,0.0,2.836e-05
2017-09-20,0.0,2.578e-05
2017-09-21,0.0,2.629e-05
2017-09-22,0.0,2.861e-05
2017-09-23,0.0,2.826e-05
2017-09-24,0.0,2.949e-05
2017-09-25,0.0,2.886e-05
2017-09-26,0.0,3.1e-05
2017-09-27,0.0,3.028e-05
2017-09-28,0.0,2.926e-05
2017-09-29,0.0,3.028e-05
2017-09-30,0.0,3.039e-05
2017-10-01,0.0,2.968e-05
2017-10-02,0.0,2.918e-05
2017-10-03,0.0,2.917e-05
2017-10-04,0.0,2.95e-05
2017-10-05,0.0,3.083e-05
2017-10-06,0.0,3.113e-05
2017-10-07,0.0,3.095e-05
2017-10-08,0.0,2.969e-05
2017-10-09,0.0,2.985e-05
2017-10-10,0.0,3.029e-05
2017-10-11,0.0,3.029e-05
2017-10-12,0.0,3.368e-05
2017-10-13,0.0,3.388e-05
2017-10-14,0.3366,3.366e-05
2017-10-15,0.0,3.342e-05
2017-10-16,0.0,3.161e-05
2017-10-17,0.0,3.135e-05
2017-10-18,0.0,3.074e-05
2017-10-19,0.0,3.031e-05
2017-10-20,0.0,2.996e-05
2017-10-21,0.0,2.94e-05
2017-10-22,0.0,2.853e-05
2017-10-23,0.0,2.965e-05
2017-10-24,0.0,2.964e-05
2017-10-25,0.0,2.955e-05
2017-10-26,0.0,2.964e-05
2017-10-27,0.0,2.933e-05
2017-10-28,0.0,3.04e-05
2017-10-29,0.0,3.068e-05
2017-10-30,0.0,3.036e-05
2017-10-31,0.0,2.894e-05
2017-11-01,0.0,2.849e-05
2017-11-02,0.0,3.045e-05
2017-11-03,0.0,3e-05
2017-11-04,0.0,2.962e-05
2017-11-05,0.0,2.968e-05
2017-11-06,0.0,2.918e-05
2017-11-07,0.0,3.074e-05
2017-11-08,0.0,3.197e-05
2017-11-09,0.0,2.969e-05
2017-11-10,0.0,3.142e-05
2017-11-11,0.0,3.06e-05
2017-11-12,0.0,3.146e-05
2017-11-13,0.0,3.347e-05
2017-11-14,0.0,3.312e-05
2017-11-15,0.0,3.303e-05
2017-11-16,0.0,3.317e-05
2017-11-17,0.0,3.466e-05
2017-11-18,0.0,3.546e-05
2017-11-19,0.0,3.677e-05
2017-11-20,0.0,3.605e-05
2017-11-21,0.0,3.808e-05
2017-11-22,0.0,4.066e-05
2017-11-23,0.0,4.704e-05
2017-11-24,0.0,4.646e-05
2017-11-25,0.0,4.705e-05
2017-11-26,0.0,4.752e-05
2017-11-27,0.0,4.663e-05
2017-11-28,0.0,4.274e-05
2017-11-29,0.0,4.349e-05
2017-11-30,0.0,4.616e-05
2017-12-01,0.0,4.58e-05
2017-12-02,0.0,4.628e-05
