Dates,Volume,Price
2017-10-23,4282.46,6.135
2017-10-24,4734.3,4.4275
2017-10-25,4856.61,4.0600000000000005
2017-10-26,2009.78,3.6325
2017-10-27,3002.95,3.8925
2017-10-28,6095.13,4.1475
2017-10-29,3456.88,4.12
2017-10-30,1308.35,4.02
2017-10-31,10092.68,3.9450000000000003
2017-11-01,14390.32,3.4399999999999995
2017-11-02,6846.34,3.345
2017-11-03,6301.93,3.8475
2017-11-04,10196.47,3.55
2017-11-05,7984.66,3.8825
2017-11-06,20963.26,4.3675
2017-11-07,27190.22,5.285
2017-11-08,31239.04,6.824999999999999
2017-11-09,5647.2,6.4325
2017-11-10,7082.71,6.325
2017-11-11,28183.46,6.4075
2017-11-12,25604.48,7.845
2017-11-13,58159.2,9.2525
2017-11-14,61885.82,9.34
2017-11-15,59268.76,10.0725
2017-11-16,31571.94,9.49
2017-11-17,31624.78,10.2325
2017-11-18,26155.23,10.6375
2017-11-19,14981.9,9.8725
2017-11-20,29212.94,10.285
2017-11-21,15047.8,11.325
2017-11-22,23651.21,10.517500000000002
2017-11-23,8596.92,10.7025
2017-11-24,45169.66,12.8475
2017-11-25,29433.35,12.067499999999999
2017-11-26,30995.03,11.2175
2017-11-27,42585.78,11.690000000000001
2017-11-28,39876.87,10.405
2017-11-29,29506.0,10.8675
2017-11-30,51981.57,12.68
2017-12-01,28367.26,12.440000000000001
2017-12-02,20637.63,13.2725
2017-12-03,27484.36,14.615000000000002
2017-12-04,66270.09,14.83
2017-12-05,190029.14,18.4525
2017-12-06,84681.14,19.7075
2017-12-07,214893.72,22.625
2017-12-08,143616.88,28.455
2017-12-09,195266.52,26.805
2017-12-10,128362.42,27.362499999999997
2017-12-11,318447.99,38.075
2017-12-12,246749.99,42.775000000000006
2017-12-13,778583.4,41.0775
2017-12-14,2239736.22,45.045
2017-12-15,2300574.09,50.074999999999996
2017-12-16,1777267.09,45.195
2017-12-17,1747907.51,45.7375
2017-12-18,2676542.35,43.6725
2017-12-19,1442901.48,40.6875
2017-12-20,1973171.03,38.52
2017-12-21,2203186.66,32.959999999999994
2017-12-22,1325242.01,37.199999999999996
2017-12-23,994553.77,35.832499999999996
2017-12-24,1268190.63,39.377500000000005
2017-12-25,1476811.55,43.235
2017-12-26,1724109.33,35.5275
2017-12-27,1385557.69,33.4625
2017-12-28,1544997.26,37.815
2017-12-29,1222494.15,34.83
2017-12-30,972538.65,40.715
2017-12-31,864499.58,40.845
2018-01-01,1400408.94,45.059999999999995
2018-01-02,7382392.59,64.42
2018-01-03,2613427.81,48.8425
2018-01-04,2159229.32,46.525000000000006
2018-01-05,1815437.32,42.4325
2018-01-06,6674533.07,50.135
2018-01-07,10907349.21,57.84
2018-01-08,3478308.32,54.5025
2018-01-09,2495826.27,53.625
2018-01-10,2119229.72,47.087500000000006
2018-01-11,1250237.29,50.0975
2018-01-12,1738589.95,50.879999999999995
2018-01-13,2183514.95,47.535000000000004
2018-01-14,1866227.97,45.362500000000004
2018-01-15,4837066.54,38.44
2018-01-16,1993186.84,38.4775
2018-01-17,2164778.9,41.567499999999995
2018-01-18,1057836.31,42.955
2018-01-19,1971480.86,47.3925
2018-01-20,981384.31,44.067499999999995
2018-01-21,1471931.04,41.48
2018-01-22,2899297.31,45.0275
2018-01-23,3673471.29,50.9225
2018-01-24,1417006.14,48.61
2018-01-25,2626897.6,51.790000000000006
2018-01-26,4862252.5,58.735
2018-01-27,11618660.31,68.64750000000001
2018-01-28,4112269.95,69.88250000000001
2018-01-29,4913015.15,64.8175
2018-01-30,13732218.78,63.907500000000006
2018-01-31,4799885.64,61.1525
2018-02-01,3433886.6,56.2275
2018-02-02,2515502.32,58.28999999999999
2018-02-03,3761033.79,48.845
2018-02-04,2880949.88,36.94
2018-02-05,7536603.5,36.6425
2018-02-06,4797663.31,33.9
2018-02-07,457970.87,32.785000000000004
2018-02-08,7830541.17,32.1025
2018-02-09,8801778.94,29.439999999999998
2018-02-10,7418845.46,24.3375
2018-02-11,16709388.72,29.6275
2018-02-12,4008619.79,27.4275
2018-02-13,6443432.21,27.7825
2018-02-14,8110978.28,26.44
2018-02-15,15558578.78,29.5575
2018-02-16,5883362.77,31.955
2018-02-17,3492303.48,27.715
2018-02-18,2842615.88,28.532500000000002
2018-02-19,3116928.5,26.4475
2018-02-20,3163878.02,23.415
2018-02-21,2849715.29,22.425
2018-02-22,2290834.93,23.25
2018-02-23,2172833.02,21.607499999999998
2018-02-24,1627205.59,21.295
2018-02-25,1931142.45,22.3825
2018-02-26,1387718.91,21.875
2018-02-27,2703510.56,19.292500000000004
2018-02-28,9184258.05,21.6425
2018-03-01,4442605.69,22.3475
2018-03-02,1887186.41,21.3825
2018-03-03,2015810.12,21.0525
2018-03-04,28084.52,20.964999999999996
