Dates,Volume,Price
2017-10-25,4485.27,1.357725
2017-10-26,9021.52,0.48387499999999994
2017-10-27,12500.32,0.44592499999999996
2017-10-28,3260.12,0.4638
2017-10-29,5515.19,0.42835
2017-10-30,3452.33,0.427125
2017-10-31,870.85,0.406875
2017-11-01,1336.05,0.420825
2017-11-02,2571.61,0.38525
2017-11-03,3921.08,0.361825
2017-11-04,498.21,0.380675
2017-11-05,5296.62,0.346475
2017-11-06,3533.8,0.42319999999999997
2017-11-07,757.16,0.442325
2017-11-08,645.99,0.451275
2017-11-09,2542.2,0.440875
2017-11-10,4006.79,0.46699999999999997
2017-11-11,1127.57,0.423925
2017-11-12,3114.1,0.4703
2017-11-13,3351.16,0.453325
2017-11-14,5433.94,0.5145
2017-11-15,15647.05,0.61185
2017-11-16,6676.12,0.6682999999999999
2017-11-17,38149.77,0.6443749999999999
2017-11-18,19042.19,0.87295
2017-11-19,18398.23,0.704525
2017-11-20,12132.85,0.7123499999999999
2017-11-21,9172.19,0.6879500000000001
2017-11-22,12544.86,0.62205
2017-11-23,4179.22,0.64475
2017-11-24,22280.55,0.6884
2017-11-25,3728.19,0.675075
2017-11-26,8316.91,0.6528249999999999
2017-11-27,20122.05,0.617725
2017-11-28,47954.03,0.60365
2017-11-29,107164.23,0.631975
2017-11-30,12834.38,0.6108750000000001
2017-12-01,4083.12,0.577225
2017-12-02,42044.57,0.5769500000000001
2017-12-03,53043.8,0.6416000000000001
2017-12-04,77870.56,0.649325
2017-12-05,91822.17,0.891975
2017-12-06,60138.29,0.99495
2017-12-07,39706.55,0.753275
2017-12-08,103207.31,0.801825
2017-12-09,157401.72,0.9272
2017-12-10,129145.99,0.845925
2017-12-11,188537.41,0.792875
2017-12-12,107060.19,0.83665
2017-12-13,114871.59,0.7274
2017-12-14,109866.12,0.778825
2017-12-15,109957.3,0.8363499999999999
2017-12-16,66721.22,0.7204
2017-12-17,91709.4,0.6893750000000001
2017-12-18,96760.55,0.6561250000000001
2017-12-19,131650.16,0.634925
2017-12-20,78175.43,0.5796
2017-12-21,105751.06,0.49887499999999996
2017-12-22,137478.26,0.53715
2017-12-23,137348.08,0.488525
2017-12-24,124756.95,0.48777499999999996
2017-12-25,97948.87,0.556775
2017-12-26,104862.09,0.5442
2017-12-27,41335.51,0.4946499999999999
2017-12-28,63303.99,0.500725
2017-12-29,23451.26,0.421475
2017-12-30,5476.12,0.48059999999999997
2017-12-31,54980.76,0.5331750000000001
2018-01-01,33172.41,0.5752
2018-01-02,61093.63,0.5796
2018-01-03,90827.88,0.529475
2018-01-04,83631.32,0.5978
2018-01-05,124015.43,0.5183749999999999
2018-01-06,315352.9,0.605875
2018-01-07,1086904.75,0.6547750000000001
2018-01-08,568990.6,0.643975
2018-01-09,533079.45,0.6866
2018-01-10,221771.48,0.5763750000000001
2018-01-11,143826.03,0.5563750000000001
2018-01-12,116440.47,0.563075
2018-01-13,103732.08,0.5492750000000001
2018-01-14,114598.97,0.5298499999999999
2018-01-15,63697.89,0.394775
2018-01-16,52662.25,0.392075
2018-01-17,60110.28,0.38865000000000005
2018-01-18,63785.27,0.38480000000000003
2018-01-19,129265.84,0.4107
2018-01-20,46422.75,0.35917499999999997
2018-01-21,97810.1,0.34875
2018-01-22,52048.43,0.355025
2018-01-23,59825.81,0.369625
2018-01-24,32874.85,0.3567
2018-01-25,25899.69,0.356575
2018-01-26,44126.91,0.36557500000000004
2018-01-27,49511.43,0.37687500000000007
2018-01-28,35116.38,0.360875
2018-01-29,37875.68,0.330025
2018-01-30,66933.71,0.337675
2018-01-31,44607.99,0.30905000000000005
2018-02-01,41323.21,0.28915
2018-02-02,31093.8,0.302825
2018-02-03,15183.66,0.26815
2018-02-04,21189.53,0.249425
2018-02-05,25884.54,0.2531
2018-02-06,39447.81,0.22535
2018-02-07,21017.49,0.23775
2018-02-08,19126.28,0.24772499999999997
2018-02-09,40484.41,0.24545
2018-02-10,12392.31,0.237925
2018-02-11,23490.26,0.26775
2018-02-12,29428.31,0.261575
2018-02-13,27521.87,0.31055
2018-02-14,78508.65,0.3838
2018-02-15,24818.05,0.4109
2018-02-16,26921.87,0.43010000000000004
2018-02-17,25512.77,0.3955
2018-02-18,24886.6,0.431725
2018-02-19,42293.54,0.44745
2018-02-20,100292.57,0.4482
2018-02-21,89102.82,0.44825
2018-02-22,81883.39,0.5000249999999999
2018-02-23,64027.79,0.51155
2018-02-24,34183.99,0.5262500000000001
2018-02-25,304661.68,0.7003
2018-02-26,93783.65,0.7431249999999999
2018-02-27,73939.4,0.6437
2018-02-28,35326.75,0.6897249999999999
2018-03-01,35253.18,0.627
2018-03-02,16653.95,0.626975
2018-03-03,37037.41,0.6308
2018-03-04,0.0,0.6091500000000001
