Dates,Volume,Price
2017-11-20,20182.74,0.549575
2017-11-21,40790.58,0.4778
2017-11-22,145.94,0.45782500000000004
2017-11-23,2568.94,0.636225
2017-11-24,17160.22,0.678925
2017-11-25,1980.72,0.68605
2017-11-26,701718.46,0.9774
2017-11-27,1209482.09,1.142325
2017-11-28,258651.19,1.3075
2017-11-29,300393.83,1.285
2017-11-30,231374.63,1.1234250000000001
2017-12-01,57180.62,1.0738750000000001
2017-12-02,99231.42,0.9580000000000001
2017-12-03,140742.95,0.812425
2017-12-04,268550.05,0.91345
2017-12-05,285216.11,1.190125
2017-12-06,651014.43,0.8505
2017-12-07,142492.31,0.7523500000000001
2017-12-08,88622.6,0.7718750000000001
2017-12-09,3924.53,0.7041499999999999
2017-12-10,62504.68,0.639225
2017-12-11,50640.97,0.6209749999999999
2017-12-12,98072.68,0.687
2017-12-13,1428045.17,0.71065
2017-12-14,3547499.79,0.697975
2017-12-15,18752405.48,0.9613
2017-12-16,11838417.72,1.09575
2017-12-17,9201098.74,1.009675
2017-12-18,8043212.66,1.00695
2017-12-19,4187701.96,0.9513
2017-12-20,6878349.05,0.9792749999999999
2017-12-21,6161799.97,0.8087
2017-12-22,3263666.74,0.8146249999999999
2017-12-23,3004248.98,0.8147
2017-12-24,2107145.61,0.8538999999999999
2017-12-25,1294539.52,0.868325
2017-12-26,4044726.02,0.9314749999999999
2017-12-27,1760241.09,0.91525
2017-12-28,1395026.53,0.8646499999999999
2017-12-29,1336316.47,0.829175
2017-12-30,919298.59,0.827925
2017-12-31,1254182.82,0.8609499999999999
2018-01-01,3103900.92,0.9385999999999999
2018-01-02,4342912.32,1.0278749999999999
2018-01-03,3453605.94,1.090175
2018-01-04,22180321.16,1.4425
2018-01-05,12372372.86,1.85
2018-01-06,8791700.33,2.015
2018-01-07,8377842.63,1.8675
2018-01-08,3726209.01,1.7799999999999998
2018-01-09,6021006.02,1.7725
2018-01-10,5317933.1,1.7625
2018-01-11,4195691.34,1.825
2018-01-12,10212307.88,2.1175
2018-01-13,7149377.63,2.315
2018-01-14,4013550.44,2.3150000000000004
2018-01-15,9690864.41,1.85
2018-01-16,5498254.21,1.5499999999999998
2018-01-17,3210811.29,1.7025000000000001
2018-01-18,2376821.85,1.6375000000000002
2018-01-19,1914233.0,1.7300000000000002
2018-01-20,2311395.96,1.7125000000000001
2018-01-21,3088912.06,1.525
2018-01-22,5505697.95,1.38
2018-01-23,1972687.22,1.4025
2018-01-24,1381332.45,1.4625
2018-01-25,2000029.01,1.38
2018-01-26,900500.2,1.4600000000000002
2018-01-27,1431515.03,1.565
2018-01-28,769360.3,1.5225
2018-01-29,2104599.58,1.7275
2018-01-30,873092.69,1.2174999999999998
2018-01-31,1803414.45,1.1196000000000002
2018-02-01,1646997.07,0.9327750000000001
2018-02-02,587297.74,0.98045
2018-02-03,959418.52,0.945
2018-02-04,957100.84,0.746
2018-02-05,1037196.61,0.701425
2018-02-06,900154.85,0.784975
2018-02-07,392465.81,0.7967749999999999
2018-02-08,426063.92,0.883425
2018-02-09,604643.97,0.9035
2018-02-10,255364.23,0.8467499999999999
2018-02-11,366734.71,0.8625
2018-02-12,196685.91,0.857
2018-02-13,517025.02,0.888
2018-02-14,580311.73,0.9339999999999999
2018-02-15,463751.42,0.9594749999999999
2018-02-16,847686.34,1.0205000000000002
2018-02-17,632259.54,1.0217500000000002
2018-02-18,468338.34,1.0145
2018-02-19,505864.83,1.0095
2018-02-20,416647.54,0.89755
2018-02-21,313297.25,0.8350500000000001
2018-02-22,266307.28,0.8223
2018-02-23,147858.08,0.833475
2018-02-24,105042.16,0.81125
2018-02-25,194638.59,0.8170250000000001
2018-02-26,193299.65,0.84475
2018-02-27,261130.72,0.8309500000000001
2018-02-28,88795.33,0.81725
2018-03-01,237060.0,0.82275
2018-03-02,272433.52,0.8242499999999999
2018-03-03,201274.97,0.8087500000000001
2018-03-04,665.37,0.8140000000000001
