Dates,Volume,Price
2016-01-01,0.0,0.003275
2016-01-02,0.0,0.003252
2016-01-03,0.0,0.003272
2016-01-04,0.0,0.003256
2016-01-05,0.0,0.003253
2016-01-06,0.0,0.003451
2016-01-07,0.0,0.003419
2016-01-08,0.0,0.003385
2016-01-09,0.0,0.003369
2016-01-10,0.0,0.00338
2016-01-11,0.0,0.00336
2016-01-12,0.0,0.003263
2016-01-13,0.0,0.00324
2016-01-14,0.0,0.002811
2016-01-15,0.0,0.002907
2016-01-16,0.0,0.002888
2016-01-17,0.0,0.002902
2016-01-18,0.0,0.002865
2016-01-19,0.0,0.00313
2016-01-20,0.0,0.003097
2016-01-21,0.0,0.002889
2016-01-22,0.0,0.002934
2016-01-23,0.0,0.003036
2016-01-24,0.0,0.002965
2016-01-25,0.0,0.002943
2016-01-26,0.0,0.002982
2016-01-27,0.0,0.002867
2016-01-28,0.0,0.002871
2016-01-29,0.0,0.002852
2016-01-30,0.0,0.002792
2016-01-31,0.0,0.00281
2016-02-01,0.0,0.002823
2016-02-02,0.0,0.002779
2016-02-03,0.0,0.002949
2016-02-04,0.0,0.002918
2016-02-05,0.0,0.002844
2016-02-06,0.0,0.002853
2016-02-07,0.0,0.002813
2016-02-08,0.0,0.002834
2016-02-09,0.0,0.002883
2016-02-10,0.0,0.002865
2016-02-11,0.0,0.0029
2016-02-12,0.0,0.002945
2016-02-13,0.0,0.003062
2016-02-14,0.0,0.003028
2016-02-15,0.0,0.003068
2016-02-16,0.0,0.003149
2016-02-17,0.0,0.003182
2016-02-18,0.0,0.003171
2016-02-19,0.0,0.003322
2016-02-20,0.0,0.003306
2016-02-21,0.0,0.003305
2016-02-22,0.0,0.00317
2016-02-23,0.0,0.003192
2016-02-24,0.0,0.003197
2016-02-25,0.0,0.003226
2016-02-26,0.0,0.003256
2016-02-27,0.0,0.003265
2016-02-28,0.0,0.003293
2016-02-29,0.0,0.003277
2016-03-01,0.0,0.003211
2016-03-02,0.0,0.003168
2016-03-03,0.0,0.003092
2016-03-04,0.0,0.003012
2016-03-05,0.0,0.003065
2016-03-06,0.0,0.003132
2016-03-07,0.0,0.00311
2016-03-08,0.0,0.003116
2016-03-09,0.0,0.00314
2016-03-10,0.0,0.003164
2016-03-11,0.0,0.003098
2016-03-12,0.0,0.003114
2016-03-13,0.0,0.003128
2016-03-14,0.0,0.003134
2016-03-15,0.0,0.00314
2016-03-16,0.0,0.003157
2016-03-17,0.0,0.003082
2016-03-18,0.0,0.003086
2016-03-19,0.0,0.003107
2016-03-20,0.0,0.003104
2016-03-21,0.0,0.003142
2016-03-22,0.0,0.003148
2016-03-23,0.0,0.003131
2016-03-24,0.0,0.003139
2016-03-25,0.0,0.003145
2016-03-26,0.0,0.003206
2016-03-27,0.0,0.003188
2016-03-28,0.0,0.003133
2016-03-29,0.0,0.003114
2016-03-30,0.0,0.003138
2016-03-31,0.0,0.003138
2016-04-01,0.0,0.00316
2016-04-02,0.0,0.003164
2016-04-03,0.0,0.003166
2016-04-04,0.0,0.003187
2016-04-05,0.0,0.003181
2016-04-06,0.0,0.003172
2016-04-07,0.0,0.003154
2016-04-08,0.0,0.003156
2016-04-09,0.0,0.003173
2016-04-10,0.0,0.003182
2016-04-11,0.0,0.003207
2016-04-12,0.0,0.003197
2016-04-13,0.0,0.003201
2016-04-14,0.0,0.003236
2016-04-15,0.0,0.003247
2016-04-16,0.0,0.003218
2016-04-17,0.0,0.003229
2016-04-18,0.0,0.003284
2016-04-19,0.0,0.003331
2016-04-20,0.0,0.003393
2016-04-21,0.0,0.003362
2016-04-22,0.0,0.003398
2016-04-23,0.0,0.003455
2016-04-24,0.0,0.003486
2016-04-25,0.0,0.003518
2016-04-26,0.0,0.003375
2016-04-27,0.0,0.003386
2016-04-28,0.0,0.003435
2016-04-29,0.0,0.003386
2016-04-30,0.0,0.003414
2016-05-01,0.0,0.003354
2016-05-02,0.0,0.0034
2016-05-03,0.0,0.003366
2016-05-04,0.0,0.003383
2016-05-05,0.0,0.00347
2016-05-06,0.0,0.003461
2016-05-07,0.0,0.003457
2016-05-08,0.0,0.003476
2016-05-09,0.0,0.003393
2016-05-10,0.0,0.003416
2016-05-11,0.0,0.003431
2016-05-12,0.0,0.003438
2016-05-13,0.0,0.003446
2016-05-14,0.0,0.003459
2016-05-15,0.0,0.003434
2016-05-16,0.0,0.003422
2016-05-17,0.0,0.003429
2016-05-18,0.0,0.003342
2016-05-19,0.0,0.003338
2016-05-20,0.0,0.003349
2016-05-21,0.0,0.003319
2016-05-22,0.0,0.00335
2016-05-23,0.0,0.003368
2016-05-24,0.0,0.003396
2016-05-25,0.0,0.003422
2016-05-26,0.0,0.003579
2016-05-27,0.0,0.003958
2016-05-28,0.0,0.003896
2016-05-29,0.0,0.004019
2016-05-30,0.0,0.003993
2016-05-31,0.0,0.004057
2016-06-01,0.0,0.004055
2016-06-02,0.0,0.004281
2016-06-03,0.0,0.004318
2016-06-04,0.0,0.004341
2016-06-05,0.0,0.004406
2016-06-06,0.0,0.004346
2016-06-07,0.0,0.004383
2016-06-08,0.0,0.004339
2016-06-09,0.0,0.004363
2016-06-10,0.0,0.004467
2016-06-11,0.0,0.005032
2016-06-12,0.0,0.005286
