Dates,Volume,Price
2017-04-10,0.1311,4.37
2017-04-11,0.0,4.64
2017-04-12,0.0,5.0
2017-04-13,0.0,4.73
2017-04-14,0.0,4.89
2017-04-15,0.0,4.82
2017-04-16,0.0,4.79
2017-04-17,0.0,4.99
2017-04-18,0.0,4.79
2017-04-19,0.0,4.94
2017-04-20,0.0,4.83
2017-04-21,0.0,4.84
2017-04-22,58.5,2.5862499999999997
2017-04-23,7663.46,0.2996
2017-04-24,5562.26,0.3005
2017-04-25,0.0,0.3197
2017-04-26,0.0,0.3788
2017-04-27,0.0,0.4345
2017-04-28,0.0,0.419
2017-04-29,0.0,0.479
2017-04-30,0.0,0.4652
2017-05-01,231.75,0.4326
2017-05-02,0.0,0.4822
2017-05-03,567.3,0.28365
2017-05-04,237.99,0.44942499999999996
2017-05-05,0.0,0.55
2017-05-06,14.11,0.49755
2017-05-07,0.0,0.4596
2017-05-08,0.0,0.4486
2017-05-09,85.37,0.4655
2017-05-10,0.0,0.4763
2017-05-11,0.0,0.4598
2017-05-12,2152.1,0.36945
2017-05-13,613.34,0.1779025
2017-05-14,5231.24,0.13636500000000001
2017-05-15,0.0,0.1756
2017-05-16,0.0,0.174
2017-05-17,0.0,0.1918
2017-05-18,5705.23,0.2488
2017-05-19,21053.98,0.1753525
2017-05-20,0.0,0.222
2017-05-21,2028.4,0.21250000000000002
2017-05-22,8.45,0.30935
2017-05-23,579.0,0.3378
2017-05-24,0.0,0.1773
2017-05-25,0.0,0.1628
2017-05-26,0.0,0.1566
2017-05-27,0.0,0.1729
2017-05-28,56673.38,0.16695
2017-05-29,281.08,0.2
2017-05-30,819.94,0.2172
2017-05-31,0.0,0.2207
2017-06-01,0.0,0.222
2017-06-02,8.08,0.3365
2017-06-03,4605.76,0.31232499999999996
2017-06-04,0.0,0.2725
2017-06-05,348.84,0.2907
2017-06-06,257.85,0.26855
2017-06-07,0.0,0.2594
2017-06-08,780.39,0.23725000000000002
2017-06-09,145.82,0.4057
2017-06-10,0.0,0.2378
2017-06-11,0.0,0.2763
2017-06-12,1047.9,0.3105
2017-06-13,0.0,0.3095
2017-06-14,0.0,0.3102
2017-06-15,424.4,0.2652
2017-06-16,0.0,0.2209
2017-06-17,0.0,0.2109
2017-06-18,0.0,0.2149
2017-06-19,0.0,0.2103
2017-06-20,0.0,0.1952
2017-06-21,77.04,0.1926
2017-06-22,0.0,0.1961
2017-06-23,0.0,0.1827
2017-06-24,0.0,0.1676
2017-06-25,0.0,0.1522
2017-06-26,0.0,0.1717
2017-06-27,0.0,0.1895
2017-06-28,0.0,0.1757
2017-06-29,72.41,0.1684
2017-06-30,0.0,0.1566
2017-07-01,0.0,0.1704
2017-07-02,0.0,0.1658
2017-07-03,0.0,0.1614
2017-07-04,287.28,0.1995
2017-07-05,0.0,0.2393
2017-07-06,206.45,0.19995000000000002
2017-07-07,245.7,0.2162
2017-07-08,0.0,0.2377
2017-07-09,0.0,0.2058
2017-07-10,0.0,0.1906
2017-07-11,672.6,0.2242
2017-07-12,821.6,0.3081
2017-07-13,0.0,0.3943
2017-07-14,0.0,0.3382
2017-07-15,0.0,0.3108
2017-07-16,190.0,0.28495000000000004
2017-07-17,0.0,0.2271
2017-07-18,0.0,0.1944
2017-07-19,0.0,0.2263
2017-07-20,733.26,0.2163
2017-07-21,0.0,0.2305
2017-07-22,0.0,0.2283
2017-07-23,0.0,0.2255
2017-07-24,0.0,0.2036
2017-07-25,0.0,0.2029
2017-07-26,0.0,0.2029
2017-07-27,0.0,0.1912
2017-07-28,0.0,0.2061
2017-07-29,0.0,0.1968
2017-07-30,0.0,0.2013
2017-07-31,315.18,0.2005
2017-08-01,0.0,0.169
2017-08-02,0.0,0.1739
2017-08-03,0.0,0.171
2017-08-04,0.0,0.1961
2017-08-05,0.0,0.205
2017-08-06,0.0,0.2092
2017-08-07,0.0,0.2298
2017-08-08,0.0,0.2288
2017-08-09,0.0,0.2312
2017-08-10,0.0,0.2397
2017-08-11,0.0,0.2387
2017-08-12,0.0,0.2299
2017-08-13,0.0,0.2318
2017-08-14,0.0,0.2221
2017-08-15,0.0,0.2336
2017-08-16,0.0,0.2327
2017-08-17,0.0,0.2268
2017-08-18,0.0,0.2271
2017-08-19,0.0,0.2311
2017-08-20,0.0,0.2494
2017-08-21,0.0,0.2429
2017-08-22,0.0,0.246
2017-08-23,0.0,0.2521
2017-08-24,0.0,0.2558
2017-08-25,0.0,0.258
2017-08-26,0.0,0.2696
2017-08-27,0.0,0.2694
2017-08-28,349.06,0.5008
2017-08-29,0.0,0.7639
2017-08-30,0.0,0.7728
2017-08-31,0.0,0.7789
2017-09-01,4.42,0.42125
2017-09-02,350.61,0.4934
2017-09-03,0.0,0.3037
2017-09-04,0.0,0.3179
2017-09-05,0.0,0.3389
2017-09-06,0.0,0.3354
2017-09-07,0.0,0.3067
2017-09-08,0.0,0.3038
2017-09-09,610.3,0.9347
2017-09-10,0.0,1.65
2017-09-11,0.0,1.63
2017-09-12,0.0,1.53
2017-09-13,0.0,1.24
2017-09-14,0.0,1.44
2017-09-15,0.0,1.41
2017-09-16,0.0,1.43
2017-09-17,0.0,1.65
2017-09-18,282.98,0.30407500000000004
2017-09-19,26.65,0.2834
2017-09-20,6166.72,0.25775
2017-09-21,6333.98,0.25635
2017-09-22,213.15,0.257525
2017-09-23,0.0,0.1978
2017-09-24,7987.81,0.26245
2017-09-25,6213.73,0.2879
2017-09-26,34554.87,0.354175
2017-09-27,16411.66,0.319425
2017-09-28,10276.05,0.27717499999999995
2017-09-29,6239.7,0.281575
2017-09-30,17711.02,0.259875
2017-10-01,39318.43,0.2205
2017-10-02,21629.39,129199.016825
2017-10-03,17831.46,0.178425
2017-10-04,29029.11,0.180125
2017-10-05,22283.52,0.195275
2017-10-06,40631.66,46689.15794999999
2017-10-07,32637.43,0.23962999999999998
2017-10-08,16723.44,0.26725
2017-10-09,17653.88,0.228375
2017-10-10,15490.36,0.21512499999999998
2017-10-11,31119.21,0.21610000000000001
2017-10-12,27833.15,0.212
2017-10-13,15630.77,0.168385
2017-10-14,6474.22,0.20589999999999997
2017-10-15,38115.66,0.19275
2017-10-16,16740.1,0.172375
2017-10-17,25626.02,0.16675
2017-10-18,15706.48,0.16942500000000002
2017-10-19,5668.37,0.1591
2017-10-20,22303.21,0.161575
2017-10-21,8898.96,0.155325
2017-10-22,23238.48,0.14785
2017-10-23,39325.93,0.14565
2017-10-24,1413.1,0.1472
2017-10-25,28475.62,0.14297500000000002
2017-10-26,16655.04,0.1508
2017-10-27,3941.4,0.14645
2017-10-28,5257.92,0.159725
2017-10-29,7831.76,0.1543
2017-10-30,37567.75,0.141625
2017-10-31,11608.21,0.17205
2017-11-01,17062.07,67.770575
2017-11-02,20620.9,0.1473
2017-11-03,9953.1,0.141525
2017-11-04,4693.47,0.14185
2017-11-05,9627.51,0.11594499999999999
2017-11-06,13631.9,0.12049499999999999
2017-11-07,1967008957.65,15367.56155
2017-11-08,11375.59,15983.070325
2017-11-09,14309.91,0.13624999999999998
2017-11-10,1699.1,0.1431
2017-11-11,2489.64,0.13975
2017-11-12,5007.31,0.13772500000000001
2017-11-13,18089.07,0.13795000000000002
2017-11-14,9508.61,0.124675
2017-11-15,83245.72,0.144675
2017-11-16,42657.41,0.14345000000000002
2017-11-17,19933.8,0.14694999999999997
2017-11-18,14799.15,0.14955
2017-11-19,42938.44,0.162975
2017-11-20,4485.07,0.158325
2017-11-21,15171.03,0.18064999999999998
2017-11-22,140838.51,269352.7851
2017-11-23,31330.53,0.236275
2017-11-24,32741.38,0.24265000000000003
2017-11-25,30381.76,0.25185
2017-11-26,50095.32,0.23297500000000002
2017-11-27,17759.07,0.237325
2017-11-28,13392.37,0.217725
2017-11-29,135127.83,0.172100001
2017-11-30,43763.85,230790.20525
2017-12-01,58711.3,0.305925
2017-12-02,86987.03,0.31635
2017-12-03,52292.88,0.348375
2017-12-04,101002.93,0.4828
2017-12-05,276131.15,0.591475
2017-12-06,542168.65,0.6327750000000001
2017-12-07,230053.88,0.5664250000000001
2017-12-08,263051.85,4137.9009
2017-12-09,81785.45,10912.570950000001
2017-12-10,236195.34,0.42655
2017-12-11,63561.54,0.41724999999999995
2017-12-12,79672.24,0.578475
2017-12-13,88403.27,0.624225
2017-12-14,118775.68,0.5989050000000001
2017-12-15,197526.52,0.29951930000000004
2017-12-16,162382.03,0.5971249999999999
2017-12-17,486449.73,61897.195875
2017-12-18,326443.7,2.26795
2017-12-19,534273.58,0.834725
2017-12-20,0.0,0.746
2017-12-21,17463.49,0.57925
2017-12-22,52893.81,0.532525
2017-12-23,466867.3,0.4875
2017-12-24,40423.36,0.502375
2017-12-25,0.0,0.5349
2017-12-26,0.0,0.5254
2017-12-27,0.0,0.5088
2017-12-28,0.0,0.5251
2017-12-29,0.0,0.492
2017-12-30,0.0,0.5262
2017-12-31,0.0,0.5369
2018-01-01,0.0,0.612
2018-01-02,0.0,0.6682
2018-01-03,0.0,0.6708
2018-01-04,137734.15,1.6421999999999999
2018-01-05,510308.05,2.4675
2018-01-06,620652.47,2.7025
2018-01-07,297132.83,2.84
2018-01-08,530518.96,2.9575000000000005
2018-01-09,585269.84,2.4925000000000006
2018-01-10,473611.39,2.2475
2018-01-11,373408.23,2.5349999999999997
2018-01-12,608231.14,2.6875
2018-01-13,462721.51,2.615
2018-01-14,573359.49,2.3025
2018-01-15,405611.65,1.83
2018-01-16,367855.22,1.9899999999999998
2018-01-17,345330.67,1.9675000000000002
2018-01-18,238945.27,1.895
2018-01-19,167427.02,2.01
2018-01-20,185428.43,1.88
2018-01-21,103775.45,1.75
2018-01-22,164402.32,1.6725
2018-01-23,268210.36,1.8725
2018-01-24,177546.61,1.7875
2018-01-25,158900.5,1.7825
2018-01-26,118665.52,1.94
2018-01-27,394381.89,2.3150000000000004
2018-01-28,442623.58,2.325
2018-01-29,408526.27,1.9774999999999998
2018-01-30,438548.52,2.075
2018-01-31,259154.12,1.8525
2018-02-01,273464.64,1.5999999999999999
2018-02-02,195057.12,1.7125000000000001
2018-02-03,150662.1,1.475
2018-02-04,176722.78,1.1600000000000001
2018-02-05,329443.46,1.29
2018-02-06,160866.77,1.275
2018-02-07,102244.6,1.3275
2018-02-08,190384.65,1.4775
2018-02-09,129964.05,1.455
2018-02-10,156346.39,1.4125
2018-02-11,269906.09,1.67
2018-02-12,164340.26,1.705
2018-02-13,415576.26,2.12
2018-02-14,295671.08,2.1350000000000002
2018-02-15,174641.48,2.0425
2018-02-16,252831.17,2.2375000000000003
2018-02-17,193216.01,2.135
2018-02-18,238169.5,2.315
2018-02-19,318707.34,2.3575
2018-02-20,220340.25,2.1950000000000003
2018-02-21,225840.49,1.9674999999999998
2018-02-22,140387.22,2.0175
2018-02-23,105272.05,1.92
2018-02-24,44710.35,1.9049999999999998
2018-02-25,90670.9,1.9899999999999998
2018-02-26,96073.92,1.9225
2018-02-27,162495.59,1.77
2018-02-28,176726.49,1.7725
2018-03-01,151785.88,1.7550000000000001
2018-03-02,39625.06,87450.85750000001
2018-03-03,119983.51,1.765
2018-03-04,3849.21,1.8325
