Dates,Volume,Price
2016-01-01,498.08,1.6265e-05
2016-01-02,2750.53,1.83025e-05
2016-01-03,1455.12,1.73325e-05
2016-01-04,2462.55,1.725e-05
2016-01-05,911.35,1.83075e-05
2016-01-06,291.85,1.94225e-05
2016-01-07,742.49,2.0375e-05
2016-01-08,232.06,2.0175e-05
2016-01-09,313.6,2.008e-05
2016-01-10,1697.32,1.903e-05
2016-01-11,209.16,1.89125e-05
2016-01-12,424.29,1.8370000000000002e-05
2016-01-13,602.65,1.9315e-05
2016-01-14,1813.4,1.9545e-05
2016-01-15,361.87,2.1175e-05
2016-01-16,370.52,1.91225e-05
2016-01-17,169.33,1.8259999999999998e-05
2016-01-18,2012.03,2.0870000000000002e-05
2016-01-19,178.93,2.28e-05
2016-01-20,731.28,2.256e-05
2016-01-21,111.65,2.20025e-05
2016-01-22,206.64,2.1374999999999998e-05
2016-01-23,167.69,2.2119999999999998e-05
2016-01-24,1136.71,2.25875e-05
2016-01-25,2537.07,2.2415e-05
2016-01-26,4534.39,2.37e-05
2016-01-27,1932.14,2.3729999999999998e-05
2016-01-28,5985.22,2.1864999999999998e-05
2016-01-29,469.53,2.078e-05
2016-01-30,3338.47,2.1265e-05
2016-01-31,524.55,1.861e-05
2016-02-01,395.27,1.7765e-05
2016-02-02,323.29,1.9319999999999998e-05
2016-02-03,441.67,2.05075e-05
2016-02-04,576.69,2.1255e-05
2016-02-05,716.92,2.0715e-05
2016-02-06,581.69,1.9844999999999997e-05
2016-02-07,372.5,1.95625e-05
2016-02-08,567.15,1.97075e-05
2016-02-09,1363.85,2.1e-05
2016-02-10,2179.78,2.182e-05
2016-02-11,2949.57,2.112e-05
2016-02-12,9075.92,2.2435000000000005e-05
2016-02-13,6052.05,2.433e-05
2016-02-14,4232.99,2.30575e-05
2016-02-15,1652.78,2.3369999999999998e-05
2016-02-16,1847.24,2.2944999999999998e-05
2016-02-17,4255.58,2.3175e-05
2016-02-18,1414.54,2.4149999999999997e-05
2016-02-19,4257.84,2.53e-05
2016-02-20,1778.72,2.2984999999999998e-05
2016-02-21,1522.09,2.6269999999999998e-05
2016-02-22,1512.84,2.729e-05
2016-02-23,2808.35,2.5365e-05
2016-02-24,6566.31,2.6465e-05
2016-02-25,1989.59,2.88425e-05
2016-02-26,4282.43,2.8035000000000002e-05
2016-02-27,2332.12,2.5947500000000002e-05
2016-02-28,1703.71,2.8349999999999998e-05
2016-02-29,1731.67,2.9295e-05
2016-03-01,2691.89,2.765e-05
2016-03-02,4751.78,2.727e-05
2016-03-03,17325.27,2.96875e-05
2016-03-04,10578.56,2.89275e-05
2016-03-05,3227.73,2.639e-05
2016-03-06,1613.52,2.6965e-05
2016-03-07,6120.77,2.883e-05
2016-03-08,2086.66,2.8892499999999998e-05
2016-03-09,3658.22,3.119e-05
2016-03-10,2345.42,3.24825e-05
2016-03-11,7963.8,3.07775e-05
2016-03-12,5913.79,2.98975e-05
2016-03-13,1999.27,2.693e-05
2016-03-14,5857.84,2.6985e-05
2016-03-15,8030.78,3.015e-05
2016-03-16,1906.14,2.9269999999999996e-05
2016-03-17,2536.49,2.959e-05
2016-03-18,4294.72,3.0655e-05
2016-03-19,773.71,3.0865000000000003e-05
2016-03-20,3910.03,3.18625e-05
2016-03-21,5059.87,3.225750000000001e-05
2016-03-22,5187.4,3.1275e-05
2016-03-23,120832.24,3.73275e-05
2016-03-24,36081.77,3.84525e-05
2016-03-25,12293.7,3.7485e-05
2016-03-26,17072.11,3.71525e-05
2016-03-27,13526.77,3.9055e-05
2016-03-28,16591.93,3.83875e-05
2016-03-29,4625.15,3.506e-05
2016-03-30,13252.97,3.7409999999999996e-05
2016-03-31,3095.52,4.0522500000000004e-05
2016-04-01,376789.01,5.5455000000000004e-05
2016-04-02,95186.89,5.1337499999999994e-05
2016-04-03,32972.14,5.032e-05
2016-04-04,28490.92,4.854e-05
2016-04-05,32344.91,4.21275e-05
2016-04-06,16423.46,4.4115e-05
2016-04-07,12574.37,4.59475e-05
2016-04-08,4772.13,4.59875e-05
2016-04-09,27436.21,4.0975e-05
2016-04-10,30289.8,4.0035e-05
2016-04-11,6282.57,4.035e-05
2016-04-12,2736.91,4.023e-05
2016-04-13,8472.56,4.134e-05
2016-04-14,19136.56,3.96525e-05
2016-04-15,7838.49,3.7625e-05
2016-04-16,1989.24,3.7295e-05
2016-04-17,11179.07,3.74225e-05
2016-04-18,1725.1,3.6964999999999996e-05
2016-04-19,12231.9,3.639250000000001e-05
2016-04-20,2828.58,3.7069999999999996e-05
2016-04-21,4406.65,3.45075e-05
2016-04-22,2246.85,3.376e-05
2016-04-23,16246.83,3.4315e-05
2016-04-24,10999.63,3.694e-05
2016-04-25,5310.52,3.6115e-05
