Dates,Volume,Price
2018-02-04,20769.32,0.143725
2018-02-05,58395.38,0.15999999999999998
2018-02-06,82907.84,0.168425
2018-02-07,24173.71,0.167525
2018-02-08,12490.66,0.180025
2018-02-09,44124.13,0.17275000000000001
2018-02-10,16409.24,0.17215
2018-02-11,25196.26,0.183975
2018-02-12,10921.35,0.1857
2018-02-13,29857.57,0.18545
2018-02-14,268762.17,0.1879
2018-02-15,56928.64,0.191525
2018-02-16,94591.37,0.1974
2018-02-17,62927.63,0.189575
2018-02-18,62044.56,0.18007499999999999
2018-02-19,164207.0,0.16695000000000002
2018-02-20,59934.09,0.16110000000000002
2018-02-21,80373.39,0.16132500000000002
2018-02-22,51695.65,0.15047500000000003
2018-02-23,40531.18,0.14980000000000002
2018-02-24,36280.75,0.1421
2018-02-25,75412.27,0.14452500000000001
2018-02-26,50589.63,0.145125
2018-02-27,48678.75,0.138025
2018-02-28,63776.75,0.140125
2018-03-01,59131.48,0.149175
2018-03-02,71046.15,0.14665
2018-03-03,23567.0,0.141075
2018-03-04,2212.7,0.142075
