Dates,Volume,Price
2016-01-01,3.06,0.00509725
2016-01-02,0.1477,0.005181250000000001
2016-01-03,0.0,0.0051875
2016-01-04,0.0,0.005125
2016-01-05,13.1,0.005125
2016-01-06,82.0,0.0051600000000000005
2016-01-07,69.06,0.00515
2016-01-08,0.09224,0.004625000000000001
2016-01-09,0.0,0.0054
2016-01-10,0.2533,0.004705
2016-01-11,0.0,0.0045315
2016-01-12,1.14,0.00505
2016-01-13,4.82,0.004725
2016-01-14,127.5,0.00492
2016-01-15,15.17,0.00495325
2016-01-16,3.16,0.00490375
2016-01-17,0.5991,0.00509225
2016-01-18,5.06,0.00518625
2016-01-19,89.16,0.005339
2016-01-20,22.29,0.0053827499999999995
2016-01-21,14.61,0.00517575
2016-01-22,69.14,0.005176
2016-01-23,35.58,0.005107250000000001
2016-01-24,78.1,0.005111
2016-01-25,148.66,0.0053515
2016-01-26,939.14,0.00619225
2016-01-27,3.89,0.00622975
2016-01-28,33.37,0.00659
2016-01-29,156.65,0.00682625
2016-01-30,106.16,0.0062169999999999994
2016-01-31,37.26,0.006212
2016-02-01,2.01,0.006786749999999999
2016-02-02,1.76,0.006806
2016-02-03,0.357,0.006701250000000001
2016-02-04,5.43,0.007254750000000001
2016-02-05,55.64,0.00795
2016-02-06,239.26,0.0080935
2016-02-07,671.0,0.008122
2016-02-08,202.1,0.030711000000000002
2016-02-09,4539.86,0.00757525
2016-02-10,1215.72,0.00778225
2016-02-11,897.74,0.00768025
2016-02-12,508.82,0.0081225
2016-02-13,1231.21,0.00846075
2016-02-14,385.56,0.0083925
2016-02-15,541.05,0.00833
2016-02-16,2800.59,0.007882
2016-02-17,3163.15,0.00793925
2016-02-18,121.0,0.00828275
2016-02-19,6.71,0.0081875
2016-02-20,473.3,0.008126
2016-02-21,103.99,0.008145999999999999
2016-02-22,8.17,0.00823
2016-02-23,30.26,0.008
2016-02-24,133.39,0.00796675
2016-02-25,207.25,0.00816825
2016-02-26,103.27,0.008012499999999999
2016-02-27,0.8144,0.00790625
2016-02-28,500.01,0.00800275
2016-02-29,1360.69,0.0081145
2016-03-01,147.94,0.008119250000000001
2016-03-02,2772.82,0.008009
2016-03-03,642.03,0.00804925
2016-03-04,299.61,0.007767
2016-03-05,2878.8,0.00753475
2016-03-06,1527.94,0.00767875
2016-03-07,267.89,0.007769
2016-03-08,217.98,0.00800825
2016-03-09,481.79,0.00823275
2016-03-10,221.01,0.0088285
2016-03-11,654.2,0.008669
2016-03-12,5.15,0.008329
2016-03-13,158.25,0.00836325
2016-03-14,3777.89,0.0079365
2016-03-15,164.92,0.008072000000000001
2016-03-16,346.88,0.008153
2016-03-17,10.0,0.008174500000000001
2016-03-18,136.97,0.008050999999999999
2016-03-19,1097.36,0.007877
2016-03-20,2503.24,0.007902
2016-03-21,618.58,0.0079675
2016-03-22,183.68,0.008180499999999999
2016-03-23,70.07,0.008327999999999999
2016-03-24,39.0,0.0082635
2016-03-25,10.16,0.008139
2016-03-26,641.0,0.0079955
2016-03-27,1852.1,0.007616
2016-03-28,316.84,0.007469999999999999
2016-03-29,590.58,0.007338750000000001
2016-03-30,457.13,0.007423
2016-03-31,29.3,0.0073455
2016-04-01,2138.83,0.0074655
2016-04-02,1014.28,0.00749825
2016-04-03,180.35,0.00746825
2016-04-04,216.09,0.00736875
2016-04-05,255.13,0.00728875
2016-04-06,655.59,0.007036499999999999
2016-04-07,9.64,0.0066949999999999996
2016-04-08,597.38,0.00640575
2016-04-09,402.03,0.00606275
2016-04-10,63.07,0.00616975
2016-04-11,1774.75,0.006073
2016-04-12,38.57,0.005875750000000001
2016-04-13,168.52,0.0060625
2016-04-14,15.81,0.006386
2016-04-15,30.28,0.0065355
2016-04-16,76.49,0.006500750000000001
2016-04-17,150.36,0.00674525
2016-04-18,81.8,0.006918250000000001
2016-04-19,915.26,0.007105
2016-04-20,74.71,0.0072404999999999995
2016-04-21,32.21,0.0072695
2016-04-22,33.67,0.007385999999999999
2016-04-23,32.88,0.007272000000000001
2016-04-24,79.49,0.00728075
2016-04-25,16.03,0.007102000000000001
2016-04-26,179.98,0.006789
2016-04-27,65.05,0.006626999999999999
2016-04-28,4.81,0.0067835
2016-04-29,0.3419,0.0068
2016-04-30,0.0631,0.006731750000000001
2016-05-01,1487.11,0.00661475
2016-05-02,4.76,0.006570749999999999
2016-05-03,1031.99,0.0063662499999999995
2016-05-04,478.42,0.00618625
2016-05-05,1086.29,0.006266
2016-05-06,23.06,0.0063695
2016-05-07,17.28,0.0063685
2016-05-08,14.34,0.006353
2016-05-09,18.65,0.00632625
2016-05-10,61.32,0.0061920000000000005
2016-05-11,365.27,0.00612025
2016-05-12,4579.44,0.006106
2016-05-13,146.34,0.0059295
2016-05-14,20.49,0.006013
2016-05-15,10.58,0.006091
2016-05-16,69.55,0.00599525
2016-05-17,145.69,0.005901749999999999
2016-05-18,4279.17,0.00597525
2016-05-19,957.84,0.00605375
2016-05-20,10.18,0.005966
2016-05-21,1369.6,0.0058850000000000005
2016-05-22,340.3,0.00582925
2016-05-23,108.41,0.0058105
2016-05-24,280.06,0.005698999999999999
2016-05-25,1747.14,0.005595
2016-05-26,73.59,0.00562
2016-05-27,471.67,0.00519775
2016-05-28,518.33,0.0053785
2016-05-29,5305.55,0.00565425
2016-05-30,1547.56,0.0056845
2016-05-31,186.67,0.005662499999999999
2016-06-01,783.09,0.0057505
2016-06-02,397.41,0.00578275
2016-06-03,527.42,0.0058460000000000005
2016-06-04,677.88,0.0057755
2016-06-05,715.61,0.00579925
2016-06-06,10572.96,0.0057940000000000005
2016-06-07,6226.16,0.00572325
2016-06-08,41.27,0.0057174999999999995
2016-06-09,292.83,0.0056760000000000005
