Dates,Volume,Price
2017-05-25,259.09,0.00346825
2017-05-26,499.05,0.0027605
2017-05-27,205.14,0.0027359999999999997
2017-05-28,16.91,0.002939
2017-05-29,10.49,0.00259825
2017-05-30,219.34,0.002839
2017-05-31,218.52,0.00319675
2017-06-01,204.1,0.00291025
2017-06-02,370.68,0.0032835
2017-06-03,728.09,0.00418375
2017-06-04,4388.1,0.00589
2017-06-05,2963.73,0.0064875
2017-06-06,578.55,0.00621075
2017-06-07,4695.44,0.006899
2017-06-08,5367.29,0.0069229999999999995
2017-06-09,1501.18,0.0066272499999999995
2017-06-10,6774.68,0.005739
2017-06-11,444.17,0.004311
2017-06-12,1363.29,0.00427975
2017-06-13,1301.55,0.0041265
2017-06-14,835.36,0.00377975
2017-06-15,41.7,0.0032987499999999996
2017-06-16,39.07,0.0036109999999999996
2017-06-17,94.27,0.00360625
2017-06-18,315.31,0.003598
2017-06-19,26.66,0.0038492500000000002
2017-06-20,3216.12,0.00390925
2017-06-21,232.9,0.0041455
2017-06-22,1310.1,0.0046482500000000005
2017-06-23,396.7,0.0037555
2017-06-24,890.69,0.00442225
2017-06-25,118.35,0.0045495
2017-06-26,163.44,0.0043795
2017-06-27,2.07,0.004253
2017-06-28,79.44,0.004298
2017-06-29,60.0,0.003882
2017-06-30,13.19,0.00366725
2017-07-01,86.67,0.0035257500000000002
2017-07-02,1438.81,0.004553000000000001
2017-07-03,715.83,0.00510375
2017-07-04,213.81,0.00471025
2017-07-05,90.96,0.0045615
2017-07-06,752.49,0.00364525
2017-07-07,7.23,0.0035655
2017-07-08,645.53,0.0040435
2017-07-09,855.14,0.00363325
2017-07-10,999.3,0.00288225
2017-07-11,326.22,0.00325025
2017-07-12,47.58,0.003213
2017-07-13,645.78,0.00293225
2017-07-14,3280.61,0.0034465
2017-07-15,1643.52,0.0028135
2017-07-16,1239.9,0.003099
2017-07-17,216347.95,0.00676325
2017-07-18,59530.56,0.00736675
2017-07-19,33179.54,0.007423
2017-07-20,11898.68,0.004995749999999999
2017-07-21,12369.27,0.00604875
2017-07-22,6120.82,0.00529275
2017-07-23,5132.08,0.0057269999999999995
2017-07-24,13987.39,0.006701749999999999
2017-07-25,3941.1,0.0069865
2017-07-26,2040.42,0.00664225
2017-07-27,3314.58,0.0062872499999999994
2017-07-28,1239.48,0.00588375
2017-07-29,2719.77,0.00647375
2017-07-30,4745.76,0.007078500000000001
2017-07-31,1494.74,0.00708725
2017-08-01,4047.73,0.007277250000000001
2017-08-02,28656.59,0.00893025
2017-08-03,38092.71,0.0118785
2017-08-04,118869.74,0.0201475
2017-08-05,48519.18,0.022222500000000003
2017-08-06,1248020.63,0.02112
2017-08-07,1009698.51,0.0202
2017-08-08,1454083.56,0.0178225
2017-08-09,917514.25,0.016485
2017-08-10,2677042.01,0.019325
2017-08-11,4847480.92,0.02508
2017-08-12,2446668.61,0.026212499999999996
2017-08-13,1030604.14,0.025339999999999998
2017-08-14,1799825.71,0.02468
2017-08-15,1694491.47,0.024755
2017-08-16,6528179.07,0.02301
2017-08-17,4369231.09,0.0202525
2017-08-18,1455058.8,0.0168825
2017-08-19,1095120.9,0.01573
2017-08-20,1985568.87,0.0136375
2017-08-21,4727948.98,0.012750000000000001
2017-08-22,1918902.05,0.01318
2017-08-23,676185.46,0.013107500000000001
2017-08-24,538062.15,0.012709999999999999
2017-08-25,417307.06,0.012645
2017-08-26,961337.28,0.012495
2017-08-27,762441.57,0.0122375
2017-08-28,995742.36,0.0121925
2017-08-29,614073.95,0.0118475
2017-08-30,699115.62,0.012395
2017-08-31,498996.27,0.012377500000000001
2017-09-01,540189.97,0.011435
2017-09-02,342290.05,0.011325000000000002
2017-09-03,439816.86,0.009912
2017-09-04,407370.03,0.010262249999999999
2017-09-05,1687914.12,0.012284999999999999
2017-09-06,608820.33,0.01226
2017-09-07,741631.77,0.01054625
2017-09-08,190141.62,0.01011275
2017-09-09,277058.9,0.009809000000000002
2017-09-10,444089.44,0.009995750000000001
2017-09-11,321265.03,0.009939499999999999
2017-09-12,251483.96,0.009056499999999999
2017-09-13,235414.02,0.0074512499999999995
2017-09-14,187573.98,0.00839325
2017-09-15,130706.5,0.008553999999999999
2017-09-16,768439.02,0.00820925
2017-09-17,338909.64,0.00907225
2017-09-18,558101.42,0.008412
2017-09-19,718726.05,0.00830775
2017-09-20,6375396.43,0.0100275
2017-09-21,3269672.63,0.011352500000000001
2017-09-22,1322215.49,0.01101425
2017-09-23,770216.16,0.01024125
2017-09-24,681892.86,0.010284249999999998
2017-09-25,667557.51,0.01032525
2017-09-26,642764.02,0.011635000000000001
2017-09-27,867963.43,0.011904999999999999
2017-09-28,399937.57,0.011194999999999998
2017-09-29,236428.85,0.01136
2017-09-30,328140.91,0.01081
2017-10-01,357300.39,0.01024275
2017-10-02,240464.74,0.00994525
2017-10-03,328505.77,0.01010375
2017-10-04,212245.25,0.0103175
