Dates,Volume,Price
2017-09-28,1042174.88,7.937500000000001
2017-09-29,2187732.97,5.0275
2017-09-30,4519889.69,6.4475
2017-10-01,3699468.85,6.78
2017-10-02,1921046.08,5.76
2017-10-03,1039054.69,4.6075
2017-10-04,1179058.5,4.1125
2017-10-05,677229.59,4.1775
2017-10-06,1304112.62,3.5975
2017-10-07,817133.58,3.545
2017-10-08,1238488.05,3.33
2017-10-09,705610.22,3.115
2017-10-10,1052937.09,3.6500000000000004
2017-10-11,1448743.19,3.8674999999999997
2017-10-12,1814866.4,3.3475
2017-10-13,939305.73,3.2
2017-10-14,988685.88,2.92
2017-10-15,1265382.77,3.3875
2017-10-16,4958269.68,3.16
2017-10-17,3580188.5,3.0549999999999997
2017-10-18,3295788.42,2.9850000000000003
2017-10-19,3919414.89,2.91
2017-10-20,4090008.53,2.6
2017-10-21,5362250.35,3.02
2017-10-22,10821865.95,3.34
2017-10-23,6274498.85,2.9949999999999997
2017-10-24,6145033.23,3.15
2017-10-25,5021223.02,3.1875
2017-10-26,2712854.54,2.945
2017-10-27,3065179.5,2.88
2017-10-28,3241175.26,3.015
2017-10-29,2826171.27,2.8150000000000004
2017-10-30,3834745.38,2.7849999999999997
2017-10-31,3353489.71,2.5075
2017-11-01,3101907.11,2.3775
2017-11-02,3608897.73,2.4475000000000002
2017-11-03,3113122.33,2.5225
2017-11-04,2799277.0,2.485
2017-11-05,5687772.33,2.6625
2017-11-06,5601831.36,3.0075000000000003
2017-11-07,9463624.84,3.625
2017-11-08,9177849.27,3.84
2017-11-09,5436592.9,3.8074999999999997
2017-11-10,5444250.87,3.8175
2017-11-11,4178148.49,3.4299999999999997
2017-11-12,3885807.78,3.8975
2017-11-13,3973937.4,3.9074999999999998
2017-11-14,3686142.27,4.04
2017-11-15,4167197.6,3.87
2017-11-16,3328414.94,3.45
2017-11-17,4264084.78,3.6724999999999994
2017-11-18,5968483.11,3.795
2017-11-19,4486091.33,3.73
2017-11-20,3411628.93,3.66
2017-11-21,3801986.66,3.6525000000000003
2017-11-22,4288620.4,3.5475
2017-11-23,3615348.92,3.63
2017-11-24,3872051.27,3.875
2017-11-25,6041215.47,4.3125
2017-11-26,5641839.81,4.5
2017-11-27,5515001.02,4.300000000000001
2017-11-28,5538745.73,4.1899999999999995
2017-11-29,7594427.54,4.0
2017-11-30,5379384.9,4.6425
2017-12-01,12488004.91,4.935
2017-12-02,9481488.1,5.4175
