Dates,Volume,Price
2016-01-01,0.0,2.169e-05
2016-01-02,0.0,2.153e-05
2016-01-03,2337.62,1.84175e-05
2016-01-04,2890.8,1.725e-05
2016-01-05,2449.99,1.83075e-05
2016-01-06,637.83,1.71375e-05
2016-01-07,1388.55,1.698e-05
2016-01-08,5091.65,2.1295e-05
2016-01-09,8966.07,2.5657500000000003e-05
2016-01-10,2557.49,2.4625000000000002e-05
2016-01-11,2136.96,2.33625e-05
2016-01-12,2360.79,2.1609999999999998e-05
2016-01-13,1646.95,2.146e-05
2016-01-14,761.28,1.9542499999999998e-05
2016-01-15,419.14,2.0212500000000003e-05
2016-01-16,1653.49,2.00775e-05
2016-01-17,2848.67,1.9220000000000002e-05
2016-01-18,2685.86,1.992e-05
2016-01-19,780.18,2.1765e-05
2016-01-20,5364.95,2.4615e-05
2016-01-21,3778.86,2.4874999999999998e-05
2016-01-22,2009.33,2.62325e-05
2016-01-23,1099.27,2.7145e-05
2016-01-24,3738.4,2.2584999999999998e-05
2016-01-25,947.92,2.2412500000000003e-05
2016-01-26,356.28,2.4687500000000004e-05
2016-01-27,3994.87,2.468e-05
2016-01-28,12630.44,2.757e-05
2016-01-29,2837.15,2.73875e-05
2016-01-30,1698.06,2.589e-05
2016-01-31,1166.0,2.512e-05
2016-02-01,264.2,2.4305e-05
2016-02-02,1424.59,2.484e-05
2016-02-03,8509.87,3.02775e-05
2016-02-04,3808.93,3.0917500000000003e-05
2016-02-05,1547.8,3.0132500000000003e-05
2016-02-06,8278.24,3.02375e-05
2016-02-07,122882.05,4.751e-05
2016-02-08,41621.88,5.2545000000000006e-05
2016-02-09,39438.14,4.4869999999999996e-05
2016-02-10,48336.43,5.0275e-05
2016-02-11,653102.3,8.928750000000001e-05
2016-02-12,134188.79,8.484e-05
2016-02-13,76346.52,9.0235e-05
2016-02-14,67919.68,9.727e-05
2016-02-15,72437.64,9.55e-05
2016-02-16,30132.87,8.55125e-05
2016-02-17,33886.32,8.21725e-05
2016-02-18,29206.48,8.400000000000001e-05
2016-02-19,20524.74,8.251e-05
2016-02-20,12518.98,7.5535e-05
2016-02-21,15585.79,7.4425e-05
2016-02-22,15692.24,7.558e-05
2016-02-23,23067.06,8.13725e-05
2016-02-24,9511.93,8.152249999999999e-05
2016-02-25,13685.91,8.01225e-05
2016-02-26,14812.29,7.979e-05
2016-02-27,19820.97,7.67625e-05
2016-02-28,28982.4,7.960749999999999e-05
2016-02-29,23976.87,7.704499999999999e-05
2016-03-01,16677.56,7.231e-05
2016-03-02,19222.58,7.552250000000001e-05
2016-03-03,9400.92,7.780249999999999e-05
2016-03-04,12671.51,7.581e-05
2016-03-05,100866.48,9.135e-05
2016-03-06,59208.43,0.00010681750000000001
2016-03-07,20743.04,9.578e-05
2016-03-08,17448.95,9.493750000000001e-05
2016-03-09,31311.15,9.9805e-05
2016-03-10,39687.17,0.00010795
2016-03-11,43796.92,0.000109775
2016-03-12,15553.96,0.0001062075
2016-03-13,11347.93,0.0001004625
2016-03-14,18190.72,9.8585e-05
2016-03-15,13341.13,0.00010085000000000001
2016-03-16,74615.78,0.00010767750000000001
2016-03-17,257730.82,0.000125525
2016-03-18,105202.83,0.000128725
2016-03-19,170705.16,0.00014505
2016-03-20,57732.88,0.000137725
2016-03-21,60313.05,0.0001311
2016-03-22,29828.59,0.00013240000000000002
2016-03-23,68207.21,0.00013895
2016-03-24,38665.21,0.000145475
2016-03-25,19151.05,0.000142625
2016-03-26,83330.19,0.00012845
2016-03-27,23316.33,0.000117175
2016-03-28,14232.59,0.0001224
2016-03-29,36530.92,0.00012065
2016-03-30,17441.56,0.000121575
2016-03-31,16359.5,0.000120525
2016-04-01,26299.18,0.00011929999999999999
2016-04-02,22933.48,0.00011627500000000001
2016-04-03,11732.94,0.00011635
2016-04-04,18793.62,0.00011925
2016-04-05,21473.1,0.0001148
2016-04-06,15340.66,0.00010815
2016-04-07,28205.31,0.0001012725
2016-04-08,16894.4,0.0001013625
2016-04-09,28860.38,9.77275e-05
2016-04-10,128223.06,0.0001137825
2016-04-11,27820.58,0.0001136
2016-04-12,38579.07,0.00011114999999999999
2016-04-13,17077.62,0.000118725
2016-04-14,22518.98,0.00011682500000000001
2016-04-15,6787.32,0.00011072500000000001
2016-04-16,12339.33,0.0001087
2016-04-17,6447.32,0.0001112
2016-04-18,10757.53,0.00010875
2016-04-19,15408.1,0.0001048
2016-04-20,30191.09,0.00010108
2016-04-21,6582.67,0.0001013175
2016-04-22,8821.82,0.00010126
2016-04-23,8911.33,9.49525e-05
2016-04-24,32048.45,8.54225e-05
2016-04-25,30978.17,8.155e-05
2016-04-26,14990.72,8.15775e-05
2016-04-27,20132.54,8.857750000000001e-05
2016-04-28,5611.19,8.645e-05
2016-04-29,5996.41,8.41025e-05
2016-04-30,2776.48,8.59275e-05
2016-05-01,5881.17,8.328e-05
2016-05-02,32452.29,9.0055e-05
2016-05-03,26559.49,9.807e-05
2016-05-04,12973.69,0.00010419499999999999
2016-05-05,10670.55,0.000102255
2016-05-06,8940.32,0.00010199
2016-05-07,56926.17,0.00011559999999999999
2016-05-08,35330.86,0.00012085000000000001
2016-05-09,21592.31,0.0001112
2016-05-10,9770.66,0.000113125
2016-05-11,19165.26,0.00011475
2016-05-12,16197.16,0.000113875
2016-05-13,8703.42,0.00011295000000000001
2016-05-14,9538.65,0.00011564999999999999
2016-05-15,6359.83,0.000118275
2016-05-16,351902.39,0.00014615
2016-05-17,74939.84,0.00016350000000000002
2016-05-18,548405.35,0.000212475
2016-05-19,534213.33,0.0002741
2016-05-20,282459.07,0.000301675
2016-05-21,241039.56,0.000308825
2016-05-22,176136.24,0.0002884
2016-05-23,71293.13,0.00025540000000000003
2016-05-24,48213.75,0.00024514999999999997
2016-05-25,158601.28,0.000267425
2016-05-26,90752.93,0.000273775
2016-05-27,67342.38,0.00026602500000000003
2016-05-28,33058.74,0.00024385
2016-05-29,102727.6,0.00027677500000000005
2016-05-30,123711.13,0.0003081
2016-05-31,68141.92,0.0003211
2016-06-01,56672.32,0.00032225
2016-06-02,56923.41,0.0003289
2016-06-03,36658.47,0.00032744999999999996
2016-06-04,259252.57,0.000375125
2016-06-05,225375.79,0.00043475
2016-06-06,1678753.25,0.000529525
2016-06-07,953421.66,0.000577625
2016-06-08,417653.39,0.0005416500000000001
2016-06-09,232100.36,0.0005201
2016-06-10,197753.15,0.0005117499999999999
2016-06-11,402254.33,0.0005649
2016-06-12,459649.73,0.00060735
2016-06-13,416336.88,0.00063205
2016-06-14,151438.77,0.0006475750000000001
2016-06-15,742576.56,0.00077455
2016-06-16,1397758.43,0.000879675
2016-06-17,562634.26,0.000893325
2016-06-18,325182.85,0.000879
2016-06-19,239654.69,0.000882575
2016-06-20,396797.53,0.0007941999999999999
2016-06-21,574194.0,0.0007795250000000001
2016-06-22,303781.71,0.000903325
2016-06-23,456745.35,0.00090155
2016-06-24,742790.73,0.000986975
2016-06-25,1189674.99,0.0010102
2016-06-26,610053.52,0.001020175
2016-06-27,1124025.69,0.000925425
2016-06-28,950094.71,0.0008243250000000001
2016-06-29,475692.96,0.0008107
2016-06-30,391001.78,0.00076565
2016-07-01,325490.84,0.000828925
2016-07-02,175994.94,0.0007757749999999999
2016-07-03,107805.11,0.00078825
2016-07-04,289671.67,0.000736675
2016-07-05,152303.78,0.000711375
2016-07-06,418518.7,0.0006447750000000001
2016-07-07,71472.05,0.0007058499999999999
2016-07-08,84015.63,0.0007056
2016-07-09,88194.15,0.0006842999999999999
2016-07-10,325568.26,0.0006224749999999999
2016-07-11,239533.06,0.000611875
2016-07-12,144535.37,0.0006099
2016-07-13,264044.5,0.0006605500000000001
2016-07-14,382938.18,0.0007405749999999999
2016-07-15,133050.52,0.000744925
2016-07-16,75108.43,0.0007202749999999999
2016-07-17,86888.22,0.00068045
2016-07-18,113401.41,0.000672775
2016-07-19,147871.94,0.00067935
2016-07-20,61311.29,0.00069455
2016-07-21,138930.63,0.0007048499999999999
2016-07-22,67743.8,0.000707575
2016-07-23,134089.63,0.0006790499999999999
2016-07-24,56807.77,0.0006589
2016-07-25,206403.3,0.0006494999999999999
2016-07-26,174430.06,0.00064635
2016-07-27,149607.42,0.000649225
2016-07-28,95081.85,0.000661975
2016-07-29,32005.56,0.000653075
2016-07-30,74339.6,0.000621875
2016-07-31,67747.31,0.00061155
2016-08-01,101654.05,0.00049675
2016-08-02,87061.47,0.00053815
2016-08-03,94209.98,0.000551725
2016-08-04,72178.16,0.000558875
2016-08-05,55566.01,0.0005674
2016-08-06,44789.74,0.0005539249999999999
2016-08-07,59511.04,0.0005376749999999999
2016-08-08,65325.38,0.000522325
2016-08-09,90119.68,0.0005155750000000001
2016-08-10,117393.55,0.00053495
2016-08-11,59234.91,0.0005313750000000001
2016-08-12,40224.25,0.000520275
2016-08-13,44428.91,0.00050365
2016-08-14,34325.44,0.0005017250000000001
2016-08-15,20627.33,0.00050915
2016-08-16,28335.31,0.0005022
2016-08-17,51439.11,0.0005146
2016-08-18,46442.81,0.0005156749999999999
2016-08-19,32178.14,0.0005156
2016-08-20,14923.36,0.00050955
2016-08-21,58443.2,0.000493475
2016-08-22,61585.89,0.00047412500000000005
2016-08-23,69133.36,0.00045645
2016-08-24,30668.33,0.000447925
2016-08-25,95289.84,0.0004548
2016-08-26,52321.78,0.000463425
2016-08-27,60920.95,0.00045422499999999994
2016-08-28,76593.64,0.00044935
2016-08-29,48471.68,0.00044887500000000006
2016-08-30,32023.16,0.000436125
2016-08-31,36698.74,0.000437575
2016-09-01,22549.21,0.00044155
2016-09-02,40012.5,0.00045359999999999997
2016-09-03,28208.7,0.000445
2016-09-04,49462.96,0.00044372499999999996
2016-09-05,42619.87,0.000447125
2016-09-06,2073335.4,0.000577925
2016-09-07,497586.51,0.000584925
2016-09-08,208674.77,0.0005296750000000001
2016-09-09,62264.64,0.00053395
2016-09-10,52885.27,0.0005026500000000001
2016-09-11,48267.5,0.000503125
2016-09-12,42660.23,0.0005021
2016-09-13,78832.36,0.0004998
2016-09-14,96265.62,0.000503225
2016-09-15,68877.6,0.000501425
2016-09-16,38869.26,0.00049475
2016-09-17,32441.88,0.0004946999999999999
2016-09-18,35112.05,0.000494
2016-09-19,426543.4,0.00053765
2016-09-20,160872.33,0.000531475
2016-09-21,46987.78,0.000515225
2016-09-22,35433.89,0.00050495
2016-09-23,22019.31,0.000498625
2016-09-24,45279.35,0.000496225
2016-09-25,37792.55,0.0004913
2016-09-26,32582.51,0.00048287499999999996
2016-09-27,36859.96,0.0004837
2016-09-28,48909.73,0.00047622499999999993
2016-09-29,31250.87,0.00048195
2016-09-30,30348.61,0.00047999999999999996
2016-10-01,25724.45,0.000465625
2016-10-02,47181.59,0.000473975
2016-10-03,89543.87,0.00046282500000000004
2016-10-04,24635.7,0.00046037499999999996
2016-10-05,19084.65,0.0004521
2016-10-06,20714.52,0.000454325
2016-10-07,13553.91,0.00044780000000000004
2016-10-08,23518.89,0.000447975
2016-10-09,38780.63,0.0004537
2016-10-10,46597.09,0.0004627
2016-10-11,52462.18,0.0004309
2016-10-12,35504.46,0.000430625
2016-10-13,19499.1,0.000430575
2016-10-14,13900.08,0.0004284
2016-10-15,21720.87,0.0004161
2016-10-16,41779.86,0.000404725
2016-10-17,18052.68,0.00039867500000000003
2016-10-18,122157.31,0.000418325
2016-10-19,88491.61,0.00043985
2016-10-20,78258.43,0.00045704999999999997
2016-10-21,112183.09,0.00046215
2016-10-22,43654.83,0.0004359
2016-10-23,45249.22,0.00043417499999999997
2016-10-24,162413.47,0.00044269999999999997
2016-10-25,105944.5,0.0004351499999999999
2016-10-26,75574.72,0.00040595
2016-10-27,57682.53,0.000384275
2016-10-28,69323.28,0.00036285
2016-10-29,74283.98,0.00035735
2016-10-30,87792.25,0.00038077499999999997
2016-10-31,83531.99,0.000370625
2016-11-01,28263.49,0.00036124999999999997
2016-11-02,48334.83,0.000347575
2016-11-03,49836.6,0.0003563
2016-11-04,23035.73,0.00035805000000000006
2016-11-05,24116.71,0.00036209999999999997
2016-11-06,23287.31,0.00034917499999999996
2016-11-07,24051.86,0.00034655
2016-11-08,52375.32,0.000326425
2016-11-09,14919.08,0.00032335
2016-11-10,21715.92,0.000319925
2016-11-11,26376.89,0.0003222
2016-11-12,28186.21,0.000326425
2016-11-13,31602.57,0.000327625
2016-11-14,24999.58,0.00032355000000000003
2016-11-15,39444.79,0.00031275
2016-11-16,60292.36,0.00028764999999999997
2016-11-17,28361.58,0.000287575
2016-11-18,12933.89,0.0002842
2016-11-19,24846.12,0.0002768
2016-11-20,22998.7,0.000279775
2016-11-21,20796.66,0.000281025
2016-11-22,17369.23,0.00027605
2016-11-23,44820.66,0.00025919999999999996
2016-11-24,24562.16,0.0002517
2016-11-25,9272.57,0.000247775
2016-11-26,9203.32,0.00024070000000000002
2016-11-27,11895.48,0.0002365
2016-11-28,19072.89,0.0002344
2016-11-29,20736.49,0.0002246
2016-11-30,28607.87,0.00021262499999999998
2016-12-01,40786.14,0.00020045
2016-12-02,36143.46,0.000210175
2016-12-03,12093.16,0.00021077500000000001
2016-12-04,12268.18,0.0001999
2016-12-05,19335.0,0.00019145
2016-12-06,20500.71,0.00020094999999999998
2016-12-07,13396.82,0.0002075
2016-12-08,19842.19,0.00021377499999999998
2016-12-09,91660.74,0.000238
2016-12-10,27517.76,0.000234225
2016-12-11,19911.6,0.000225775
2016-12-12,12825.25,0.00022775
2016-12-13,12583.91,0.000227125
2016-12-14,12818.51,0.0002229
2016-12-15,12930.48,0.000219
2016-12-16,13366.0,0.000210575
2016-12-17,13463.47,0.00020512499999999999
2016-12-18,22440.59,0.000211225
2016-12-19,16357.88,0.00021377499999999998
2016-12-20,22653.17,0.000217675
2016-12-21,25005.19,0.00021715000000000002
2016-12-22,28106.2,0.00020865
2016-12-23,21131.99,0.0002027
2016-12-24,13548.55,0.000211625
2016-12-25,7757.54,0.0002111
2016-12-26,10221.1,0.000210625
2016-12-27,16800.76,0.0002139
2016-12-28,21553.33,0.00021605
2016-12-29,109468.52,0.000230175
2016-12-30,19647.6,0.000238425
2016-12-31,41637.11,0.000238925
2017-01-01,26550.46,0.00023647500000000002
2017-01-02,22909.29,0.00024285
2017-01-03,48288.03,0.000269625
2017-01-04,141558.39,0.00025972500000000004
2017-01-05,48607.63,0.00025255
2017-01-06,113023.99,0.00026887499999999996
2017-01-07,473159.8,0.0003243
2017-01-08,187913.06,0.0003419
2017-01-09,135865.7,0.0003233
2017-01-10,113548.05,0.000270975
2017-01-11,51021.77,0.00027945
2017-01-12,47607.89,0.00028660000000000003
2017-01-13,136322.95,0.00030737500000000003
2017-01-14,422591.96,0.00034282500000000005
2017-01-15,174841.56,0.0003599
2017-01-16,261779.44,0.00037787499999999996
2017-01-17,47405.21,0.00035752500000000003
2017-01-18,111177.5,0.00036254999999999995
2017-01-19,210738.52,0.00035715
2017-01-20,97137.84,0.0003495
2017-01-21,124236.5,0.000360625
2017-01-22,37650.4,0.000364
2017-01-23,55261.81,0.000341875
2017-01-24,61289.63,0.00033315
2017-01-25,89393.24,0.00034562499999999996
2017-01-26,160939.55,0.000367175
2017-01-27,145324.43,0.000385775
2017-01-28,69443.88,0.000374975
2017-01-29,58684.55,0.0003729
2017-01-30,158741.95,0.00038137500000000004
2017-01-31,94006.78,0.000383125
2017-02-01,44098.66,0.000389025
2017-02-02,82394.87,0.000379875
2017-02-03,88715.42,0.0003921
2017-02-04,50466.29,0.000388675
2017-02-05,104274.44,0.00040475
2017-02-06,59105.94,0.00041454999999999997
2017-02-07,62731.55,0.0004037
2017-02-08,95262.39,0.00036954999999999996
2017-02-09,71115.59,0.00037657500000000003
2017-02-10,22370.49,0.0003731
2017-02-11,27465.23,0.0003712
2017-02-12,70139.5,0.000358325
2017-02-13,104591.75,0.000357975
2017-02-14,41765.89,0.000362925
2017-02-15,30847.98,0.000363775
2017-02-16,43203.6,0.00036205000000000005
2017-02-17,43156.24,0.00035250000000000006
2017-02-18,18411.46,0.00033825
2017-02-19,24902.13,0.00033675
2017-02-20,89465.5,0.0003329
2017-02-21,20371.17,0.0003277
2017-02-22,6790.27,0.00032812499999999997
2017-02-23,0.0,0.0003294
2017-02-24,25254.22,0.000315975
2017-02-25,22303.16,0.000328025
2017-02-26,76556.54,0.00032695
2017-02-27,42042.35,0.00031515000000000004
2017-02-28,274975.27,0.000354575
2017-03-01,177649.06,0.0003735
2017-03-02,109628.38,0.0003882
2017-03-03,51514.12,0.000366675
2017-03-04,31718.75,0.00035912499999999996
2017-03-05,41640.87,0.00036714999999999995
2017-03-06,50033.22,0.00035749999999999996
2017-03-07,69322.88,0.00032405
2017-03-08,24939.01,0.000330625
2017-03-09,141865.48,0.00029755
2017-03-10,43968.74,0.0003302
2017-03-11,129672.34,0.000358325
2017-03-12,324146.16,0.00039625
2017-03-13,123374.07,0.000407125
2017-03-14,73960.38,0.00039795000000000005
2017-03-15,258257.56,0.00039585
2017-03-16,193897.52,0.0003724
2017-03-17,151715.25,0.000354575
2017-03-18,106707.93,0.000388575
2017-03-19,61056.4,0.00040590000000000005
2017-03-20,1069440.99,0.000529825
2017-03-21,673281.42,0.0005772
2017-03-22,826728.01,0.00055635
2017-03-23,248662.5,0.00050035
2017-03-24,222981.19,0.000492825
2017-03-25,422112.65,0.0005428750000000001
2017-03-26,418158.94,0.0005905
2017-03-27,226152.13,0.00057185
2017-03-28,128993.94,0.0005964750000000001
2017-03-29,327446.5,0.000638325
2017-03-30,484406.91,0.0006932999999999999
2017-03-31,149260.87,0.000670675
2017-04-01,487534.96,0.000647475
2017-04-02,234066.72,0.000645525
2017-04-03,252753.17,0.000619425
2017-04-04,169432.01,0.0006214
2017-04-05,190884.42,0.0006597
2017-04-06,193199.18,0.00060715
2017-04-07,156672.06,0.00058155
2017-04-08,171319.29,0.0006142249999999999
2017-04-09,74013.77,0.00061545
2017-04-10,3466981.41,0.0008026250000000001
2017-04-11,1287931.87,0.000866975
2017-04-12,359773.29,0.00082335
2017-04-13,576050.41,0.0008506249999999999
2017-04-14,269538.03,0.000844475
2017-04-15,222113.95,0.000856125
2017-04-16,595745.82,0.0008865749999999999
2017-04-17,456479.66,0.0008684000000000001
2017-04-18,495233.93,0.0008233
2017-04-19,399169.02,0.00078
2017-04-20,203903.75,0.000784175
2017-04-21,116012.76,0.000787975
2017-04-22,175407.04,0.0007713500000000001
2017-04-23,305904.61,0.000764525
2017-04-24,570915.31,0.000837625
2017-04-25,235685.96,0.00086845
2017-04-26,230909.88,0.0008630500000000001
2017-04-27,244857.9,0.0008875250000000001
2017-04-28,330948.33,0.00093875
2017-04-29,2061022.05,0.00110195
2017-04-30,1158468.59,0.0011964999999999999
2017-05-01,967645.32,0.001203675
2017-05-02,562786.39,0.0012625
2017-05-03,1135205.56,0.00136125
2017-05-04,3283235.22,0.0016625
2017-05-05,5495573.14,0.00222525
2017-05-06,3811046.99,0.00246
2017-05-07,2705086.76,0.0024177499999999998
2017-05-08,1660693.58,0.0021514999999999998
2017-05-09,1504769.8,0.0022825
2017-05-10,1289716.75,0.00234675
2017-05-11,960338.5,0.00212525
2017-05-12,1120681.22,0.0023325
2017-05-13,1627225.35,0.002548
2017-05-14,3448260.27,0.002619
2017-05-15,2880246.04,0.00262425
2017-05-16,16660983.26,0.0035035000000000005
2017-05-17,10167673.17,0.0039925
2017-05-18,17813050.12,0.005229
2017-05-19,24178436.79,0.00724775
2017-05-20,43763292.85,0.0096235
2017-05-21,27748257.59,0.00913425
2017-05-22,29122985.62,0.012504000000000001
2017-05-23,15374795.43,0.00966525
2017-05-24,20618346.12,0.00851375
2017-05-25,9910584.29,0.00841275
2017-05-26,8170780.9,0.00637275
2017-05-27,6537985.32,0.00695575
2017-05-28,9845622.44,0.00775175
2017-05-29,14640238.59,0.008019499999999999
2017-05-30,11182459.82,0.007722
2017-05-31,13843052.01,0.00807625
2017-06-01,30267033.81,0.009591249999999999
2017-06-02,98118172.29,0.013465750000000002
2017-06-03,9749442.83,0.015005000000000001
2017-06-04,29170789.43,0.0160875
2017-06-05,38227928.77,0.016105
2017-06-06,24287096.15,0.014742499999999999
2017-06-07,20147337.59,0.01498
2017-06-08,36873561.24,0.01642
2017-06-09,23306718.15,0.016545
2017-06-10,18310383.05,0.015037499999999999
2017-06-11,18141825.03,0.0133775
2017-06-12,24175487.23,0.0146775
2017-06-13,11049609.46,0.013787500000000001
2017-06-14,8837390.98,0.013365
2017-06-15,19416893.3,0.0147475
2017-06-16,28711563.35,0.0166575
2017-06-17,15240237.89,0.01603
