Dates,Volume,Price
2017-12-26,110806.53,1.021725
2017-12-27,322178.32,0.756
2017-12-28,335840.27,0.717275
2017-12-29,652010.15,0.8981750000000001
2017-12-30,824044.57,1.016275
2017-12-31,302759.64,0.956425
2018-01-01,1533448.07,1.0750250000000001
2018-01-02,1231720.02,1.195
2018-01-03,544740.27,1.2925
2018-01-04,1289685.55,1.5275
2018-01-05,1064690.3,1.5225
2018-01-06,1030643.42,1.5575
2018-01-07,3304880.47,1.78
2018-01-08,4183754.99,2.2775
2018-01-09,2967147.61,2.385
2018-01-10,2190110.03,1.995
2018-01-11,3120853.24,2.0374999999999996
2018-01-12,3797427.33,2.0275
2018-01-13,3362239.55,1.7375
2018-01-14,2942036.62,1.8549999999999998
2018-01-15,1222200.05,1.6625
2018-01-16,0.0,1.62
2018-01-17,1788.3,1.705
2018-01-18,53.1,1.8050000000000002
2018-01-19,810.99,2.0524999999999998
2018-01-20,5187.14,5.9175
2018-01-21,25400.81,4.0375000000000005
2018-01-22,39115.68,3.9524999999999997
2018-01-23,14596.88,3.9650000000000003
2018-01-24,14353.8,3.3975
2018-01-25,4050.95,2.935
2018-01-26,4464.58,2.9975
2018-01-27,13378.9,2.8600000000000003
2018-01-28,4393.04,2.4825
2018-01-29,15951.45,2.4825
2018-01-30,5916.8,2.63
2018-01-31,1681246.05,2.0500000000000003
2018-02-01,5846040.47,1.445
2018-02-02,3693617.04,1.4125
2018-02-03,2604735.17,1.1999999999999997
2018-02-04,6953685.07,1.133425
2018-02-05,3169360.36,1.3325
2018-02-06,1902455.83,1.02755
2018-02-07,2483016.43,1.070325
2018-02-08,2801783.1,1.13
2018-02-09,2455167.53,1.1325
2018-02-10,2134147.2,1.013025
2018-02-11,2984950.13,1.095
2018-02-12,4362394.83,1.080975
2018-02-13,6464457.3,1.3524999999999998
2018-02-14,9338023.65,1.2399999999999998
2018-02-15,7978888.6,1.145
2018-02-16,7947765.49,1.1475
2018-02-17,6973844.37,0.938625
2018-02-18,6882475.26,0.894525
2018-02-19,10998825.5,0.9014
2018-02-20,6817863.7,0.866075
2018-02-21,7345955.01,0.8346
2018-02-22,7393634.1,0.8017000000000001
2018-02-23,5718475.15,0.7214499999999999
2018-02-24,5649418.73,0.6993499999999999
2018-02-25,3682593.0,0.714475
2018-02-26,5212739.54,0.68715
2018-02-27,5400302.25,0.6002000000000001
2018-02-28,5779213.93,0.60935
2018-03-01,4043220.82,0.59945
2018-03-02,3418926.3,0.62955
2018-03-03,3533950.55,0.625725
2018-03-04,52320.45,0.6300749999999999
