Dates,Volume,Price
2017-05-25,59749.9,1.9825000000000002
2017-05-26,32163.06,1.6325000000000003
2017-05-27,30810.52,1.7425
2017-05-28,21779.14,1.775
2017-05-29,23259.4,1.6400000000000001
2017-05-30,67933.74,1.6874999999999998
2017-05-31,68233.24,1.6849999999999998
2017-06-01,33374.76,1.635
2017-06-02,15120.67,1.7
2017-06-03,11106.39,1.7225
2017-06-04,14893.1,1.755
2017-06-05,14018.67,1.9625000000000001
2017-06-06,19280.39,1.7874999999999996
2017-06-07,8659.37,1.8325
2017-06-08,30148.35,1.8625
2017-06-09,17601.5,1.9574999999999996
2017-06-10,14103.5,1.9625
2017-06-11,9810.67,1.7300000000000002
2017-06-12,44051.11,1.7874999999999999
2017-06-13,25779.1,1.7375
2017-06-14,9116.63,1.85
2017-06-15,38851.31,2.3674999999999997
2017-06-16,91079.43,3.5875
2017-06-17,48512.04,3.6624999999999996
2017-06-18,99358.37,4.505
2017-06-19,59785.88,4.592499999999999
2017-06-20,33881.39,3.635
2017-06-21,26200.86,3.635
2017-06-22,28474.19,3.725
2017-06-23,15390.19,3.3075
2017-06-24,28898.52,3.2425
2017-06-25,55383.1,3.09
2017-06-26,60584.33,3.5075000000000003
2017-06-27,86363.2,3.6700000000000004
2017-06-28,113886.43,3.6825
2017-06-29,157196.53,3.7824999999999998
2017-06-30,65142.1,3.6250000000000004
2017-07-01,90901.95,3.315
2017-07-02,110323.35,3.2975000000000003
2017-07-03,113218.06,3.5225
2017-07-04,168647.26,3.6925
2017-07-05,43093.3,4.12
2017-07-06,30185.38,4.1450000000000005
2017-07-07,53971.41,3.9975
2017-07-08,24307.16,4.0625
2017-07-09,33076.06,3.2449999999999997
2017-07-10,22550.13,2.9250000000000003
2017-07-11,6619.28,3.04
2017-07-12,7381.21,2.9499999999999997
2017-07-13,16204.96,2.8
2017-07-14,25348.51,2.9275
2017-07-15,52434.1,2.8600000000000003
2017-07-16,16704.67,3.3
2017-07-17,37078.04,3.5875
2017-07-18,20240.76,3.75
2017-07-19,23537.94,4.362500000000001
2017-07-20,28122.6,3.8724999999999996
2017-07-21,66424.69,4.0225
2017-07-22,38670.67,3.84
2017-07-23,15843.59,3.8375000000000004
2017-07-24,16851.24,3.5175
2017-07-25,6514.85,3.3325
2017-07-26,8972.13,3.4125
2017-07-27,20401.98,3.0749999999999997
2017-07-28,18982.33,2.8075
2017-07-29,16917.64,3.0175
2017-07-30,50076.54,3.46
2017-07-31,46281.41,3.4275
2017-08-01,3956.08,3.4375
2017-08-02,9007.4,3.5125
2017-08-03,44532.97,3.5524999999999998
2017-08-04,63599.46,3.73
2017-08-05,34832.49,3.87
2017-08-06,20057.9,4.22
2017-08-07,15963.3,4.1850000000000005
2017-08-08,41518.47,3.8200000000000003
2017-08-09,11017.83,3.7075
2017-08-10,25046.95,3.5625
2017-08-11,49348.23,4.1025
2017-08-12,15637.94,4.4875
2017-08-13,20348.95,4.26
2017-08-14,7588.74,3.705
2017-08-15,36810.51,3.9625
2017-08-16,46714.37,3.9
2017-08-17,9352.01,3.715
2017-08-18,10296.41,3.88
2017-08-19,15161.74,3.8175
2017-08-20,6222.65,3.6775
2017-08-21,30248.72,3.8775
2017-08-22,16240.68,3.8625
2017-08-23,16423.05,3.8875
2017-08-24,22361.22,3.535
2017-08-25,9166.4,3.4749999999999996
2017-08-26,5120.05,3.4699999999999998
2017-08-27,8929.29,3.6975
2017-08-28,10787.21,3.8525
2017-08-29,25853.33,3.6275
2017-08-30,9724.5,3.8
2017-08-31,8.35,3.8425
2017-09-01,12740.35,3.6824999999999997
2017-09-02,7162.78,3.6950000000000003
2017-09-03,16568.62,3.31
2017-09-04,26995.75,3.275
2017-09-05,9317.86,3.11
2017-09-06,6308.52,2.9949999999999997
2017-09-07,8387.34,2.6875
2017-09-08,10346.78,2.735
2017-09-09,6582.82,2.7800000000000002
2017-09-10,40854.11,2.91
2017-09-11,7030.59,3.1075
2017-09-12,1717.07,2.78
2017-09-13,6010.18,2.2199999999999998
2017-09-14,7444.14,2.6599999999999997
2017-09-15,11046.08,2.66
2017-09-16,8808.83,2.75
2017-09-17,9519.62,3.08
2017-09-18,12536.49,2.8575
2017-09-19,7214.82,2.9149999999999996
2017-09-20,1152.93,2.7625
2017-09-21,5645.75,2.77
2017-09-22,7774.24,3.0425000000000004
2017-09-23,12500.54,2.9924999999999997
2017-09-24,7028.95,3.2475
2017-09-25,2391.45,3.205
2017-09-26,8154.88,3.33
2017-09-27,13890.1,3.2625
2017-09-28,6447.66,3.17
2017-09-29,1633.61,3.2425
2017-09-30,9266.12,3.4875000000000003
2017-10-01,10664.34,3.495
2017-10-02,12761.6,3.2524999999999995
2017-10-03,10027.81,2.97
2017-10-04,10912.61,3.0075
2017-10-05,8959.04,3.06
2017-10-06,2407.13,3.1
2017-10-07,10723.99,3.0825
2017-10-08,12229.75,3.12
2017-10-09,10594.54,3.0875
2017-10-10,7350.76,3.0275
