Dates,Volume,Price
2017-10-31,1416.98,0.07554
2017-11-01,9014.43,0.0770825
2017-11-02,263.34,0.07978500000000001
2017-11-03,198.03,0.062485000000000006
2017-11-04,24979.86,0.051695000000000005
2017-11-05,3694.72,0.043039999999999995
2017-11-06,3908.23,0.05172500000000001
2017-11-07,4678.28,0.081385
2017-11-08,4703.31,0.17
2017-11-09,136.85,0.1470475
2017-11-10,1818.74,0.16876750000000001
2017-11-11,1558.84,0.058135000000000006
2017-11-12,523.11,0.0579375
2017-11-13,3631.45,0.0780025
2017-11-14,1799.4,0.14221999999999999
2017-11-15,51455.51,0.11140749999999999
2017-11-16,34568.71,0.0844725
2017-11-17,30068.74,0.0695775
2017-11-18,15461.96,0.089545
2017-11-19,46094.87,0.16653749999999998
2017-11-20,21458.01,0.2010475
2017-11-21,3289.71,0.114445
2017-11-22,8828.52,0.1834825
2017-11-23,2229.78,0.5356475
2017-11-24,3474.85,0.227785
2017-11-25,2926.06,0.20498750000000002
2017-11-26,6392.46,0.2340025
2017-11-27,49993.36,0.23590249999999996
2017-11-28,29249.93,0.219105
2017-11-29,4754.06,0.194215
2017-11-30,1553.08,0.13258999999999999
2017-12-01,1935.48,0.13932
2017-12-02,617.75,0.3582975
2017-12-03,390.5,0.14494500000000002
2017-12-04,3247.17,0.140355
2017-12-05,788.15,0.1566575
2017-12-06,23666.94,0.21545999999999998
2017-12-07,1006.51,0.2359175
2017-12-08,1174.05,0.1632975
2017-12-09,5966.78,0.211735
2017-12-10,4868.11,0.26438
2017-12-11,12234.12,0.238225
2017-12-12,56754.15,0.406275
2017-12-13,7763.61,0.46852499999999997
2017-12-14,11882.22,0.46347499999999997
2017-12-15,13526.41,0.438325
2017-12-16,26819.23,0.4784
2017-12-17,24573.11,0.42152500000000004
2017-12-18,14140.63,0.346475
2017-12-19,2010.04,0.24364999999999998
2017-12-20,4083.3,0.18580000000000002
2017-12-21,12941.25,0.2242
2017-12-22,12602.75,0.304375
2017-12-23,9571.4,0.32447499999999996
2017-12-24,7713.19,0.43537500000000007
2017-12-25,10238.44,0.6052249999999999
2017-12-26,39751.63,0.413725
2017-12-27,29340.67,0.4373
2017-12-28,53143.29,5.984624999999999
2017-12-29,24819.56,0.7292
2017-12-30,17266.45,0.617675
2017-12-31,4570.25,0.602375
2018-01-01,29231.62,0.6517
2018-01-02,28355.0,1.41715
2018-01-03,9207.79,0.661375
2018-01-04,21812.75,0.559575
2018-01-05,110051.32,1.16265
2018-01-06,72784.95,1.3219500000000002
2018-01-07,155493.81,0.6555475000000001
2018-01-08,58492.38,0.464625
2018-01-09,23795.07,0.450175
2018-01-10,219708.78,0.5527500000000001
2018-01-11,590132.68,1.214875
2018-01-12,1223457.44,2.6100000000000003
2018-01-13,387638.85,1.95
2018-01-14,271077.0,1.575
2018-01-15,159391.09,1.101675
2018-01-16,626752.17,1.7408
2018-01-17,384975.75,2.0
2018-01-18,141316.11,1.8299999999999998
2018-01-19,104564.54,1.7625000000000002
2018-01-20,79424.46,1.3900000000000001
2018-01-21,48764.49,1.0923
2018-01-22,79190.5,1.1475499999999998
2018-01-23,73618.24,1.256675
2018-01-24,26350.67,0.9376250000000002
2018-01-25,43315.61,0.8189500000000001
2018-01-26,47004.77,0.8007000000000001
2018-01-27,91099.29,0.758225
2018-01-28,104811.61,0.701975
2018-01-29,54044.79,0.65345
2018-01-30,38436.91,0.53925
2018-01-31,20336.5,0.42717499999999997
2018-02-01,36162.9,0.46455
2018-02-02,11807.37,0.493575
2018-02-03,3244.18,0.34145
2018-02-04,19573.97,0.33425
2018-02-05,42381.66,0.45335
2018-02-06,10858.68,0.403725
2018-02-07,4980.52,0.52965
2018-02-08,12206.13,0.500775
2018-02-09,4285.54,0.44835
2018-02-10,13262.76,0.41395
2018-02-11,6045.2,0.41902500000000004
2018-02-12,10280.16,0.41229999999999994
2018-02-13,10238.24,0.41819999999999996
2018-02-14,9963.92,0.42915
2018-02-15,4664.0,0.42822499999999997
2018-02-16,9366.78,0.43865
2018-02-17,3721.3,0.422225
2018-02-18,4079.53,0.4518
2018-02-19,2811.99,0.421725
2018-02-20,3895.52,0.4001
2018-02-21,7294.55,0.39207499999999995
2018-02-22,5331.15,0.405125
2018-02-23,4293.16,0.377175
2018-02-24,6262.26,0.363225
2018-02-25,2246.58,0.36725
2018-02-26,3055.44,0.36255
2018-02-27,3738.56,0.34275
2018-02-28,5162.24,0.34577499999999994
2018-03-01,5669.6,0.36019999999999996
2018-03-02,12127.93,0.3085
2018-03-03,27155.54,0.34282500000000005
2018-03-04,1472.9,0.35224999999999995
