Dates,Volume,Price
2017-12-19,13556.32,0.259925
2017-12-20,0.0,0.2613
2017-12-21,0.0,0.2177
2017-12-22,9527.4,0.22375
2017-12-23,367882.56,0.291475
2017-12-24,746621.32,4158055.277625
2017-12-25,747937.26,11112.960749999998
2017-12-26,423422.48,1076613.0363
2017-12-27,351392.86,313552.197475
2017-12-28,639777.28,0.42747500000000005
2017-12-29,570382.25,113477.4365
2017-12-30,830054.39,926412.90835
2017-12-31,418259.08,162583.5057
2018-01-01,531862.65,21549.783125
2018-01-02,319084.94,0.813575
2018-01-03,271872.41,0.7348500000000001
2018-01-04,376296.14,1.16845
2018-01-05,560191.75,528114.322325
2018-01-06,753544.78,279438.28277499997
2018-01-07,802575.39,1.5174999999999998
2018-01-08,422079.48,1.5275
2018-01-09,358084.17,437147.318975
2018-01-10,668031.74,341796.785375
2018-01-11,527055.73,126103.925
2018-01-12,458311.13,1.4975
2018-01-13,354950.47,611766.9775
2018-01-14,215511.13,1.225
2018-01-15,221733.84,1.0416
2018-01-16,165154.97,256173.214725
2018-01-17,143437.12,1.0209000000000001
2018-01-18,166445652890.03,612042.9275
2018-01-19,223934.41,2.9400000000000004
2018-01-20,449482.92,5.2454499999999994e+17
2018-01-21,324126.7,1.089925
2018-01-22,206964.9,1.107075
2018-01-23,412374.97,1.2349999999999999
2018-01-24,304703.13,1.25
2018-01-25,201290.65,95683.785
2018-01-26,94679.69,1.1775
2018-01-27,70153.31,1.1755
2018-01-28,103232.64,1.055225
2018-01-29,83846.16,0.954075
2018-01-30,55279.47,0.929275
2018-01-31,46310.5,1.1776
2018-02-01,95312.01,0.633975
2018-02-02,54102.54,0.7893
2018-02-03,38721.68,0.643025
2018-02-04,46891.8,0.491775
2018-02-05,96151.93,0.51065
2018-02-06,118549.45,0.4928
2018-02-07,36555.85,0.518
2018-02-08,0.0,0.5794
2018-02-09,0.0,0.5615
2018-02-10,0.0,0.5354
2018-02-11,0.0,0.5711
2018-02-12,0.0,0.555
2018-02-13,0.0,0.6073
2018-02-14,0.0,0.6124
2018-02-15,0.0,0.6191
2018-02-16,0.0,0.6433
2018-02-17,0.0,0.6032
2018-02-18,0.0,0.6203
2018-02-19,0.0,0.5844
2018-02-20,0.0,0.5545
2018-02-21,0.0,0.5311
2018-02-22,0.0,0.5641
2018-02-23,0.0,0.5501
2018-02-24,0.0,0.5546
2018-02-25,0.0,0.5726
2018-02-26,0.0,0.5752
2018-02-27,0.0,0.562
2018-02-28,6254.32,0.5697500000000001
2018-03-01,4157.49,0.576225
2018-03-02,5495.12,0.5305
2018-03-03,10001.29,0.474595
2018-03-04,0.0,0.57
