Dates,Volume,Price
2017-06-28,1993.91,0.035005
2017-06-29,2819.35,0.05499999999999999
2017-06-30,447.68,0.04547500000000001
2017-07-01,0.0,0.0424
2017-07-02,1918.24,0.0546
2017-07-03,285.0,0.0625
2017-07-04,259.04,0.06325
2017-07-05,0.000401,0.05455
2017-07-06,0.7474,0.055
2017-07-07,0.0,0.0699
2017-07-08,0.0,0.0699
2017-07-09,61.71,0.054950000000000006
2017-07-10,80.56,0.0398
2017-07-11,0.0,0.0396
2017-07-12,0.0,0.0396
2017-07-13,0.0,0.0396
2017-07-14,0.0,0.0396
2017-07-15,0.0,0.0396
2017-07-16,0.0,0.0396
2017-07-17,0.0,0.0396
2017-07-18,0.0,0.0396
2017-07-19,0.0,0.0396
2017-07-20,0.0,0.0396
2017-07-21,0.0,0.0396
2017-07-22,0.0,0.0396
2017-07-23,0.0,0.0396
2017-07-24,0.0,0.0396
2017-07-25,0.0,0.0396
2017-07-26,0.0,0.0396
2017-07-27,0.0,0.0396
2017-07-28,0.0,0.0396
2017-07-29,0.0,0.0396
2017-07-30,0.0,0.0396
2017-07-31,0.0,0.0396
2017-08-01,0.0,0.0396
2017-08-02,0.0,0.0396
2017-08-03,0.0,0.0396
2017-08-04,0.0,0.0396
2017-08-05,0.0,0.0396
2017-08-06,0.0,0.0396
2017-08-07,0.0,0.0396
2017-08-08,0.0,0.0396
2017-08-09,0.0,0.0396
2017-08-10,0.0,0.0396
2017-08-11,0.0,0.0396
2017-08-12,0.0,0.0396
2017-08-13,0.0,0.0396
2017-08-14,0.0,0.0396
2017-08-15,0.0,0.0396
2017-08-16,0.0,0.0396
2017-08-17,0.0,0.0396
2017-08-18,0.0,0.0396
2017-08-19,0.0,0.0396
2017-08-20,0.0,0.0396
2017-08-21,0.0,0.0396
2017-08-22,0.0,0.0396
2017-08-23,0.0,0.0396
2017-08-24,0.0,0.0396
2017-08-25,0.0,0.0396
2017-08-26,0.0,0.0396
2017-08-27,0.0,0.0396
2017-08-28,0.0,0.0396
2017-08-29,0.0,0.0396
2017-08-30,0.0,0.0396
2017-08-31,0.0,0.0396
2017-09-01,0.0,0.0396
2017-09-02,0.0,0.0396
2017-09-03,0.0,0.0396
2017-09-04,0.0,0.0396
2017-09-05,0.0,0.0396
2017-09-06,0.0,0.0396
2017-09-07,0.0,0.0396
2017-09-08,0.0,0.0396
2017-09-09,0.0,0.0396
2017-09-10,0.0,0.0396
2017-09-11,0.0,0.0396
2017-09-12,0.0,0.0396
2017-09-13,0.0,0.0396
2017-09-14,0.0,0.0396
2017-09-15,0.0,0.0396
2017-09-16,0.0,0.0396
2017-09-17,0.0,0.0396
2017-09-18,0.0,0.0396
2017-09-19,0.0,0.0396
2017-09-20,0.0,0.0396
2017-09-21,0.0,0.0396
2017-09-22,0.0,0.0396
2017-09-23,0.0,0.0396
2017-09-24,0.0,0.0396
2017-09-25,0.0,0.0396
2017-09-26,0.0,0.0396
2017-09-27,0.0,0.0396
2017-09-28,0.0,0.0396
2017-09-29,0.0,0.0396
2017-09-30,0.0,0.0396
2017-10-01,0.0,0.0396
2017-10-02,0.0,0.0396
2017-10-03,0.0,0.0396
2017-10-04,0.0,0.0396
2017-10-05,0.0,0.0396
2017-10-06,0.0,0.0396
2017-10-07,0.0,0.0396
2017-10-08,0.0,0.0396
2017-10-09,0.0,0.0396
2017-10-10,0.0,0.0396
2017-10-11,0.0,0.0396
2017-10-12,0.0,0.0396
2017-10-13,0.0,0.0396
2017-10-14,0.558,0.0396
2017-10-15,0.9982,0.0495
2017-10-16,0.0,0.0495
2017-10-17,0.0,0.0495
2017-10-18,0.0,0.0495
2017-10-19,0.0,0.0495
2017-10-20,0.0,0.0495
2017-10-21,0.0,0.0495
2017-10-22,0.0,0.0495
2017-10-23,0.0,0.0495
2017-10-24,0.0,0.0495
2017-10-25,0.0,0.0495
2017-10-26,0.0,0.0495
2017-10-27,0.0,0.0495
2017-10-28,286.56,0.05896
2017-10-29,0.0,0.05896
2017-10-30,0.0,0.05896
2017-10-31,0.0,0.05896
2017-11-01,21.12,0.04171
2017-11-02,0.0,0.036
2017-11-03,7.91,0.035
2017-11-04,0.0,0.035
2017-11-05,0.0,0.035
2017-11-06,0.0,0.035
2017-11-07,0.0,0.035
2017-11-08,0.0,0.035
2017-11-09,0.0,0.035
2017-11-10,0.0,0.035
2017-11-11,0.9578,0.04789
2017-11-12,0.0,0.04789
2017-11-13,0.0,0.04789
2017-11-14,0.0,0.04789
2017-11-15,0.0,0.04789
2017-11-16,0.0,0.04789
2017-11-17,0.0,0.04789
2017-11-18,0.0,0.04789
2017-11-19,0.0,0.04789
2017-11-20,0.0,0.04789
2017-11-21,3.52,0.043377500000000006
2017-11-22,7.11,0.034915
2017-11-23,16.63,0.03404
2017-11-24,4.7,0.037489999999999996
2017-11-25,128.46,0.0368725
2017-11-26,125.96,0.03275
2017-11-27,257.15,0.033565
2017-11-28,111.25,0.050395
2017-11-29,2.57,0.050175000000000004
2017-11-30,39.38,0.05500000000000001
2017-12-01,564.07,0.15302
2017-12-02,186.18,0.086795
2017-12-03,220.69,0.07999500000000001
2017-12-04,12.7,0.0809925
2017-12-05,47.13,0.077995
2017-12-06,22.82,0.0729925
2017-12-07,22.68,0.0632775
2017-12-08,36.45,0.05993
2017-12-09,98.65,0.055654999999999996
2017-12-10,18.84,0.06765
2017-12-11,50.89,0.06398000000000001
2017-12-12,29.02,0.06846000000000001
2017-12-13,17.94,0.07985500000000001
2017-12-14,287.68,0.09252500000000001
2017-12-15,41.65,0.09849
2017-12-16,1062.04,0.1799
2017-12-17,29.28,0.18464999999999998
2017-12-18,440.66,0.20747500000000002
2017-12-19,2299.36,0.19874999999999998
2017-12-20,558.24,0.20145000000000002
2017-12-21,851.48,0.17565
2017-12-22,79.36,0.154225
2017-12-23,503.14,0.14800000000000002
2017-12-24,49.91,0.157
2017-12-25,183.55,0.16044999999999998
2017-12-26,157.37,0.1431
2017-12-27,937.47,0.1615
2017-12-28,0.0,0.1799
2017-12-29,86.71,0.165075
2017-12-30,425.67,0.18735000000000002
2017-12-31,751.23,0.28242500000000004
2018-01-01,601.42,0.2937
2018-01-02,1227.38,0.45185000000000003
2018-01-03,4242100.61,0.615125
2018-01-04,1784.55,0.544675
2018-01-05,3238.4,0.5342
2018-01-06,585.58,0.5149
2018-01-07,0.0,0.5132
2018-01-08,0.0,0.5132
2018-01-09,0.0,0.5132
2018-01-10,9365.72,0.377375
2018-01-11,11067.94,0.44110000000000005
2018-01-12,18049.44,0.48839999999999995
2018-01-13,11542.03,0.44335
2018-01-14,8894.4,0.43067500000000003
2018-01-15,18423.65,0.359325
2018-01-16,18873.65,0.305825
2018-01-17,1223886.1,0.3141
2018-01-18,2274999.93,0.32407499999999995
2018-01-19,2572198.62,0.34095
2018-01-20,2633894.37,0.306425
2018-01-21,2642078.04,0.279875
2018-01-22,369313.56,0.274325
2018-01-23,18762.2,0.2843
2018-01-24,9279.13,0.298925
2018-01-25,8684.82,0.29200000000000004
2018-01-26,5318.45,0.292075
2018-01-27,6606.25,0.2993
2018-01-28,8028.13,0.2918
2018-01-29,37484.01,0.2766
2018-01-30,12234.83,0.22892500000000002
2018-01-31,12381.92,0.21794999999999998
2018-02-01,25909.37,0.175475
2018-02-02,14074.14,0.19849999999999998
2018-02-03,24098.43,0.222025
2018-02-04,451458.34,0.202425
2018-02-05,1596604.93,0.19312500000000002
2018-02-06,626447.68,0.2107
2018-02-07,281303.27,0.20845000000000002
2018-02-08,488715.84,0.21639999999999998
2018-02-09,536098.63,0.22895
2018-02-10,298584.23,0.21315
2018-02-11,528433.33,0.2104
2018-02-12,160669.08,0.20825
2018-02-13,588723.49,0.21425
2018-02-14,556160.57,0.220225
2018-02-15,506074.65,0.21855
2018-02-16,1003977.65,0.2235
2018-02-17,611463.54,0.21390000000000003
2018-02-18,409026.45,0.2086
2018-02-19,611810.39,0.20005
2018-02-20,576349.5,0.1869
2018-02-21,251788.06,0.1752
2018-02-22,169927.88,0.17047500000000002
2018-02-23,128756.99,0.16852499999999998
2018-02-24,235858.69,0.165275
2018-02-25,208109.04,0.168075
2018-02-26,164524.44,0.17007500000000003
2018-02-27,142526.07,0.16435
2018-02-28,559970.56,0.16092499999999998
2018-03-01,807553.9,0.15494999999999998
