Dates,Volume,Price
2017-01-16,0.3277,0.002251
2017-01-17,0.0,0.002251
2017-01-18,0.0,0.002251
2017-01-19,1595.84,0.0026145
2017-01-20,3184.71,0.002666
2017-01-21,589.25,0.0023765
2017-01-22,849.62,0.0022624999999999998
2017-01-23,16592.82,0.00224125
2017-01-24,1047.37,0.0021915
2017-01-25,2446.65,0.0021415
2017-01-26,1414.58,0.002214
2017-01-27,10.86,0.0021525
2017-01-28,77.82,0.00217625
2017-01-29,2416.03,0.0023
2017-01-30,643.43,0.0022987499999999996
2017-01-31,154.54,0.0023150000000000002
2017-02-01,2224.2,0.0023485
2017-02-02,1090.8,0.00229475
2017-02-03,0.0,0.002292
2017-02-04,0.5541,0.002367
2017-02-05,0.3987,0.002392
2017-02-06,10.34,0.0023095
2017-02-07,1695.88,0.002264
2017-02-08,5857.06,0.00212825
2017-02-09,16.04,0.00211925
2017-02-10,131.39,0.002248
2017-02-11,45.38,0.0021745
2017-02-12,0.0,0.002168
2017-02-13,20.04,0.0020299999999999997
2017-02-14,3.07,0.0019155
2017-02-15,2.37,0.00203975
2017-02-16,0.2361,0.0022624999999999998
2017-02-17,93.87,0.002182
2017-02-18,508.17,0.002016
2017-02-19,2807.14,0.0019965
2017-02-20,655.51,0.001985
2017-02-21,9995.04,0.0020635000000000002
2017-02-22,334.57,0.0019614999999999997
2017-02-23,6257.86,0.0018992500000000001
2017-02-24,5052.28,0.0018362499999999998
2017-02-25,2877.57,0.00183925
2017-02-26,1994.2,0.0018422500000000001
2017-02-27,1901.34,0.00186275
2017-02-28,9132.48,0.001822
2017-03-01,12768.42,0.00172775
2017-03-02,5694.47,0.0017465
2017-03-03,2278.63,0.0017265000000000002
2017-03-04,5568.01,0.0017355
2017-03-05,8527.64,0.001772
2017-03-06,7715.75,0.00190025
2017-03-07,10720.2,0.00191675
2017-03-08,9674.75,0.0018857499999999998
2017-03-09,15304.4,0.00170775
2017-03-10,6867.76,0.0015674999999999999
2017-03-11,9512.41,0.00172775
2017-03-12,19286.71,0.001869
2017-03-13,4082.39,0.0018909999999999999
2017-03-14,8092.7,0.0018927500000000001
2017-03-15,13911.65,0.001824
2017-03-16,12513.52,0.00177725
2017-03-17,21331.36,0.001878
2017-03-18,15039.79,0.001846
2017-03-19,4732.45,0.00185
2017-03-20,17448.55,0.00198
2017-03-21,15979.47,0.002022
2017-03-22,22547.69,0.00203475
2017-03-23,80511.23,0.00210425
2017-03-24,27441.55,0.00202475
2017-03-25,20671.03,0.00198525
2017-03-26,49005.9,0.001979
2017-03-27,25682.12,0.00197425
2017-03-28,21410.71,0.0019879999999999997
2017-03-29,74485.64,0.0021
