Dates,Volume,Price
2017-05-30,0.217,7.0
2017-05-31,58.72,6.24
2017-06-01,264.73,9.085
2017-06-02,226.32,11.469999999999999
2017-06-03,0.0,12.5
2017-06-04,153.84,11.1775
2017-06-05,266.07,10.6275
2017-06-06,101.82,9.725000000000001
2017-06-07,158.68,8.585
2017-06-08,31.8,9.01
2017-06-09,256.53,9.0
2017-06-10,623.45,8.2975
2017-06-11,327.53,8.75
2017-06-12,19.98,8.055
2017-06-13,104.07,8.71
2017-06-14,98.95,9.3275
2017-06-15,281.05,9.235000000000001
2017-06-16,1698.66,9.2
2017-06-17,23.4,8.8975
2017-06-18,30.93,8.2
2017-06-19,148.14,8.1975
2017-06-20,217.15,8.15
2017-06-21,58.09,8.4
2017-06-22,212.12,8.365
2017-06-23,0.0,8.6
2017-06-24,46.06,8.1
2017-06-25,58.12,7.4
2017-06-26,37.9,6.995
2017-06-27,60.46,4.4031
2017-06-28,45.64,5.710000000000001
2017-06-29,362.03,7.4275
2017-06-30,54.79,6.0275
2017-07-01,246.63,6.362500000000001
2017-07-02,12.03,6.41
2017-07-03,97.37,7.09
2017-07-04,887.36,6.5425
2017-07-05,83.68,5.95
2017-07-06,216.17,7.165
2017-07-07,285.81,5.8525
2017-07-08,12.49,5.4750000000000005
2017-07-09,62.13,4.26
2017-07-10,11.02,3.13
2017-07-11,576.14,3.97
2017-07-12,26.43,4.385
2017-07-13,53.7,3.7525
2017-07-14,27.23,3.5725000000000002
2017-07-15,24.85,3.9525000000000006
2017-07-16,834.69,3.84
2017-07-17,956.96,4.0649999999999995
2017-07-18,97.38,4.172499999999999
2017-07-19,207.66,4.2725
2017-07-20,1609.47,5.47
2017-07-21,1133.83,6.9350000000000005
2017-07-22,347.69,7.3549999999999995
2017-07-23,467.45,6.8425
2017-07-24,1727.66,5.4175
2017-07-25,663.65,5.1575
2017-07-26,1672.96,5.16
2017-07-27,987.69,5.025
2017-07-28,1234.72,4.9350000000000005
2017-07-29,83.56,5.08
2017-07-30,354.71,5.0275
2017-07-31,773.71,5.515000000000001
2017-08-01,1054.76,5.7225
2017-08-02,1012.07,5.6425
