Dates,Volume,Price
2017-05-25,28.15,0.00042090000000000004
2017-05-26,0.3694,0.0003694
2017-05-27,6.54,0.0003721
2017-05-28,0.6608,0.0003987
2017-05-29,2.07,0.0004166
2017-05-30,6.62,0.00040304999999999996
2017-05-31,0.7954,0.00041014999999999997
2017-06-01,0.0,0.0004237
2017-06-02,1.31,0.00042
2017-06-03,2.4,0.0004417
2017-06-04,1.12,0.00048685
2017-06-05,0.0,0.000488
2017-06-06,119.98,0.0005181000000000001
2017-06-07,2.84,0.00053175
2017-06-08,0.828,0.000492
2017-06-09,0.0,0.000551
2017-06-10,0.3792,0.000565
2017-06-11,0.0,0.0005048
2017-06-12,0.0,0.0005155
2017-06-13,1.17,0.000462625
2017-06-14,0.0,0.0004641
2017-06-15,0.2511,0.0004766
2017-06-16,0.0,0.0005045
2017-06-17,33.01,0.0004063
2017-06-18,0.0,0.0003402
2017-06-19,0.0,0.0003581
2017-06-20,0.0,0.0003481
2017-06-21,2.55,0.00043565
2017-06-22,0.273,0.000515
2017-06-23,6.92,0.0004403
2017-06-24,0.0,0.0003812
2017-06-25,0.0,0.0003669
2017-06-26,0.0,0.0003876
2017-06-27,3.1,0.00043825
2017-06-28,5.86,0.0004861
2017-06-29,30.3,0.0005085000000000001
2017-06-30,2.28,0.0005334
2017-07-01,3.16,0.0005073
2017-07-02,0.4888,0.0004758999999999999
2017-07-03,0.0,0.0004973
2017-07-04,3.21,0.0005387
2017-07-05,0.6588,0.00056205
2017-07-06,603.63,0.0008107
2017-07-07,61.93,0.00089135
2017-07-08,11.94,0.000766
2017-07-09,43.52,0.0008321
2017-07-10,0.8283,0.00073215
2017-07-11,48.81,0.0006488250000000001
2017-07-12,1.87,0.00053155
2017-07-13,573.13,0.0007372499999999998
2017-07-14,463.12,0.0007752
2017-07-15,1111.41,0.0007704249999999999
2017-07-16,23.9,0.00075935
2017-07-17,49.23,0.0010788500000000001
2017-07-18,41.67,0.0013585
2017-07-19,94.39,0.001555
2017-07-20,7.91,0.001391
2017-07-21,52.18,0.001028225
2017-07-22,6.32,0.0008684750000000001
2017-07-23,1001.53,0.00122265
2017-07-24,1354.39,0.0013819000000000001
2017-07-25,80.35,0.00106835
2017-07-26,154.92,0.0009355249999999999
2017-07-27,129.79,0.000771875
2017-07-28,0.82,0.0007927
2017-07-29,10.5,0.00074005
2017-07-30,1.64,0.0006919999999999999
2017-07-31,1.74,0.000673
2017-08-01,2.77,0.0006529
2017-08-02,6.4,0.00063225
2017-08-03,0.0,0.0006621
2017-08-04,7.33,0.0007341000000000001
2017-08-05,8.68,0.000711
2017-08-06,35.95,0.0007229
2017-08-07,4.9,0.0007030500000000001
2017-08-08,0.455,0.0006865
2017-08-09,4.15,0.0007365
2017-08-10,0.7309,0.0007491500000000001
2017-08-11,17.58,0.00085175
2017-08-12,1.44,0.0009547
2017-08-13,0.0,0.0009954
2017-08-14,2.44,0.00091555
2017-08-15,23.69,0.00089945
2017-08-16,22.68,0.0007915999999999999
2017-08-17,31.31,0.000718425
2017-08-18,2.15,0.0007056
2017-08-19,0.0,0.0006913
2017-08-20,0.0,0.0006809
2017-08-21,0.0,0.0006952
2017-08-22,13.82,0.0007247000000000001
2017-08-23,0.0,0.0008205
2017-08-24,3.28,0.0007201500000000001
2017-08-25,0.0,0.0006528
2017-08-26,2.11,0.000727925
2017-08-27,92.18,0.0009657
2017-08-28,1.02,0.001218
2017-08-29,3.89,0.0010543
2017-08-30,0.0,0.000947
2017-08-31,0.0,0.0009844
2017-09-01,3.63,0.0009603999999999999
2017-09-02,2.7,0.0009803
2017-09-03,4.49,0.0009174999999999999
2017-09-04,3.21,0.0009478999999999999
2017-09-05,0.0,0.0009237
2017-09-06,0.5266,0.0009271
2017-09-07,0.0,0.0008653
2017-09-08,1.09,0.0009971
2017-09-09,2.22,0.001019
2017-09-10,0.0,0.001012
2017-09-11,70.49,0.00112305
2017-09-12,0.0,0.001161
2017-09-13,3.24,0.001005
2017-09-14,1.02,0.001151
2017-09-15,1.12,0.0009804
2017-09-16,265.9,0.0009593
2017-09-17,15.9,0.0007688
2017-09-18,0.0,0.0006253
2017-09-19,0.5552,0.0007375999999999999
2017-09-20,81.62,0.00087725
2017-09-21,116.67,0.0008012
2017-09-22,34.25,0.0008049749999999999
2017-09-23,21.58,0.0007152
2017-09-24,144.65,0.00088495
2017-09-25,8.09,0.0010315
2017-09-26,201.97,0.00134775
2017-09-27,13.29,0.00140575
2017-09-28,13.55,0.0014815
2017-09-29,59.49,0.001853
2017-09-30,10036.7,0.050536000000000005
2017-10-01,3843.13,0.10654925
2017-10-02,35213.18,0.060601499999999996
2017-10-03,165173.68,0.07333275
2017-10-04,74679.07,0.123551
2017-10-05,37003.41,0.11024950000000001
2017-10-06,12049.74,0.0886985
2017-10-07,39335.48,0.09533175
2017-10-08,12323.12,0.125745
2017-10-09,3965.45,0.08006224999999999
2017-10-10,19219.25,0.05539
2017-10-11,340481.14,0.119165
2017-10-12,491944.28,0.10717750000000001
2017-10-13,326787.79,0.109275
2017-10-14,218634.76,0.11035
2017-10-15,239623.22,0.10672749999999999
2017-10-16,603687.5,0.11372249999999999
2017-10-17,1424446.66,0.137925
2017-10-18,699081.75,0.14895
2017-10-19,433060.38,0.13490000000000002
