Dates,Volume,Price
2016-01-01,19.45,0.8759
2016-01-02,0.0,0.9863
2016-01-03,0.0,0.9923
2016-01-04,0.0,0.9874
2016-01-05,0.0,0.9866
2016-01-06,0.3852,0.9263
2016-01-07,15.43,0.79365
2016-01-08,0.0,0.7841
2016-01-09,7.46,0.743925
2016-01-10,20.18,0.65255
2016-01-11,0.0,0.6676
2016-01-12,48.42,0.7637999999999999
2016-01-13,12.78,0.9324999999999999
2016-01-14,200.3,0.87945
2016-01-15,224.99,0.8909750000000001
2016-01-16,0.2675,0.8279500000000001
2016-01-17,596.02,1.07705
2016-01-18,17.19,0.992275
2016-01-19,138.44,0.9348000000000001
2016-01-20,27.62,1.03
2016-01-21,10.99,0.89345
2016-01-22,7.72,0.879275
2016-01-23,194.71,0.97235
2016-01-24,9.41,0.996125
2016-01-25,469.75,1.1025
2016-01-26,2577.96,1.3350000000000002
2016-01-27,293.53,1.405
2016-01-28,503.09,1.2022749999999998
2016-01-29,21.07,1.0017
2016-01-30,53.9,0.909075
2016-01-31,282.57,0.90645
2016-02-01,41.26,0.9061999999999999
2016-02-02,87.72,0.8954
2016-02-03,73.83,0.8716999999999999
2016-02-04,0.0,0.8587
2016-02-05,20.84,0.8893499999999999
2016-02-06,105.15,0.953675
2016-02-07,48.04,0.9921749999999999
2016-02-08,6.18,1.03995
2016-02-09,138.95,0.966625
2016-02-10,348.11,1.0018999999999998
2016-02-11,60.73,1.082075
2016-02-12,213.03,1.055375
2016-02-13,0.0,1.03
2016-02-14,662.13,1.050625
2016-02-15,105.57,1.0662
2016-02-16,107.36,1.0197
2016-02-17,35.83,0.9708999999999999
2016-02-18,12.25,0.9779500000000001
2016-02-19,33.47,1.025
2016-02-20,510.3,1.01
2016-02-21,814.07,1.01
2016-02-22,531.43,0.85765
2016-02-23,0.2584,0.86345
2016-02-24,0.284,0.93165
2016-02-25,5.42,0.83715
2016-02-26,227.86,0.770625
2016-02-27,128.07,0.81325
2016-02-28,216.02,0.8659
2016-02-29,930.33,0.8508499999999999
2016-03-01,458.3,0.78715
2016-03-02,187.81,0.8136
2016-03-03,59.16,0.869825
2016-03-04,466.22,0.8580000000000001
2016-03-05,588.12,1.176025
2016-03-06,135.47,1.23855
2016-03-07,231.71,1.23
2016-03-08,117.85,1.3399999999999999
2016-03-09,37.7,1.3
2016-03-10,156.41,1.36
2016-03-11,210.94,1.3625
2016-03-12,191.83,1.3875
2016-03-13,144.84,1.2625
2016-03-14,1.05,1.27
