Dates,Volume,Price
2016-01-01,285.09,0.0004283
2016-01-02,646.09,0.00043395
2016-01-03,64.69,0.000429
2016-01-04,76.29,0.000425825
2016-01-05,98.65,0.000421125
2016-01-06,614.89,0.00047075
2016-01-07,319.77,0.00044610000000000006
2016-01-08,179.65,0.00044607500000000004
2016-01-09,744.55,0.00042835000000000003
2016-01-10,130.69,0.0004298
2016-01-11,334.86,0.0004328
2016-01-12,190.8,0.00042134999999999997
2016-01-13,287.79,0.00044735
2016-01-14,492.97,0.0003853
2016-01-15,236.62,0.000374425
2016-01-16,521.47,0.00035665
2016-01-17,564.52,0.000351725
2016-01-18,234.55,0.00033865
2016-01-19,671.93,0.000367925
2016-01-20,85.19,0.000364075
2016-01-21,367.77,0.00036447500000000006
2016-01-22,537.8,0.0003828
2016-01-23,187.73,0.00038705
2016-01-24,366.73,0.000369175
2016-01-25,3150.39,0.00045312499999999997
2016-01-26,1606.6,0.00053525
2016-01-27,1717.49,0.000511625
2016-01-28,1017.54,0.000496275
2016-01-29,820.83,0.000519425
2016-01-30,797.25,0.00049375
2016-01-31,1189.99,0.000489425
2016-02-01,173.47,0.0005020000000000001
2016-02-02,1011.48,0.0005235000000000001
2016-02-03,1169.63,0.000599675
2016-02-04,804.06,0.0005787
2016-02-05,532.03,0.00055185
2016-02-06,233.5,0.00054615
2016-02-07,341.9,0.0005477749999999999
2016-02-08,192.82,0.000560175
2016-02-09,978.0,0.0005680500000000001
2016-02-10,548.8,0.000554
2016-02-11,5181.97,0.0006663
2016-02-12,10799.45,0.0009146250000000001
2016-02-13,2573.63,0.0010188
2016-02-14,4981.72,0.0010970749999999999
2016-02-15,6483.66,0.0010993
2016-02-16,5346.64,0.0010982499999999998
2016-02-17,6841.25,0.00122525
2016-02-18,59486.11,0.0019865
2016-02-19,43746.38,0.00249275
2016-02-20,284129.61,0.00325125
2016-02-21,110990.2,0.00284575
2016-02-22,71937.51,0.00227925
2016-02-23,22176.0,0.002235
2016-02-24,45200.3,0.0024475
2016-02-25,114036.1,0.0028845000000000003
2016-02-26,155413.47,0.0034334999999999995
2016-02-27,232361.18,0.00409225
2016-02-28,251169.25,0.00400325
2016-02-29,183292.21,0.003212
2016-03-01,92876.64,0.0032315
2016-03-02,50553.0,0.003022
2016-03-03,62785.23,0.0027147499999999997
2016-03-04,42116.22,0.0026525
2016-03-05,84285.43,0.0028659999999999996
2016-03-06,46428.09,0.00294475
2016-03-07,68032.46,0.00305425
2016-03-08,75801.15,0.00323075
2016-03-09,64577.64,0.0033775000000000003
2016-03-10,139433.73,0.00388525
2016-03-11,151655.37,0.004094250000000001
2016-03-12,73771.05,0.003917
2016-03-13,302854.38,0.004360500000000001
2016-03-14,1093590.27,0.005686
2016-03-15,2060631.4,0.0075509999999999996
2016-03-16,3410464.35,0.011728249999999999
2016-03-17,1040426.99,0.010065
2016-03-18,535240.6,0.00977675
2016-03-19,162507.6,0.00920525
2016-03-20,211012.43,0.008741249999999999
2016-03-21,165285.39,0.00888725
2016-03-22,329456.66,0.00889425
2016-03-23,160612.88,0.0087345
2016-03-24,138175.22,0.008455500000000001
2016-03-25,102406.8,0.00806975
2016-03-26,192139.36,0.007154
2016-03-27,160913.23,0.0072135
2016-03-28,60565.0,0.0070745
2016-03-29,202276.48,0.00753
2016-03-30,219236.96,0.00835875
2016-03-31,296015.3,0.00909825
2016-04-01,130747.98,0.00870625
2016-04-02,84881.13,0.00849625
2016-04-03,89852.98,0.0089455
2016-04-04,72840.38,0.00882425
2016-04-05,50420.24,0.00823775
2016-04-06,42862.24,0.00833025
2016-04-07,66484.52,0.008496
2016-04-08,24446.19,0.00815
2016-04-09,89001.0,0.00749
2016-04-10,24500.54,0.00728225
2016-04-11,62967.96,0.00683825
2016-04-12,20637.6,0.0068085
2016-04-13,41279.96,0.00703575
2016-04-14,33157.91,0.007079500000000001
2016-04-15,23344.15,0.007155
2016-04-16,15780.67,0.00722725
2016-04-17,18114.72,0.00708025
2016-04-18,49026.38,0.007636
2016-04-19,31964.32,0.007790999999999999
2016-04-20,26311.38,0.0073455
2016-04-21,22481.24,0.00715675
2016-04-22,13570.75,0.00731025
2016-04-23,202873.56,0.008437749999999999
2016-04-24,79759.02,0.008296
2016-04-25,23252.58,0.0080445
2016-04-26,51810.71,0.00819925
2016-04-27,79329.1,0.00906475
2016-04-28,397941.83,0.010461250000000002
2016-04-29,304195.08,0.01045575
2016-04-30,695522.64,0.009768750000000001
2016-05-01,683060.15,0.0096415
2016-05-02,186644.24,0.00991625
2016-05-03,77723.34,0.0095335
2016-05-04,54476.45,0.009110749999999999
2016-05-05,119281.43,0.00898325
2016-05-06,45302.81,0.0090545
2016-05-07,29996.84,0.00880125
2016-05-08,20075.06,0.008607
2016-05-09,27091.05,0.00822
2016-05-10,108203.6,0.00858525
2016-05-11,24062.42,0.008785000000000001
2016-05-12,18255.78,0.008433
2016-05-13,21431.17,0.008108750000000001
2016-05-14,9010.9,0.007987000000000001
2016-05-15,13947.6,0.007842
2016-05-16,21261.34,0.007847
2016-05-17,38030.49,0.007718249999999999
2016-05-18,29964.32,0.007361250000000001
2016-05-19,24539.99,0.00729025
2016-05-20,14671.74,0.007434999999999999
2016-05-21,11896.33,0.0074470000000000005
2016-05-22,4903.76,0.00731975
2016-05-23,68349.54,0.0067295
2016-05-24,32401.44,0.005992
2016-05-25,68408.79,0.00531625
2016-05-26,53348.38,0.0051459999999999995
2016-05-27,25982.17,0.005266999999999999
2016-05-28,38449.44,0.0054122499999999995
2016-05-29,14297.1,0.0053360000000000005
2016-05-30,10571.52,0.005062
2016-05-31,21933.01,0.005445
2016-06-01,39017.35,0.0063375
2016-06-02,43531.42,0.006912
2016-06-03,18095.64,0.006727499999999999
2016-06-04,32033.1,0.0068715
2016-06-05,167014.43,0.0075910000000000005
2016-06-06,121181.84,0.0079025
2016-06-07,20815.88,0.007619250000000001
2016-06-08,15703.07,0.00730275
2016-06-09,11393.61,0.007069
2016-06-10,13638.15,0.00703575
2016-06-11,82291.15,0.00796025
2016-06-12,79511.23,0.007770999999999999
2016-06-13,29196.15,0.007702499999999999
2016-06-14,70259.57,0.007545
2016-06-15,19171.01,0.007813750000000001
2016-06-16,48960.52,0.00724375
2016-06-17,28407.52,0.00704
2016-06-18,12491.59,0.00715775
2016-06-19,13460.04,0.0070995
2016-06-20,118783.93,0.00716275
2016-06-21,42447.95,0.00651525
2016-06-22,23503.89,0.0069365
2016-06-23,20237.49,0.0071255
2016-06-24,16033.12,0.007259000000000001
2016-06-25,44149.59,0.007226749999999999
2016-06-26,31309.2,0.00709775
2016-06-27,32196.16,0.006976250000000001
2016-06-28,20547.35,0.00707525
2016-06-29,42759.01,0.007824
2016-06-30,36070.19,0.00817575
2016-07-01,35311.04,0.0083555
2016-07-02,3854.74,0.00772475
2016-07-03,29781.4,0.007717
2016-07-04,40661.43,0.007196
2016-07-05,10327.21,0.0073005000000000006
2016-07-06,8364.51,0.0069145000000000005
2016-07-07,8895.99,0.00714475
2016-07-08,10986.21,0.00719
2016-07-09,27291.98,0.0070680000000000005
2016-07-10,14198.31,0.00720725
2016-07-11,22385.8,0.0074262500000000006
2016-07-12,11952.8,0.007156999999999999
2016-07-13,9021.6,0.00713775
2016-07-14,54432.0,0.00745075
2016-07-15,84143.64,0.008379250000000001
2016-07-16,90144.5,0.008843
2016-07-17,34593.5,0.00804275
2016-07-18,46260.78,0.00802625
2016-07-19,38431.63,0.0080275
2016-07-20,47421.13,0.00811825
2016-07-21,171970.81,0.008676
2016-07-22,33948.6,0.00897075
2016-07-23,49889.11,0.0089055
2016-07-24,39161.43,0.008734
2016-07-25,76883.8,0.00883425
2016-07-26,25026.06,0.008693999999999999
2016-07-27,32279.89,0.0082925
2016-07-28,28757.04,0.00799775
2016-07-29,31848.47,0.00851
2016-07-30,15025.92,0.00777175
2016-07-31,11463.47,0.0074815
2016-08-01,91417.27,0.00622275
2016-08-02,22894.37,0.00676875
2016-08-03,23729.51,0.00715525
2016-08-04,11853.53,0.0074505000000000005
2016-08-05,13775.0,0.007620999999999999
2016-08-06,40328.07,0.0076602499999999995
2016-08-07,28776.44,0.007431750000000001
2016-08-08,31172.9,0.0074925
2016-08-09,16383.12,0.007825499999999999
2016-08-10,385727.47,0.009388500000000001
2016-08-11,230895.39,0.01023825
2016-08-12,70804.18,0.009812749999999999
2016-08-13,105350.79,0.00997225
2016-08-14,63691.29,0.00958825
2016-08-15,22854.15,0.0098375
2016-08-16,10466.23,0.009689499999999998
2016-08-17,46237.98,0.010125249999999999
2016-08-18,27116.83,0.010426000000000001
2016-08-19,176719.44,0.011305
2016-08-20,138085.85,0.0122175
2016-08-21,577885.75,0.01167175
2016-08-22,165412.89,0.010305749999999999
2016-08-23,66475.76,0.010346749999999998
2016-08-24,47688.24,0.01025325
2016-08-25,29577.01,0.009863750000000001
2016-08-26,19631.29,0.00985225
2016-08-27,69250.92,0.00970875
2016-08-28,55894.87,0.00942325
2016-08-29,54554.38,0.009409
2016-08-30,24005.92,0.00980075
2016-08-31,40958.33,0.00955925
2016-09-01,54936.68,0.00979575
2016-09-02,256057.55,0.0116675
2016-09-03,121285.03,0.012065000000000001
2016-09-04,52683.25,0.011787500000000001
2016-09-05,141058.93,0.01249
2016-09-06,78895.45,0.012002500000000001
2016-09-07,54281.3,0.0119425
2016-09-08,36738.01,0.0113475
2016-09-09,37769.96,0.011595000000000001
2016-09-10,17597.4,0.0116425
2016-09-11,35858.68,0.01177
2016-09-12,36218.29,0.0119475
2016-09-13,43898.06,0.011995
2016-09-14,26601.02,0.0117025
2016-09-15,10527.69,0.011640000000000001
2016-09-16,11585.25,0.0113525
2016-09-17,16501.19,0.011297500000000002
2016-09-18,26573.46,0.0111075
2016-09-19,16429.98,0.0108225
2016-09-20,20728.18,0.010592499999999998
2016-09-21,6275.93,0.01065
2016-09-22,8375.58,0.010517499999999999
2016-09-23,14090.14,0.01013225
2016-09-24,11418.4,0.01009225
2016-09-25,19906.61,0.00991625
2016-09-26,30292.53,0.0094345
2016-09-27,13923.07,0.00953275
2016-09-28,11413.66,0.00965475
2016-09-29,23057.52,0.009198000000000001
2016-09-30,24852.51,0.00868575
