Dates,Volume,Price
2017-04-29,3891.18,0.77095
2017-04-30,9377.84,1.06965
2017-05-01,13924.04,1.03735
2017-05-02,22588.96,1.0162499999999999
2017-05-03,27652.49,1.0175
2017-05-04,20751.8,0.900575
2017-05-05,26942.98,0.844325
2017-05-06,21692.66,0.83395
2017-05-07,27810.88,0.821925
2017-05-08,29635.08,0.8588
2017-05-09,33175.82,0.9119999999999999
2017-05-10,29981.09,0.979725
2017-05-11,27508.38,0.9733499999999999
2017-05-12,26910.27,0.9874
2017-05-13,25090.33,0.991175
2017-05-14,28307.25,0.942825
2017-05-15,29445.78,0.858825
2017-05-16,28625.5,0.908275
2017-05-17,23542.24,1.00645
2017-05-18,37192.26,1.145
2017-05-19,28774.36,1.065
2017-05-20,33201.55,1.2125000000000001
2017-05-21,37265.82,1.17
2017-05-22,29460.52,0.9917375
2017-05-23,44408.85,1.605
2017-05-24,43430.11,1.5200000000000002
2017-05-25,29100.73,1.405
2017-05-26,31515.66,1.3525
2017-05-27,27145.99,1.4075
2017-05-28,30073.35,1.5025
2017-05-29,56012.01,1.71
2017-05-30,62659.44,1.6675000000000002
2017-05-31,60848.67,1.3443749999999999
2017-06-01,65722.45,1.8849999999999998
2017-06-02,89077.94,2.2775
2017-06-03,126844.59,7.0025
2017-06-04,72060.04,2.9050000000000002
2017-06-05,109651.54,2.9725
2017-06-06,53369.07,2.8200000000000003
2017-06-07,74203.04,2.7624999999999997
2017-06-08,66649.12,2.8175000000000003
2017-06-09,60350.15,3.335
2017-06-10,75366.13,3.1100000000000003
2017-06-11,58792.43,3.0650000000000004
2017-06-12,58897.95,2.9075
2017-06-13,52327.11,2.7325
2017-06-14,52061.88,2.8525
2017-06-15,44458.98,2.9749999999999996
2017-06-16,31348.64,3.1775
2017-06-17,35689.75,2.9475
2017-06-18,49797.02,2.8375
2017-06-19,53576.2,2.7199999999999998
2017-06-20,83208.89,2.6675000000000004
2017-06-21,77215.32,2.8275
2017-06-22,67380.24,2.745
2017-06-23,75248.08,2.67
2017-06-24,65079.78,2.5324999999999998
2017-06-25,74526.41,2.4775
2017-06-26,67685.71,2.7125
2017-06-27,63827.66,2.7775
2017-06-28,55277.38,2.455
2017-06-29,52166.54,2.5225
2017-06-30,47446.47,2.425
2017-07-01,42678.67,2.49
2017-07-02,45015.27,2.45
2017-07-03,66881.43,2.5650000000000004
2017-07-04,57425.67,2.6075
2017-07-05,30606.8,2.3525
2017-07-06,43998.18,1.9975
2017-07-07,62362.26,1.9425000000000001
2017-07-08,45271.74,1.91
2017-07-09,123477.06,1.6725
2017-07-10,43092.9,1.5425
2017-07-11,31996.77,1.825
