Dates,Volume,Price
2017-05-25,1.13,0.00016835
2017-05-26,0.0,0.0001437
2017-05-27,0.0,0.0001532
2017-05-28,0.5184,0.0001652
2017-05-29,102.26,0.00013157499999999999
2017-05-30,10.2,0.00014395
2017-05-31,0.8203,0.00017492499999999998
2017-06-01,10.99,0.00018695000000000002
2017-06-02,10.79,0.00021632499999999999
2017-06-03,25.12,0.00022715
2017-06-04,49.17,0.0002502
2017-06-05,12.62,0.00027269999999999996
2017-06-06,9.41,0.000249
2017-06-07,9.26,0.00025889999999999995
2017-06-08,1.12,0.000260025
2017-06-09,0.0,0.00029
2017-06-10,0.0,0.0002973
2017-06-11,0.8141,0.00022585
2017-06-12,0.4884,0.00021705000000000002
2017-06-13,5.88,0.0001974
2017-06-14,0.0,0.000171
2017-06-15,0.2509,0.00021325000000000003
2017-06-16,0.0,0.0002655
2017-06-17,52.7,0.0002032
2017-06-18,24.93,0.000202825
2017-06-19,122.06,0.0002892
2017-06-20,0.3749,0.0003749
2017-06-21,2.55,0.0003812
2017-06-22,3.2,0.00032525
2017-06-23,18.27,0.00028490000000000004
2017-06-24,10.02,0.00022875
2017-06-25,539.24,0.00034245
2017-06-26,533.69,0.00047797499999999995
2017-06-27,29.09,0.0004382
2017-06-28,1.67,0.00040935
2017-06-29,6.38,0.00042790000000000005
2017-06-30,90.17,0.0003455
2017-07-01,7.32,0.00032972499999999995
2017-07-02,3.18,0.000353725
2017-07-03,15.81,0.00036642500000000003
2017-07-04,1.91,0.00034165
2017-07-05,11.43,0.00030067500000000003
2017-07-06,71349.76,0.00211155
2017-07-07,6918666.42,0.37029225
2017-07-08,5450347.95,0.638125
2017-07-09,2868431.28,0.726925
2017-07-10,2105670.83,0.641525
2017-07-11,1733191.9,0.736
2017-07-12,865444.79,0.7525000000000001
2017-07-13,581060.87,0.67615
2017-07-14,436913.54,0.60015
2017-07-15,548457.39,0.551825
2017-07-16,776059.66,0.6736
2017-07-17,796194.26,0.705925
2017-07-18,566670.46,0.668625
2017-07-19,658179.11,0.755025
2017-07-20,658485.43,0.667575
2017-07-21,753192.91,0.76705
2017-07-22,899453.3,0.838025
2017-07-23,4473318.68,1.03975
2017-07-24,1504448.92,0.95295
2017-07-25,984831.27,0.908275
2017-07-26,593637.91,1.009925
2017-07-27,955063.43,0.95905
2017-07-28,418628.56,0.90115
2017-07-29,409171.41,0.9263
2017-07-30,479965.49,0.912625
2017-07-31,1036988.4,0.910275
2017-08-01,664029.96,0.930225
2017-08-02,899507.66,0.979175
2017-08-03,3910983.53,1.1524999999999999
2017-08-04,14402945.82,1.8350000000000002
2017-08-05,11990541.99,2.085
2017-08-06,6737222.42,2.04
2017-08-07,4065004.53,2.17
2017-08-08,3169787.55,2.1624999999999996
2017-08-09,19960654.86,2.6525000000000003
2017-08-10,42178189.7,3.9675000000000002
2017-08-11,65241234.54,5.102499999999999
2017-08-12,32690217.92,4.8975
2017-08-13,17185184.04,5.02
2017-08-14,15721497.58,4.2325
2017-08-15,15641386.58,4.6625
2017-08-16,12605917.88,4.3725
2017-08-17,11783499.47,3.785
2017-08-18,16874572.34,3.945
2017-08-19,9598243.12,4.1025
2017-08-20,8374345.6,3.82
2017-08-21,6796182.91,3.6325
2017-08-22,8114965.77,3.6525
2017-08-23,7050297.04,3.7075
2017-08-24,6141870.87,3.565
2017-08-25,7415539.56,3.6374999999999997
2017-08-26,5423142.21,3.6624999999999996
2017-08-27,11488306.53,3.7950000000000004
2017-08-28,34080642.11,4.285
2017-08-29,20751175.67,4.3525
2017-08-30,11395771.58,4.4350000000000005
2017-08-31,10528314.15,4.2625
2017-09-01,8501873.74,3.6775
2017-09-02,7275819.59,3.6425
2017-09-03,15166812.79,3.0625
2017-09-04,8865040.51,3.0174999999999996
2017-09-05,9099757.9,3.175
2017-09-06,9080811.35,3.105
2017-09-07,8942826.72,2.8825
2017-09-08,3928996.31,2.7725
2017-09-09,4076812.71,2.6475
2017-09-10,2794294.21,2.6025
2017-09-11,5193551.19,2.5825
2017-09-12,3468273.41,2.3200000000000003
2017-09-13,3818993.11,1.8449999999999998
2017-09-14,6063142.46,2.07
2017-09-15,3236230.91,2.1975
2017-09-16,1339269.62,2.1175
2017-09-17,2623067.17,2.2699999999999996
2017-09-18,3239832.87,2.03
2017-09-19,2597378.62,1.9125
2017-09-20,2442699.15,1.6600000000000001
2017-09-21,16016089.1,1.915
2017-09-22,5030668.52,2.1224999999999996
2017-09-23,2028368.3,2.07
2017-09-24,4477115.33,2.31
2017-09-25,7958322.75,2.4425
2017-09-26,9192081.24,2.9025
2017-09-27,7182952.48,2.88
2017-09-28,3999349.19,2.6125
2017-09-29,2347309.37,2.6725
2017-09-30,3254355.2,2.7475
2017-10-01,3416232.12,2.5825
2017-10-02,2182348.09,2.36
2017-10-03,2321142.24,2.2375
2017-10-04,2332965.85,2.1475
2017-10-05,1626400.81,2.2
2017-10-06,1129798.29,2.165
2017-10-07,2351340.3,2.025
2017-10-08,2566652.67,1.9275
2017-10-09,2400374.75,1.9450000000000003
2017-10-10,2729061.93,2.125
2017-10-11,3015357.3,2.285
2017-10-12,2330767.89,2.04
2017-10-13,1564612.19,1.9625
2017-10-14,1536897.58,1.9025
2017-10-15,1296288.52,1.9224999999999999
2017-10-16,1455221.01,1.8525
2017-10-17,2004187.82,1.9425
2017-10-18,1740896.15,1.9925000000000002
2017-10-19,1741706.89,1.92
2017-10-20,1470498.41,1.7475
2017-10-21,1017564.68,1.79
2017-10-22,1291812.88,1.7225
2017-10-23,2827401.57,1.725
2017-10-24,1222055.47,1.9024999999999999
2017-10-25,1661662.77,1.8525
2017-10-26,1099665.58,1.7775
2017-10-27,655760.2,1.7625
2017-10-28,1154225.61,1.7875
2017-10-29,1146398.26,1.7375
2017-10-30,1355615.55,1.8350000000000002
2017-10-31,2563417.36,1.705
2017-11-01,2687427.64,1.5275
2017-11-02,2641030.73,1.6625
2017-11-03,909393.23,1.7025
2017-11-04,1098256.93,1.6025
2017-11-05,1394813.33,1.5574999999999999
2017-11-06,1499435.82,1.6600000000000001
2017-11-07,3154320.92,1.84
2017-11-08,2939062.5,1.915
2017-11-09,3064379.67,1.7874999999999999
2017-11-10,988823.16,1.6925
2017-11-11,1898704.06,1.5350000000000001
2017-11-12,1469050.62,1.67
2017-11-13,1428657.21,1.6724999999999999
2017-11-14,1425539.96,1.7625
2017-11-15,1720013.44,1.7175
2017-11-16,1649099.81,1.615
2017-11-17,1634708.15,1.6900000000000002
2017-11-18,1453514.06,1.7125
