Dates,Volume,Price
2017-05-06,336296.8,4921.807825
2017-05-07,352230.96,3388.3369749999997
2017-05-08,164657.57,1.3319750000000001
2017-05-09,160732.1,0.969775
2017-05-10,162093.0,0.8849
2017-05-11,168735.44,0.8458
2017-05-12,131538.07,0.938
2017-05-13,104060.87,0.9110750000000001
2017-05-14,104571.71,0.7834749999999999
2017-05-15,70523.85,0.6951499999999999
2017-05-16,65684.54,0.6665
2017-05-17,56394.38,0.793825
2017-05-18,50634.03,0.9070750000000001
2017-05-19,46604.89,0.784225
2017-05-20,68499.05,0.89925
2017-05-21,376615.15,0.8548499999999999
2017-05-22,892022.23,1.5425750000000003
2017-05-23,441813.12,1.2589
2017-05-24,320626.7,1.0417750000000001
2017-05-25,48388.19,0.9300999999999999
2017-05-26,117998.25,0.9857250000000001
2017-05-27,64262.45,1.0297
2017-05-28,368786.12,1.038775
2017-05-29,59728.2,0.9047499999999999
2017-05-30,53391.86,0.849325
2017-05-31,68105.36,0.8173
2017-06-01,64344.38,0.86235
2017-06-02,438558.26,0.95165
2017-06-03,328424.21,1.17
2017-06-04,94419.75,1.1524999999999999
2017-06-05,67488.66,1.24
2017-06-06,144593.61,1.125
2017-06-07,135376.44,0.967125
2017-06-08,246760.96,0.997825
2017-06-09,108837.01,1.0124
2017-06-10,72931.83,0.9076249999999999
2017-06-11,321216.07,1.1736499999999999
2017-06-12,88875.37,1.0635
2017-06-13,60943.35,0.876875
2017-06-14,68438.24,0.878325
2017-06-15,68362.56,0.8988750000000001
2017-06-16,65536.04,0.9802000000000001
2017-06-17,92440.81,0.938225
2017-06-18,313824.18,1.025075
2017-06-19,108428.95,1.0345
2017-06-20,361304.4,1.0771249999999999
2017-06-21,356711.79,1.1925
2017-06-22,319178.45,1.2325000000000002
2017-06-23,116285.4,1.1275
2017-06-24,84503.32,0.978275
2017-06-25,73359.54,0.87625
2017-06-26,70438.3,0.8669000000000001
2017-06-27,72088.18,1.029525
2017-06-28,52121.45,0.951125
2017-06-29,101074.86,1.0003
2017-06-30,134542.68,1.001575
2017-07-01,60406.3,1.0725000000000002
2017-07-02,88231.21,1.00135
2017-07-03,36954.58,0.976575
2017-07-04,40697.26,0.958075
2017-07-05,206609.19,0.8685
2017-07-06,87160.75,0.7349000000000001
2017-07-07,64846.76,0.7330749999999999
2017-07-08,42272.13,0.6989000000000001
2017-07-09,63795.39,0.590875
2017-07-10,123240.31,0.55025
2017-07-11,36948.0,0.663725
2017-07-12,28489.78,0.61025
2017-07-13,46760.68,0.5702
2017-07-14,61364.04,0.5069750000000001
2017-07-15,38782.09,0.480575
2017-07-16,37067.32,0.585425
2017-07-17,88528.64,0.707325
2017-07-18,84004.4,0.635975
2017-07-19,74029.47,0.782825
2017-07-20,44078.58,0.71965
2017-07-21,44647.29,0.7533750000000001
2017-07-22,54469.13,0.7475749999999999
2017-07-23,48222.33,0.756825
2017-07-24,39802.56,0.7068749999999999
2017-07-25,49420.19,0.677675
2017-07-26,50443.49,0.661925
2017-07-27,44720.24,0.6229
2017-07-28,37072.99,0.6274500000000001
2017-07-29,38049.4,0.571225
2017-07-30,31810.92,0.60835
2017-07-31,90070.86,0.633
2017-08-01,38768.97,0.599725
2017-08-02,46843.43,0.6276250000000001
2017-08-03,58076.88,0.668275
2017-08-04,92304.34,0.795925
2017-08-05,92326.78,0.8555250000000001
2017-08-06,67620.54,0.9492749999999999
2017-08-07,59067.78,1.0395
2017-08-08,97824.01,1.015125
2017-08-09,94498.73,1.0117
2017-08-10,149970.14,1.209375
2017-08-11,381314.93,1.5825
2017-08-12,140645.43,1.5425
2017-08-13,59155.4,1.345
2017-08-14,95585.19,1.1575000000000002
2017-08-15,175151.99,1.37
2017-08-16,1043766.97,2.1075
2017-08-17,295605.18,1.9175
2017-08-18,152268.86,1.6624999999999999
2017-08-19,134335.73,1.8775
2017-08-20,136614.71,1.7650000000000001
2017-08-21,105825.55,1.5775
2017-08-22,124920.95,1.635
2017-08-23,66474.51,1.6050000000000002
2017-08-24,53099.2,1.5975
2017-08-25,75955.51,1.56
2017-08-26,238079.8,1.8075
2017-08-27,367986.84,2.1350000000000002
2017-08-28,962731.11,2.785
2017-08-29,272316.45,2.7425
2017-08-30,273503.93,2.3099999999999996
2017-08-31,335199.45,2.0725
2017-09-01,161293.93,1.8325
2017-09-02,187596.26,1.7500000000000002
2017-09-03,183738.32,1.4025
2017-09-04,119118.94,1.5350000000000001
2017-09-05,109743.78,1.7375
2017-09-06,104411.74,1.7025000000000001
2017-09-07,143756.03,1.605
2017-09-08,42952.27,1.5250000000000001
2017-09-09,76612.32,1.4175
2017-09-10,77616.45,1.3775
2017-09-11,100588.63,1.33
2017-09-12,106036.9,1.3074999999999999
2017-09-13,70597.84,1.1025
2017-09-14,69734.29,1.305
2017-09-15,85212.4,1.3
2017-09-16,59421.42,1.3800000000000001
2017-09-17,111567.51,1.6475
2017-09-18,85418.32,1.5499999999999998
2017-09-19,45887.43,1.4474999999999998
2017-09-20,43712.33,1.2675
2017-09-21,70383.56,1.3250000000000002
2017-09-22,36188.81,1.4
2017-09-23,41067.73,1.3525
2017-09-24,46545.11,1.48
2017-09-25,120278.47,1.615
2017-09-26,86554.12,1.8575000000000002
2017-09-27,43216.93,1.7349999999999999
2017-09-28,104426.0,1.6549999999999998
2017-09-29,50705.55,1.8175
2017-09-30,213716.91,1.9525000000000001
2017-10-01,182839.14,1.9275000000000002
2017-10-02,232533.16,1.75
2017-10-03,66992.92,1.6800000000000002
2017-10-04,40241.16,1.5924999999999998
2017-10-05,56427.92,1.5699999999999998
2017-10-06,92165.4,1.49
2017-10-07,206452.45,1.405
2017-10-08,178327.95,1.3625
2017-10-09,51611.36,1.3575000000000002
2017-10-10,39949.31,1.385
2017-10-11,122448.08,1.325
2017-10-12,68507.81,1.2925
2017-10-13,26815.96,1.205
2017-10-14,41024.95,1.1549999999999998
2017-10-15,64456.8,1.1525
2017-10-16,45469.92,1.145
2017-10-17,34611.55,1.1475000000000002
2017-10-18,31292.82,1.125
2017-10-19,43851.16,1.1625
2017-10-20,60800.05,1.27
2017-10-21,33704.99,1.2475
2017-10-22,65880.12,1.225
2017-10-23,35587.82,1.2475
2017-10-24,60169.46,1.2725
2017-10-25,50685.84,1.2475
2017-10-26,42085.61,1.21
2017-10-27,24498.24,1.17
2017-10-28,37248.55,1.1875
2017-10-29,45508.7,1.1425
2017-10-30,51380.32,1.035725
2017-10-31,89498.28,0.97115
2017-11-01,50793.59,0.9885499999999999
2017-11-02,41676.67,1.056175
2017-11-03,54388.09,1.04875
2017-11-04,61605.67,1.0975000000000001
2017-11-05,46462.2,1.0975000000000001
2017-11-06,47883.01,1.06
2017-11-07,28036.58,1.155
2017-11-08,100146.43,1.385
2017-11-09,45932.24,1.3475000000000001
2017-11-10,33384.39,1.355
2017-11-11,33503.68,1.2325
2017-11-12,22488.64,1.2525
2017-11-13,29262.16,1.2600000000000002
2017-11-14,37749.08,1.3449999999999998
2017-11-15,40954.35,1.3900000000000001
2017-11-16,38144.5,1.295
