Dates,Volume,Price
2016-09-07,6531.85,0.0782
2016-09-08,92640.05,0.087645
2016-09-09,14856.8,0.09761
2016-09-10,11188.52,0.09466
2016-09-11,5689.64,0.09503
2016-09-12,1048.39,0.09513
2016-09-13,1400.73,0.09527
2016-09-14,6551.43,0.098225
2016-09-15,2031.25,0.1013
2016-09-16,548.09,0.1012
2016-09-17,2074.06,0.1018
2016-09-18,1000.64,0.1017
2016-09-19,273.18,0.1016
2016-09-20,2675.31,0.09955
2016-09-21,1463.12,0.09929
2016-09-22,216.92,0.1061
2016-09-23,1538.0,0.1116
2016-09-24,101.93,0.1114
2016-09-25,114.7,0.1123
2016-09-26,1907.77,0.1121
2016-09-27,814.83,0.112
2016-09-28,677.14,0.11645
2016-09-29,149.09,0.1216
2016-09-30,49.23,0.1227
2016-10-01,197.29,0.1221
2016-10-02,109.7,0.1223
2016-10-03,313.77,0.1218
2016-10-04,363.2,0.1224
2016-10-05,2582.65,0.1222
2016-10-06,0.0,0.1232
2016-10-07,0.0,0.1235
2016-10-08,811.8,0.077655
2016-10-09,8925.01,0.0462475
2016-10-10,2392.76,0.031645
2016-10-11,2716.09,0.0217225
2016-10-12,206.53,0.0202475
2016-10-13,403.63,0.019925000000000002
2016-10-14,33.45,0.0195875
2016-10-15,35.18,0.019635
2016-10-16,158.43,0.018305
2016-10-17,434.37,0.020495
2016-10-18,444.33,0.023375
2016-10-19,9749.74,0.030922500000000002
2016-10-20,1753.18,0.0351125
2016-10-21,11388.9,0.0414125
2016-10-22,6917.25,0.042425
2016-10-23,6967.07,0.0437175
2016-10-24,6497.99,0.0378675
2016-10-25,6324.11,0.0339825
2016-10-26,716.95,0.030017500000000003
2016-10-27,16311.43,0.025729999999999996
2016-10-28,728.43,0.021249999999999998
2016-10-29,6099.56,0.01793
2016-10-30,7283.14,0.0181425
2016-10-31,7479.09,0.0233375
2016-11-01,7283.38,0.023272499999999998
2016-11-02,620.52,0.0202475
2016-11-03,6225.38,0.0195125
2016-11-04,6769.47,0.018860000000000002
2016-11-05,188.28,0.0168825
2016-11-06,5373.26,0.014830000000000001
2016-11-07,501.88,0.014252500000000001
2016-11-08,2526.1,0.019505
2016-11-09,492.47,0.021625000000000002
2016-11-10,89.31,0.017974999999999998
2016-11-11,56.5,0.0177025
2016-11-12,703.41,0.01746
2016-11-13,17.85,0.017555
2016-11-14,217.31,0.01677
2016-11-15,430.2,0.014852500000000001
