Dates,Volume,Price
2017-02-08,89805.53,0.04062
2017-02-09,71621.98,0.0364475
2017-02-10,60135.34,0.037412499999999994
2017-02-11,147728.01,0.0517075
2017-02-12,101242.75,0.0588125
2017-02-13,80589.93,0.056955000000000006
2017-02-14,30749.65,0.0594425
2017-02-15,74935.46,0.054335
2017-02-16,27062.31,0.049240000000000006
2017-02-17,27932.59,0.044105
2017-02-18,20247.51,0.0430475
2017-02-19,28894.98,0.0443675
2017-02-20,17011.77,0.043312500000000004
2017-02-21,22516.43,0.038349999999999995
2017-02-22,17429.48,0.04102
2017-02-23,28069.82,0.0396875
2017-02-24,15211.86,0.037657500000000003
2017-02-25,24255.49,0.04434
2017-02-26,14585.27,0.0478
2017-02-27,15820.93,0.042789999999999995
2017-02-28,25750.96,0.042374999999999996
2017-03-01,19268.83,0.0425075
2017-03-02,9741.75,0.0418925
2017-03-03,7633.52,0.0403325
2017-03-04,15775.12,0.04103
2017-03-05,8119.97,0.0412275
2017-03-06,10227.82,0.0380625
2017-03-07,7560.29,0.033825
2017-03-08,998.92,0.03375
2017-03-09,23603.17,0.031127500000000002
2017-03-10,7205.63,0.0367725
2017-03-11,30191.33,0.0399325
2017-03-12,20046.81,0.04073499999999999
2017-03-13,47085.5,0.041167499999999996
2017-03-14,8548.36,0.044125
2017-03-15,60756.8,0.047439999999999996
2017-03-16,83164.34,0.05097
2017-03-17,15574.04,0.04202
2017-03-18,17123.02,0.042844999999999994
2017-03-19,24626.2,0.0469825
2017-03-20,65898.59,0.0554775
2017-03-21,49934.81,0.06167
2017-03-22,79645.84,0.0632375
2017-03-23,44673.13,0.058775
2017-03-24,70400.96,0.066095
2017-03-25,75124.86,0.074095
2017-03-26,50184.03,0.07902
2017-03-27,80307.73,0.08509749999999999
2017-03-28,124683.05,0.0974775
2017-03-29,245527.63,0.1352775
2017-03-30,192495.8,0.152725
2017-03-31,56758.0,0.1434
2017-04-01,79041.1,0.14842499999999997
2017-04-02,127178.65,0.16475
2017-04-03,83407.8,0.17402499999999999
2017-04-04,34280.47,0.167375
2017-04-05,77077.43,0.1558
2017-04-06,28305.93,0.142675
2017-04-07,42436.12,0.140625
2017-04-08,24531.16,0.14282499999999998
2017-04-09,47709.64,0.13570000000000002
2017-04-10,44449.43,0.14435
2017-04-11,44322.17,0.14400000000000002
2017-04-12,43312.83,0.147725
2017-04-13,40341.46,0.166275
2017-04-14,68072.11,0.18022500000000002
2017-04-15,369331.75,0.22895000000000001
2017-04-16,199191.27,0.242
2017-04-17,80584.39,0.22075
2017-04-18,64859.17,0.22775
2017-04-19,47238.87,0.232875
2017-04-20,127220.08,0.2527
2017-04-21,112602.16,0.264075
2017-04-22,114331.55,0.23895
2017-04-23,79754.97,0.23385
2017-04-24,27960.97,0.23525000000000001
2017-04-25,79252.69,0.2311
2017-04-26,42835.22,0.2444
2017-04-27,140938.38,0.251525
2017-04-28,39801.52,0.250175
2017-04-29,65791.8,0.25322500000000003
2017-04-30,61885.06,0.26225
2017-05-01,151506.81,0.267425
2017-05-02,44429.43,0.2672
2017-05-03,59718.99,0.270625
2017-05-04,71513.35,0.276825
2017-05-05,143661.04,0.294825
2017-05-06,125139.06,0.30545
2017-05-07,101657.55,0.30785
2017-05-08,95162.14,0.284175
2017-05-09,54395.36,0.28545
2017-05-10,206313.22,0.27065
2017-05-11,146478.8,0.27435
2017-05-12,129673.47,0.31485
2017-05-13,90574.64,0.33085
2017-05-14,100749.8,0.315575
2017-05-15,40911.98,0.294925
2017-05-16,92668.44,0.2716
2017-05-17,166380.13,0.27895
2017-05-18,144930.18,0.293825
2017-05-19,161244.91,0.28385
2017-05-20,76309.4,0.2916
2017-05-21,417176.62,0.30405
2017-05-22,321150.11,0.3526
2017-05-23,310730.01,0.4232
2017-05-24,301845.67,0.41564999999999996
2017-05-25,300183.87,0.440475
2017-05-26,1350440.53,0.5001749999999999
2017-05-27,925769.78,0.641375
2017-05-28,449177.75,0.6411250000000001
2017-05-29,533379.64,0.606725
2017-05-30,945582.46,0.76055
2017-05-31,1353197.74,1.018075
2017-06-01,2071152.49,1.3575
2017-06-02,3078270.16,1.8775
2017-06-03,1377216.18,1.865
2017-06-04,1116785.01,1.8099999999999998
2017-06-05,1238517.36,1.8725
2017-06-06,1044112.27,1.9825
2017-06-07,846537.85,2.0075000000000003
2017-06-08,1132054.88,2.1174999999999997
2017-06-09,1847378.92,2.3425000000000002
2017-06-10,1577376.24,2.505
2017-06-11,1885662.14,2.3674999999999997
2017-06-12,1254698.76,2.3274999999999997
2017-06-13,868356.37,2.1275
2017-06-14,680369.57,2.085
2017-06-15,552153.04,2.1825
2017-06-16,989533.92,2.415
2017-06-17,716041.93,2.26
2017-06-18,1300555.77,2.1100000000000003
2017-06-19,921086.32,1.9975
2017-06-20,925570.49,1.955
2017-06-21,1340176.6,2.19
2017-06-22,738859.7,2.2975000000000003
2017-06-23,576157.32,2.1225
2017-06-24,412432.87,2.025
2017-06-25,721148.65,1.8175
2017-06-26,696867.72,1.8299999999999998
2017-06-27,488883.97,1.79
2017-06-28,348087.14,1.77
2017-06-29,414185.56,1.635
2017-06-30,410762.87,1.4825
2017-07-01,265426.09,1.545
2017-07-02,600976.57,1.5775000000000001
2017-07-03,689532.02,1.71
2017-07-04,153409.66,1.7249999999999999
2017-07-05,216875.62,1.635
2017-07-06,382531.89,1.45
2017-07-07,366802.19,1.38
2017-07-08,314162.24,1.38
2017-07-09,453688.82,1.10845
2017-07-10,388701.42,0.902725
2017-07-11,425187.14,0.96465
2017-07-12,399017.19,0.97675
2017-07-13,178291.99,0.8305499999999999
2017-07-14,80297.17,0.7032499999999999
2017-07-15,146836.19,0.7267999999999999
2017-07-16,284317.01,0.9068499999999999
2017-07-17,417420.62,1.0821
2017-07-18,301264.99,1.1029250000000002
2017-07-19,277683.58,1.275
2017-07-20,228069.49,1.12365
2017-07-21,761036.14,1.4474999999999998
2017-07-22,537953.67,1.4700000000000002
2017-07-23,240365.3,1.42
2017-07-24,332138.88,1.2075
2017-07-25,191081.62,1.1525
2017-07-26,161885.06,1.1800000000000002
2017-07-27,202432.02,1.1106
2017-07-28,120968.29,1.050125
2017-07-29,196653.62,1.0796750000000002
2017-07-30,374575.07,1.1225
2017-07-31,641642.42,1.1495250000000001
2017-08-01,307905.78,1.22
2017-08-02,397684.25,1.32
2017-08-03,342622.25,1.4025
2017-08-04,552589.87,1.5099999999999998
2017-08-05,230857.13,1.3900000000000001
2017-08-06,290375.05,1.3775000000000002
2017-08-07,485582.71,1.415
2017-08-08,167982.62,1.415
2017-08-09,420519.86,1.38
2017-08-10,631522.12,1.4175
2017-08-11,755761.65,1.4775
2017-08-12,507459.32,1.445
2017-08-13,932174.46,1.3625
2017-08-14,806154.31,1.325
2017-08-15,4634732.88,1.6600000000000001
2017-08-16,8412962.77,1.9675
2017-08-17,4562930.24,1.9249999999999998
