Dates,Volume,Price
2017-10-10,29396.28,0.0527025
2017-10-11,23233.16,0.046854999999999994
2017-10-12,20881.23,0.04425
2017-10-13,10631.09,0.0438275
2017-10-14,6686.69,0.03683
2017-10-15,1510.59,0.0372925
2017-10-16,42532.84,0.027572250000000003
2017-10-17,10575.18,0.03262
2017-10-18,13064.94,0.0354725
2017-10-19,15286.13,0.03461
2017-10-20,9903.89,0.030935
2017-10-21,2780.97,0.0305125
2017-10-22,6003.0,0.0307
2017-10-23,9146.62,0.032115000000000005
2017-10-24,6832.71,0.034115
2017-10-25,6753.75,0.033265
2017-10-26,3893.58,0.0294
2017-10-27,6504.31,0.028775000000000002
2017-10-28,19116.83,0.026435
2017-10-29,6041.7,0.023272499999999998
2017-10-30,24691.37,0.0233825
2017-10-31,15514.58,0.024255
2017-11-01,18578.77,0.021425
2017-11-02,31318.06,0.025209999999999996
2017-11-03,23509.17,0.0312975
2017-11-04,3678.24,0.0327
2017-11-05,15615.75,0.030275000000000003
2017-11-06,13181.88,0.031427500000000004
2017-11-07,44075.3,0.03071
2017-11-08,28096.48,0.0327975
2017-11-09,21836.54,0.030532499999999997
2017-11-10,11635.72,0.030275
2017-11-11,31641.61,0.030712499999999997
2017-11-12,17053.38,0.034894999999999995
2017-11-13,8685.07,0.033975
2017-11-14,39873.41,0.034230000000000003
2017-11-15,8755.55,0.03397
2017-11-16,19538.67,0.030799999999999998
2017-11-17,8895.58,0.0303475
2017-11-18,3928.32,0.03177
2017-11-19,13978.82,0.0323625
2017-11-20,7417.98,0.0317925
2017-11-21,12548.59,0.032937499999999995
2017-11-22,21556.58,0.03545499999999999
2017-11-23,17143.74,0.037720000000000004
2017-11-24,16399.42,0.03874
2017-11-25,19298.41,0.0389025
2017-11-26,35181.04,0.039662499999999996
2017-11-27,30217.47,0.042347499999999996
2017-11-28,16683.97,0.043777500000000004
2017-11-29,4810.32,0.04352
2017-11-30,36546.18,0.046975
2017-12-01,24725.5,0.046925
2017-12-02,20757.59,0.0477925
2017-12-03,26528.79,0.048822500000000005
2017-12-04,28901.6,0.04696
2017-12-05,20390.02,0.0433075
2017-12-06,45533.42,0.04634
2017-12-07,18335.93,0.042525
2017-12-08,10765.49,0.039334999999999995
2017-12-09,19318.08,0.03991
2017-12-10,30983.44,0.043085
2017-12-11,53302.08,0.043562500000000004
2017-12-12,32029.44,0.04397500000000001
2017-12-13,31554.0,0.04858
2017-12-14,67280.77,0.0528175
2017-12-15,104136.17,0.0556175
2017-12-16,113940.68,0.05148
2017-12-17,123405.22,0.055495
2017-12-18,96772.61,0.058265000000000004
2017-12-19,137976.25,0.069965
2017-12-20,218936.52,0.0871525
2017-12-21,123665.52,0.0949625
2017-12-22,204411.24,0.11948500000000001
2017-12-23,133626.8,0.13549999999999998
2017-12-24,61956.18,0.1456
2017-12-25,38683.04,0.1556
2017-12-26,77319.72,0.1503
2017-12-27,127507.65,0.14832499999999998
2017-12-28,267608.45,0.19395
2017-12-29,150808.32,0.17072500000000002
2017-12-30,121166.82,0.16552499999999998
2017-12-31,61148.38,0.175475
2018-01-01,203582.94,0.195475
2018-01-02,248392.77,0.2395
2018-01-03,211154.56,0.32904999999999995
2018-01-04,296426.64,0.426425
2018-01-05,153026.76,0.46795
2018-01-06,142283.04,0.479525
2018-01-07,151198.32,0.44065
2018-01-08,82473.09,0.43875000000000003
2018-01-09,10573915.0,1.45275
2018-01-10,19178097.54,1.6675
2018-01-11,55783710.13,1.5100000000000002
2018-01-12,28429689.36,1.20465
2018-01-13,93337488.99,1.2570000000000001
2018-01-14,31595580.45,1.18805
2018-01-15,11386923.44,0.75035
2018-01-16,8458163.4,0.6953750000000001
2018-01-17,16905972.5,0.8641
2018-01-18,73756249.55,1.1973749999999999
2018-01-19,50043148.65,1.47
2018-01-20,33061478.4,1.21
2018-01-21,24905964.58,1.125
2018-01-22,11199755.69,1.002925
2018-01-23,10600208.48,0.9909749999999999
2018-01-24,12399026.64,0.953875
2018-01-25,16731202.21,0.962675
2018-01-26,4322657.37,0.9494
2018-01-27,5422194.78,0.9439
2018-01-28,4031517.91,0.852375
2018-01-29,3082038.89,0.70555
2018-01-30,2530290.7,0.67585
2018-01-31,5861281.63,0.59705
2018-02-01,3654563.46,0.5094500000000001
2018-02-02,11234615.53,0.614675
2018-02-03,65178639.82,0.717975
2018-02-04,18297659.84,0.53835
2018-02-05,6422124.14,0.47825
2018-02-06,3994364.88,0.45545
2018-02-07,81994.42,0.453625
2018-02-08,2778193.67,0.49485
2018-02-09,3260618.28,0.47985
2018-02-10,2007862.6,0.426425
2018-02-11,1774727.53,0.46185
2018-02-12,1214553.78,0.42605
2018-02-13,2073436.7,0.451825
2018-02-14,7577073.62,0.47405
2018-02-15,22154476.75,0.529425
2018-02-16,10010770.25,0.593925
2018-02-17,3561375.98,0.4961
2018-02-18,5312267.95,0.52795
2018-02-19,9196330.78,0.5167499999999999
2018-02-20,3474100.2,0.4466
2018-02-21,2105477.31,0.41507499999999997
2018-02-22,2667673.74,0.42560000000000003
2018-02-23,4443467.05,0.418425
2018-02-24,6529167.98,0.42832499999999996
2018-02-25,2634375.6,0.44042499999999996
2018-02-26,2224720.43,0.437075
2018-02-27,1817966.22,0.40102499999999996
2018-02-28,2554630.63,0.414775
2018-03-01,2054671.01,0.41555
2018-03-02,2358294.77,0.4297
2018-03-03,1055257.94,0.4143
2018-03-04,27593.09,0.40387500000000004
