Dates,Volume,Price
2017-10-07,784.64,0.19619999999999999
2017-10-08,253.28,0.17175
2017-10-09,1745.42,0.1402
2017-10-10,20.96,0.1459
2017-10-11,980.71,0.132475
2017-10-12,11.7,0.12795
2017-10-13,256.05,0.127475
2017-10-14,259.96,0.13540000000000002
2017-10-15,22.76,0.1356
2017-10-16,49.26,0.1364
2017-10-17,167.41,0.1282
2017-10-18,15.79,0.1205
2017-10-19,0.0,0.121
2017-10-20,8949.38,0.13825
2017-10-21,44024.79,0.143225
2017-10-22,135339.17,0.1423
2017-10-23,109161.01,0.1438
2017-10-24,130611.89,0.1805
2017-10-25,92099.31,0.1598
2017-10-26,159931.0,0.14755000000000001
2017-10-27,163839.05,0.173525
2017-10-28,67526.9,0.20797499999999997
2017-10-29,182822.49,0.21095
2017-10-30,47178.15,0.15289999999999998
2017-10-31,7422.25,0.138425
2017-11-01,508.86,0.15410000000000001
2017-11-02,666.85,0.16865
2017-11-03,1906.26,0.17505
2017-11-04,1746.66,0.17247500000000002
2017-11-05,2633.2,0.15745
2017-11-06,122.52,0.15457500000000002
2017-11-07,25396.55,0.182525
2017-11-08,1443.88,0.20245000000000002
2017-11-09,1994.37,0.194
2017-11-10,697.77,0.1686
2017-11-11,1031.47,0.15495
2017-11-12,38568.75,0.167575
2017-11-13,303.19,0.162375
2017-11-14,176.01,0.15184999999999998
2017-11-15,815.41,0.14095
2017-11-16,896.35,0.13665
2017-11-17,622.0,0.129025
2017-11-18,3802.69,0.124475
2017-11-19,1200.0,0.1196
2017-11-20,299.26,0.12300000000000001
2017-11-21,604.02,0.12215
2017-11-22,201.7,0.12555
2017-11-23,1506.91,0.13865
2017-11-24,285079.3,0.1397
2017-11-25,457465.36,0.142575
2017-11-26,418751.14,0.1496
2017-11-27,542770.59,0.148175
2017-11-28,672943.46,0.13815
2017-11-29,286816.66,0.121575
2017-11-30,572701.02,0.1244
2017-12-01,361767.11,0.13094999999999998
2017-12-02,535780.22,0.1394
2017-12-03,790919.57,0.150275
2017-12-04,718276.51,0.174925
2017-12-05,382397.94,0.16147499999999998
2017-12-06,459773.77,0.14185
2017-12-07,783025.92,0.13075
2017-12-08,412093.65,0.12257499999999999
2017-12-09,397055.45,0.11425
2017-12-10,608796.59,0.12219999999999999
2017-12-11,633899.43,0.136925
2017-12-12,625539.71,0.14047500000000002
2017-12-13,358528.82,0.158375
2017-12-14,347555.25,0.16067499999999998
2017-12-15,850796.56,0.173825
2017-12-16,668665.33,0.19142499999999998
2017-12-17,1032095.78,0.23195
2017-12-18,909575.62,0.2444
2017-12-19,814496.84,0.2165
2017-12-20,761351.87,0.23515000000000003
2017-12-21,1625329.82,0.402275
2017-12-22,894969.98,0.485425
2017-12-23,822514.57,0.4183
2017-12-24,967247.99,0.43975
2017-12-25,760506.34,0.42907500000000004
2017-12-26,1357078.31,0.411975
2017-12-27,998853.99,0.41235000000000005
2017-12-28,995963.8,0.41855
2017-12-29,950156.69,0.373575
2017-12-30,1137730.95,0.398025
2017-12-31,972013.49,0.41852500000000004
2018-01-01,973256.83,0.44345
2018-01-02,900091.79,0.48705000000000004
2018-01-03,863644.32,0.59405
2018-01-04,841209.51,0.629925
2018-01-05,1214505.41,0.6508
2018-01-06,902515.67,0.648
2018-01-07,1068640.1,0.6089749999999999
2018-01-08,1233399.61,0.633425
2018-01-09,1219934.37,0.63815
2018-01-10,946442.85,0.54495
2018-01-11,953158.33,0.533125
2018-01-12,910229.63,0.55755
2018-01-13,1326156.35,0.626425
2018-01-14,963804.08,0.5598500000000001
2018-01-15,922255.66,0.37510000000000004
2018-01-16,943820.12,0.309075
2018-01-17,912639.56,0.348175
2018-01-18,1132052.76,0.362725
2018-01-19,943516.51,0.391975
2018-01-20,959785.65,0.36760000000000004
2018-01-21,976677.73,0.331075
2018-01-22,1065152.32,0.3141
2018-01-23,948721.76,0.33042499999999997
2018-01-24,512817.02,0.33972499999999994
2018-01-25,801060.73,0.3233
2018-01-26,1288524.95,0.38580000000000003
2018-01-27,1358398.92,0.54305
2018-01-28,782866.83,0.5334
2018-01-29,966350.32,0.42214999999999997
2018-01-30,904596.67,0.37545
2018-01-31,943145.13,0.34495
2018-02-01,796088.29,0.2782
2018-02-02,813715.36,0.3109
2018-02-03,635982.56,0.30042499999999994
2018-02-04,702809.78,0.23565
2018-02-05,599649.54,0.209
2018-02-06,581924.08,0.23320000000000002
2018-02-07,605485.9,0.24177500000000002
2018-02-08,569779.0,0.25847499999999995
2018-02-09,629207.89,0.2605
2018-02-10,538811.65,0.24645
2018-02-11,472019.54,0.25615
2018-02-12,612315.45,0.260175
2018-02-13,624797.64,0.26655
2018-02-14,509100.81,0.27215
2018-02-15,882769.14,0.28300000000000003
2018-02-16,569012.33,0.297225
2018-02-17,560079.85,0.283775
2018-02-18,1041769.83,0.287225
2018-02-19,1007767.46,0.288975
2018-02-20,827325.8,0.257575
2018-02-21,633831.91,0.24597499999999997
2018-02-22,458981.4,0.2378
2018-02-23,549479.5,0.2403
2018-02-24,658002.23,0.23570000000000002
2018-02-25,633761.04,0.237525
2018-02-26,456668.31,0.23117500000000002
2018-02-27,645802.6,0.23855
2018-02-28,609703.0,0.27149999999999996
2018-03-01,498104.59,0.27185000000000004
2018-03-02,651653.41,0.26455
2018-03-03,709750.97,0.2652
2018-03-04,8664.94,0.2651
