Dates,Volume,Price
2017-12-13,1410483.24,1.1175
2017-12-14,4125794.26,1.1348
2017-12-15,36707744.7,1.7349999999999999
2017-12-16,20288785.23,2.0375
2017-12-17,14304045.92,1.9
2017-12-18,8511926.85,1.7
2017-12-19,6480342.33,1.56
2017-12-20,8524867.6,1.6475
2017-12-21,4027291.82,1.4175
2017-12-22,7936264.05,1.67
2017-12-23,6071198.14,1.8524999999999998
2017-12-24,6732389.79,1.9925000000000002
2017-12-25,7126757.0,1.9425
2017-12-26,5038819.1,1.8499999999999999
2017-12-27,4024098.84,1.81
2017-12-28,5018518.89,1.8824999999999998
2017-12-29,3788977.92,1.6575
2017-12-30,15826577.76,2.2575
2017-12-31,9801931.96,2.4050000000000002
2018-01-01,11953191.87,2.57
2018-01-02,8089133.34,2.58
2018-01-03,9891132.56,2.7125000000000004
2018-01-04,17131291.32,3.1125
2018-01-05,11112888.16,3.0825
2018-01-06,19682286.96,3.5124999999999997
2018-01-07,16661059.8,3.7925000000000004
2018-01-08,19943891.85,4.36
2018-01-09,34101682.9,5.262499999999999
2018-01-10,13765945.05,4.555
2018-01-11,8939741.24,4.4925
2018-01-12,6794732.84,4.432499999999999
2018-01-13,6541434.0,3.835
2018-01-14,7744110.8,3.58
2018-01-15,10978886.4,2.6700000000000004
2018-01-16,11738089.62,2.9075
2018-01-17,6690782.76,2.9699999999999998
2018-01-18,5135268.19,2.9525
2018-01-19,14892667.28,3.6224999999999996
2018-01-20,7705005.36,3.3324999999999996
2018-01-21,6459236.16,3.1149999999999998
2018-01-22,3796631.16,2.9899999999999998
2018-01-23,3099796.8,2.94
2018-01-24,2455196.24,2.7525
2018-01-25,2887356.59,2.7175
2018-01-26,3523623.83,2.8775
2018-01-27,4949733.76,2.9499999999999997
2018-01-28,3197655.4,2.7025
2018-01-29,2024228.25,2.315
2018-01-30,1844134.56,2.2075
2018-01-31,2813411.52,1.8725
2018-02-01,8104543.8,1.8875
2018-02-02,2883795.66,2.0949999999999998
2018-02-03,1254445.5,1.7825
2018-02-04,1244056.25,1.3449999999999998
2018-02-05,2551813.56,1.44
2018-02-06,1985549.08,1.4925
2018-02-07,20959.5,1.56
2018-02-08,820834.56,1.7
2018-02-09,1238658.72,1.625
2018-02-10,804586.15,1.45
2018-02-11,891390.4,1.6099999999999999
2018-02-12,779752.8,1.5175
2018-02-13,894667.43,1.655
2018-02-14,4969575.0,1.8824999999999998
2018-02-15,3343539.92,2.005
2018-02-16,2016866.72,2.15
2018-02-17,1146530.1,1.89
2018-02-18,1156609.84,1.935
2018-02-19,1529613.72,1.75
2018-02-20,1182949.2,1.5250000000000001
2018-02-21,894229.14,1.4025
2018-02-22,2460119.7,1.55
2018-02-23,584019.84,1.4725000000000001
2018-02-24,915355.76,1.5025
2018-02-25,1370191.4,1.545
2018-02-26,1153937.69,1.4525000000000001
2018-02-27,1179253.68,1.3325
2018-02-28,955452.66,1.4
2018-03-01,1872033.9,1.4549999999999998
2018-03-02,927470.88,1.4849999999999999
2018-03-03,839223.36,1.4699999999999998
2018-03-04,15055.04,1.4249999999999998
