Dates,Volume,Price
2017-08-03,16414.01,3.775
2017-08-04,9231.37,4.0175
2017-08-05,11093.05,4.702500000000001
2017-08-06,15050.49,5.194999999999999
2017-08-07,17026.88,5.4175
2017-08-08,1469.07,5.187500000000001
2017-08-09,442.14,5.3149999999999995
2017-08-10,1473.81,5.4475
2017-08-11,16139.38,5.195
2017-08-12,14703.96,4.8725000000000005
2017-08-13,4699.19,4.6825
2017-08-14,7987.94,4.640000000000001
2017-08-15,3118.88,4.57
2017-08-16,295.67,4.54
2017-08-17,20370.01,4.3149999999999995
2017-08-18,10526.37,4.205
2017-08-19,2547.9,4.672500000000001
2017-08-20,14072.89,4.67
2017-08-21,32841.79,4.3225
2017-08-22,24532.92,4.5475
2017-08-23,26530.54,4.7625
2017-08-24,6248.39,5.0825
2017-08-25,9490.92,5.237500000000001
2017-08-26,3663.72,5.2275
2017-08-27,6348.63,5.1775
2017-08-28,20115.06,5.3
2017-08-29,4420.48,5.285
2017-08-30,5802.0,5.225
2017-08-31,7547.31,5.265
2017-09-01,1101.87,5.12
2017-09-02,729.7,5.05
2017-09-03,4936.75,4.534999999999999
2017-09-04,3142.64,4.699999999999999
2017-09-05,11224.46,4.85
2017-09-06,1699.07,4.75
2017-09-07,1551.28,4.7675
2017-09-08,2342.52,4.42
2017-09-09,3466.05,4.165
2017-09-10,13770.83,4.275
2017-09-11,23405.68,4.3925
2017-09-12,6422.39,4.0875
2017-09-13,1460.27,3.7124999999999995
2017-09-14,2605.47,3.61
2017-09-15,2613.0,4.04
2017-09-16,2761.48,3.695
2017-09-17,56258.07,3.9524999999999997
2017-09-18,1605.59,4.0825000000000005
2017-09-19,5636.59,4.125
2017-09-20,6329.47,3.96
2017-09-21,1708.03,3.6825
2017-09-22,3454.87,3.8450000000000006
2017-09-23,1680.36,3.88
2017-09-24,5155.0,4.0825
2017-09-25,4064.93,4.385
2017-09-26,4428.0,4.9
2017-09-27,9709.93,4.984999999999999
2017-09-28,11799.98,4.815
2017-09-29,2561.67,4.965
2017-09-30,4758.44,4.842499999999999
2017-10-01,127.86,4.9
2017-10-02,1651.1,4.865
2017-10-03,3106.43,4.835
2017-10-04,638.6,4.9275
2017-10-05,1941.44,4.975
2017-10-06,93.93,4.8575
2017-10-07,10651.96,4.8025
2017-10-08,5099.25,4.25
2017-10-09,5981.64,4.0825000000000005
2017-10-10,9904.4,4.2675
2017-10-11,23483.55,4.112500000000001
2017-10-12,17731.54,3.7525
2017-10-13,12671.16,3.9450000000000003
2017-10-14,627.32,3.7275
2017-10-15,1.79,4.0
