Dates,Volume,Price
2018-02-11,715165.25,0.13117499999999999
2018-02-12,1527260.32,0.1198
2018-02-13,2042928.16,0.13835
2018-02-14,2347799.82,0.156075
2018-02-15,2752191.45,0.173175
2018-02-16,2329103.03,0.18357500000000002
2018-02-17,2096677.47,0.161275
2018-02-18,1904153.4,0.15904999999999997
2018-02-19,1915597.06,0.1387
2018-02-20,4492373.32,0.14900000000000002
2018-02-21,4792533.01,0.159325
2018-02-22,4793260.88,0.178425
2018-02-23,11194961.43,0.206475
2018-02-24,3974475.91,0.187025
2018-02-25,2503548.96,0.1884
2018-02-26,2710506.6,0.1769
2018-02-27,2816148.86,0.1714
2018-02-28,2720825.64,0.177975
2018-03-01,4918022.52,0.191925
2018-03-02,4126981.08,0.212125
2018-03-03,3702809.9,0.214475
2018-03-04,111350.48,0.21187499999999998
