Dates,Volume,Price
2017-10-14,0.54,1.08
2017-10-15,51.73,0.02069
2017-10-16,0.0,0.01957
2017-10-17,2.68,0.05984
2017-10-18,5.12,0.058595
2017-10-19,0.0,0.01864
2017-10-20,0.0,0.01842
2017-10-21,0.01764,0.01786
2017-10-22,0.0,0.01712
2017-10-23,0.0,0.01779
2017-10-24,0.0,0.01778
2017-10-25,0.0,0.01773
2017-10-26,0.0,0.01778
2017-10-27,0.0,0.0176
2017-10-28,0.0,0.01824
2017-10-29,0.0,0.01841
2017-10-30,579.49,0.019735000000000003
2017-10-31,0.0,0.02026
2017-11-01,2.44,0.013850000000000001
2017-11-02,0.0,0.01133
2017-11-03,6432.75,0.02145775
2017-11-04,0.02133,0.02133
2017-11-05,136.53,0.013652999999999998
2017-11-06,70.47,0.02043
2017-11-07,81.41,0.01713275
2017-11-08,863.1,0.01918
2017-11-09,291.0,0.01455
2017-11-10,0.0,0.0154
2017-11-11,457.1,0.0179
2017-11-12,0.0,0.01951
2017-11-13,0.0,0.02075
2017-11-14,0.02053,0.02053
2017-11-15,0.0,0.02047
2017-11-16,0.0,0.02056
2017-11-17,495.64,0.02201
2017-11-18,1.47,0.02482
2017-11-19,0.0,0.02574
2017-11-20,0.0,0.02524
2017-11-21,0.0,0.02666
2017-11-22,0.0,0.02846
2017-11-23,0.0,0.03293
2017-11-24,32.99,0.03299
2017-11-25,640.14,0.03341
2017-11-26,131.59,0.03374
2017-11-27,98.61,0.032990000000000005
2017-11-28,91.05,0.03024
2017-11-29,0.0,0.03087
2017-11-30,0.0,0.03277
2017-12-01,0.0,0.03252
2017-12-02,0.0,0.03286
2017-12-03,0.0,0.03315
2017-12-04,0.0,0.03223
2017-12-05,0.0,0.03
2017-12-06,0.0,0.0299
2017-12-07,0.0,0.03207
2017-12-08,0.0,0.03357
2017-12-09,5.98,0.030445
2017-12-10,0.0,0.03516
2017-12-11,0.0,0.04497
2017-12-12,0.0,0.04789
2017-12-13,0.0,0.04751
2017-12-14,0.0,0.04687
2017-12-15,10.99,0.0207
2017-12-16,513.65,0.02656
2017-12-17,0.0,0.02908
2017-12-18,0.0,0.03006
2017-12-19,0.0,0.02957
2017-12-20,0.0,0.02921
2017-12-21,0.0,0.02434
2017-12-22,0.0,0.02592
2017-12-23,0.0,0.02501
2017-12-24,0.0,0.02676
2017-12-25,0.0,0.02788
2017-12-26,0.0,0.02738
2017-12-27,480.14,0.05374999999999999
2017-12-28,36.23,0.09541
2017-12-29,416.24,0.08974499999999999
2017-12-30,1157.45,0.09635
2017-12-31,0.0,0.09831
2018-01-01,104.04,0.1121
2018-01-02,276.0,0.24025
2018-01-03,2.4,0.134955
2018-01-04,6.14,0.137695
2018-01-05,3.62,0.0309
2018-01-06,84.88,0.128905
2018-01-07,0.0,0.2272
2018-01-08,0.0,0.2578
2018-01-09,0.0,0.2498
2018-01-10,0.0,0.2279
2018-01-11,0.0,0.2522
2018-01-12,0.0,0.277
2018-01-13,0.0,0.2719
2018-01-14,0.0,0.2557
2018-01-15,41.19,0.12747
2018-01-16,32.74,0.2183
2018-01-17,0.0,0.2158
2018-01-18,0.0,0.221
2018-01-19,0.0,0.2451
2018-01-20,0.0,0.2235
2018-01-21,0.0,0.2129
2018-01-22,0.0,0.2097
2018-01-23,0.0,0.2262
2018-01-24,0.0,0.2229
2018-01-25,0.0,0.2233
2018-01-26,0.0,0.2362
2018-01-27,0.0,0.2623
2018-01-28,0.0,0.2492
2018-01-29,0.0,0.2266
2018-01-30,1.08,0.65835
2018-01-31,0.0,0.9954
2018-02-01,731.73,0.4633
2018-02-02,18.27,0.49016499999999996
2018-02-03,682.43,0.41593499999999994
2018-02-04,257.45,0.137275
2018-02-05,1057.93,0.34929999999999994
2018-02-06,75.18,0.3759
2018-02-07,0.0,0.4068
2018-02-08,0.0,0.4389
2018-02-09,0.0,0.4254
2018-02-10,0.0,0.4056
2018-02-11,0.0,0.4326
2018-02-12,0.0,0.4205
2018-02-13,0.0,0.4601
2018-02-14,0.0,0.464
2018-02-15,0.0,0.469
2018-02-16,0.0,0.4874
2018-02-17,0.0,0.457
2018-02-18,0.0,0.4699
2018-02-19,0.0,0.4428
2018-02-20,0.0,0.4201
2018-02-21,0.0,0.4023
2018-02-22,0.0,0.4274
2018-02-23,0.0,0.4167
2018-02-24,0.0,0.4201
2018-02-25,0.0,0.4338
2018-02-26,0.0,0.4358
2018-02-27,0.0,0.4258
2018-02-28,0.0,0.4349
2018-03-01,0.0,0.4278
2018-03-02,0.0,0.4278
2018-03-03,0.0,0.4324
2018-03-04,0.0,0.38849999999999996
