Dates,Volume,Price
2017-01-06,60093.93,0.06709455
2017-01-07,1241.39,0.000853505
2017-01-08,410.81,1.125e-05
2017-01-09,64.6,1.13025e-05
2017-01-10,101.67,7.85e-06
2017-01-11,17.83,8.1e-06
2017-01-12,41.49,8.25e-06
2017-01-13,0.0,8.2e-06
2017-01-14,33.11,8.21e-06
2017-01-15,5230.94,1.034e-05
2017-01-16,189.64,9e-06
2017-01-17,197.04,8.72e-06
2017-01-18,80.68,8.95e-06
2017-01-19,74.94,8.93e-06
2017-01-20,4.06,9.2e-06
2017-01-21,10.11,9.19e-06
2017-01-22,22.9,9.21e-06
2017-01-23,19.96,8.94e-06
2017-01-24,0.0,8.94e-06
2017-01-25,0.0,9.16e-06
2017-01-26,2.85,9.18e-06
2017-01-27,0.7122,9.19e-06
2017-01-28,0.0,9.15e-06
2017-01-29,49.43,9.21e-06
2017-01-30,0.4849,9.65e-06
2017-01-31,6.95,9.82e-06
2017-02-01,0.1004,1.004e-05
2017-02-02,1.46,1.013e-05
2017-02-03,0.1032,1.032e-05
2017-02-04,0.0,1.016e-05
2017-02-05,0.0,1.025e-05
2017-02-06,0.0,1.05e-05
2017-02-07,0.0,1.055e-05
2017-02-08,0.0979,9.79e-06
2017-02-09,0.0998,9.98e-06
2017-02-10,0.1008,1.008e-05
2017-02-11,0.0,9.97e-06
2017-02-12,0.0,9.95e-06
2017-02-13,0.0,1.008e-05
2017-02-14,0.0,1.008e-05
2017-02-15,0.0,1.032e-05
2017-02-16,0.0,1.049e-05
2017-02-17,0.0,1.052e-05
2017-02-18,0.0,1.049e-05
2017-02-19,0.0,1.078e-05
2017-02-20,0.0,1.119e-05
2017-02-21,0.112,1.12e-05
2017-02-22,0.0,1.172e-05
2017-02-23,0.0,1.176e-05
2017-02-24,1.7,1.149e-05
2017-02-25,4.86,1.172e-05
2017-02-26,0.2378,1.189e-05
2017-02-27,0.0,1.189e-05
2017-02-28,0.0,1.223e-05
2017-03-01,3.84,1.255e-05
2017-03-02,0.0,1.283e-05
2017-03-03,0.0,1.264e-05
2017-03-04,0.0,1.271e-05
2017-03-05,20.88,1.277e-05
2017-03-06,0.3692,1.233e-05
2017-03-07,0.1147,1.147e-05
2017-03-08,7.47,1.191e-05
2017-03-09,0.5571,1.112e-05
2017-03-10,45.84,1.179e-05
2017-03-11,1.35,1.225e-05
2017-03-12,0.0,1.238e-05
2017-03-13,2.14,1.243e-05
2017-03-14,0.1253,1.253e-05
2017-03-15,4.36,1.173e-05
2017-03-16,0.0,1.072e-05
2017-03-17,4.54,9.71e-06
2017-03-18,0.0,1.023e-05
2017-03-19,0.0,1.048e-05
2017-03-20,0.2242,1.121e-05
2017-03-21,0.1045,1.045e-05
2017-03-22,0.0,1.035e-05
2017-03-23,0.0,9.4e-06
2017-03-24,17.79,9.66e-06
2017-03-25,5.64,9.69e-06
2017-03-26,3.08,1.045e-05
2017-03-27,0.3132,1.044e-05
2017-03-28,0.5226,1.042e-05
2017-03-29,0.0,1.038e-05
2017-03-30,3.24,1.079e-05
2017-03-31,0.3258,1.086e-05
2017-04-01,0.1097,1.097e-05
2017-04-02,10.06,1.148e-05
2017-04-03,1.77,1.142e-05
2017-04-04,6.12,1.13e-05
2017-04-05,27.3,1.189e-05
2017-04-06,3348.66,1.48775e-05
2017-04-07,1074.64,1.7715000000000002e-05
2017-04-08,246.78,1.8065e-05
2017-04-09,61.91,1.207e-05
2017-04-10,209.89,1.221e-05
2017-04-11,550.7,1.213e-05
2017-04-12,587.62,1.764e-05
2017-04-13,73.27,1.766e-05
2017-04-14,689.62,1.4712500000000002e-05
2017-04-15,462.54,1.7655e-05
2017-04-16,189.31,2.0895e-05
2017-04-17,2431.19,2.4120000000000003e-05
2017-04-18,9283.92,6.0759999999999994e-05
2017-04-19,10254.92,0.0001176125
2017-04-20,37427.83,0.00025307499999999996
2017-04-21,27602.54,0.00046222500000000003
2017-04-22,46085.71,0.000530875
2017-04-23,9632.05,0.0005335749999999999
2017-04-24,13766.26,0.0006195249999999999
2017-04-25,67547.56,0.001045375
2017-04-26,19125.14,0.001099675
2017-04-27,7954.48,0.000954025
2017-04-28,0.0,0.0008686
2017-04-29,0.0,0.0008787
2017-04-30,0.0,0.0009203
2017-05-01,0.0,0.0009399
2017-05-02,0.0,0.0009656
2017-05-03,9639.41,0.00158495
2017-05-04,36932.61,0.00193725
2017-05-05,23939.39,0.00236025
2017-05-06,46951.46,0.00312825
2017-05-07,54060.29,0.0038077500000000004
2017-05-08,17289.19,0.00392975
2017-05-09,9075.71,0.00385975
2017-05-10,15919.45,0.00386125
2017-05-11,16463.48,0.0039715
2017-05-12,37597.76,0.00455475
2017-05-13,107408.49,0.00572075
2017-05-14,88635.9,0.007374
2017-05-15,130706.09,0.009915
2017-05-16,81994.29,0.01015575
2017-05-17,49393.81,0.010391750000000002
2017-05-18,25920.94,0.0085635
2017-05-19,41029.12,0.00807775
2017-05-20,13857.32,0.008299
2017-05-21,20494.27,0.007281500000000001
2017-05-22,31575.36,0.00819225
2017-05-23,28282.42,0.008686
2017-05-24,15101.46,0.00701975
2017-05-25,17054.48,0.00591525
2017-05-26,19032.33,0.0057825
2017-05-27,83631.14,0.007131
2017-05-28,137667.62,0.009220500000000001
2017-05-29,78993.98,0.01059475
2017-05-30,282837.76,0.014010000000000002
2017-05-31,532892.46,0.019875
2017-06-01,884797.23,0.030585
2017-06-02,646642.69,0.03293
2017-06-03,259106.06,0.0334625
2017-06-04,277702.93,0.032092499999999996
2017-06-05,496581.72,0.0314825
2017-06-06,178558.14,0.030950000000000002
2017-06-07,86245.45,0.0311425
2017-06-08,148727.6,0.028465
2017-06-09,110610.62,0.0259775
2017-06-10,152984.68,0.024145
2017-06-11,65803.92,0.021564999999999997
2017-06-12,58566.08,0.021907499999999996
2017-06-13,162518.62,0.0245475
2017-06-14,139643.82,0.0257375
2017-06-15,130832.97,0.02597
2017-06-16,204951.86,0.033604999999999996
2017-06-17,79438.74,0.032295
2017-06-18,167506.29,0.0251
2017-06-19,167295.0,0.019604999999999997
2017-06-20,70960.11,0.020565
2017-06-21,57651.6,0.0223175
2017-06-22,67118.81,0.020397500000000002
2017-06-23,25943.26,0.01879
2017-06-24,29356.41,0.01781
2017-06-25,48720.63,0.01618
2017-06-26,55657.78,0.0164325
2017-06-27,35760.59,0.0164325
2017-06-28,19437.42,0.016802499999999998
2017-06-29,24541.72,0.01533
2017-06-30,45055.94,0.016385
2017-07-01,30399.95,0.0168175
2017-07-02,89002.93,0.02006
2017-07-03,44897.95,0.0209525
2017-07-04,18314.95,0.019000000000000003
2017-07-05,60565.01,0.017055
2017-07-06,29956.17,0.0151825
2017-07-07,54762.12,0.01396
2017-07-08,23120.84,0.013757499999999999
2017-07-09,19784.03,0.0141
2017-07-10,26642.59,0.0128415
2017-07-11,13563.17,0.012195000000000001
2017-07-12,48201.89,0.013085
2017-07-13,48403.1,0.012483000000000001
2017-07-14,42982.05,0.012555
2017-07-15,20138.03,0.01107375
2017-07-16,17694.18,0.0135375
2017-07-17,39921.8,0.013585
2017-07-18,27164.34,0.012147500000000002
2017-07-19,72105.59,0.012698250000000001
2017-07-20,39066.44,0.012480000000000002
2017-07-21,27427.13,0.0144225
2017-07-22,19243.64,0.013850000000000001
2017-07-23,72278.09,0.012201499999999999
2017-07-24,7601.58,0.0120925
2017-07-25,12894.59,0.010755500000000001
2017-07-26,18221.87,0.011052
2017-07-27,9285.37,0.011744999999999998
2017-07-28,13406.37,0.01074275
2017-07-29,11830.43,0.010644999999999998
2017-07-30,20730.87,0.0111
2017-07-31,17948.4,0.011866
2017-08-01,13945.87,0.012275
2017-08-02,15921.78,0.0120625
2017-08-03,10277.1,0.012017499999999999
2017-08-04,16994.33,0.0132625
2017-08-05,18448.83,0.012547500000000001
2017-08-06,14559.98,0.0126725
2017-08-07,26102.23,0.011909999999999999
2017-08-08,15669.87,0.0119375
2017-08-09,20265.6,0.0114575
2017-08-10,18519.55,0.010936999999999999
2017-08-11,27335.16,0.009727999999999999
2017-08-12,7964.89,0.00915075
2017-08-13,7970.06,0.0095765
2017-08-14,15325.26,0.0092065
2017-08-15,82870.02,0.01456575
2017-08-16,56513.76,0.017575
2017-08-17,15871.08,0.0159075
2017-08-18,54471.07,0.01765
2017-08-19,133267.28,0.0232025
2017-08-20,45531.82,0.02388
2017-08-21,29747.55,0.021585
2017-08-22,46475.44,0.021159999999999998
2017-08-23,55780.61,0.021735
2017-08-24,63023.67,0.023285
2017-08-25,74270.89,0.023285
2017-08-26,87555.06,0.0244025
2017-08-27,66799.03,0.02461
2017-08-28,77560.4,0.0235
2017-08-29,127818.16,0.024322500000000004
2017-08-30,61710.83,0.02653
2017-08-31,29305.81,0.026834999999999998
2017-09-01,77970.01,0.0253725
2017-09-02,74047.18,0.024377499999999996
2017-09-03,48586.03,0.0208925
2017-09-04,58675.31,0.0193975
2017-09-05,84267.22,0.02255
2017-09-06,27273.11,0.022945
2017-09-07,42044.66,0.0215125
2017-09-08,20954.34,0.021242499999999997
2017-09-09,14757.01,0.0206125
2017-09-10,36893.05,0.02148
2017-09-11,15556.87,0.02064
2017-09-12,18006.91,0.018045000000000002
2017-09-13,39403.13,0.01487
2017-09-14,32814.02,0.01672
2017-09-15,119931.16,0.014517
2017-09-16,36388.06,0.016657500000000002
2017-09-17,62384.41,0.019385
2017-09-18,48050.56,0.0168125
2017-09-19,30793.61,0.015775
2017-09-20,44261.87,0.014387500000000001
2017-09-21,26117.46,0.013575
2017-09-22,48109.45,0.013715
2017-09-23,18511.43,0.013515000000000001
2017-09-24,48448.71,0.015924999999999998
2017-09-25,33292.1,0.0162125
2017-09-26,113132.83,0.015985
