Dates,Volume,Price
2016-10-27,414.42,3550.0
2016-10-28,46066.49,12500.25
2016-10-29,21969.19,2281.25
2016-10-30,107279.85,1431.25
2016-10-31,120784.35,1631.25
2016-11-01,138837.54,1211.8175
2016-11-02,173449.35,919.3175
2016-11-03,93866.36,720.6275
2016-11-04,56278.13,558.0875000000001
2016-11-05,68468.15,401.775
2016-11-06,40022.2,278.24
2016-11-07,43498.62,239.1975
2016-11-08,137135.85,288.0125
2016-11-09,61951.5,242.005
2016-11-10,37424.88,200.565
2016-11-11,18407.14,165.04
2016-11-12,30734.32,133.3675
2016-11-13,43891.64,108.58500000000001
2016-11-14,29431.58,111.01
2016-11-15,56183.53,104.74000000000001
2016-11-16,18263.51,90.37
2016-11-17,29325.65,76.7025
2016-11-18,19896.71,66.19250000000001
2016-11-19,13164.74,64.7475
2016-11-20,11275.85,57.832499999999996
2016-11-21,44360.1,60.754999999999995
2016-11-22,85081.34,74.1725
2016-11-23,139021.38,89.125
2016-11-24,97749.11,99.33250000000001
2016-11-25,57459.56,83.635
2016-11-26,47088.86,73.17500000000001
2016-11-27,28834.88,71.73
2016-11-28,35721.48,71.12
2016-11-29,34156.75,68.3775
2016-11-30,38059.92,65.24
2016-12-01,68543.16,62.035
2016-12-02,28148.78,60.652499999999996
2016-12-03,59607.28,58.885
2016-12-04,85767.44,53.925
2016-12-05,90182.45,49.4975
2016-12-06,59735.07,53.397499999999994
2016-12-07,21686.25,54.7575
2016-12-08,18624.46,51.735
2016-12-09,12764.35,49.3275
2016-12-10,10951.7,48.650000000000006
2016-12-11,10672.93,48.905
2016-12-12,11753.48,47.8675
2016-12-13,22041.93,44.9825
2016-12-14,10924.34,41.7225
2016-12-15,7951.02,40.182500000000005
2016-12-16,19615.62,37.925
2016-12-17,19562.63,37.0775
2016-12-18,13972.75,35.1425
2016-12-19,43834.84,36.2225
2016-12-20,23344.45,36.6025
2016-12-21,74361.01,42.215
2016-12-22,149374.91,52.652499999999996
2016-12-23,39152.08,50.375
2016-12-24,13514.27,45.9575
2016-12-25,21503.85,44.03
2016-12-26,37551.27,42.3375
2016-12-27,87690.26,47.53
2016-12-28,25617.76,50.51
2016-12-29,27070.11,51.129999999999995
2016-12-30,33195.6,50.0
2016-12-31,37828.44,48.3475
2017-01-01,39735.17,49.875
2017-01-02,49426.55,50.72
2017-01-03,85785.94,51.7375
2017-01-04,128451.43,51.287499999999994
2017-01-05,34559.53,48.235
2017-01-06,46948.65,46.3725
2017-01-07,22940.26,46.2325
2017-01-08,25177.6,45.8225
2017-01-09,20872.62,45.77499999999999
2017-01-10,83113.67,42.4475
2017-01-11,47154.16,42.69
2017-01-12,17144.34,43.315
2017-01-13,23506.64,45.26499999999999
2017-01-14,18041.5,44.4
2017-01-15,13199.3,45.2575
2017-01-16,36696.33,44.4275
2017-01-17,79146.73,43.94
2017-01-18,31024.36,43.67
2017-01-19,16629.87,43.695
2017-01-20,31691.15,43.652499999999996
2017-01-21,44429.82,43.4125
2017-01-22,20649.31,43.0
2017-01-23,26092.94,42.137499999999996
2017-01-24,39847.68,40.0725
2017-01-25,48808.37,38.825
2017-01-26,53429.44,38.345
2017-01-27,10660.85,38.370000000000005
2017-01-28,25766.51,38.8975
2017-01-29,12957.36,39.394999999999996
2017-01-30,45378.11,39.605
2017-01-31,23628.94,39.52
2017-02-01,22134.19,39.555
2017-02-02,44878.69,38.8275
2017-02-03,21998.17,38.692499999999995
2017-02-04,38247.92,38.292500000000004
2017-02-05,35037.64,37.405
2017-02-06,55720.59,36.345
2017-02-07,90541.44,35.435
2017-02-08,126485.24,33.6625
2017-02-09,20684.64,32.605
2017-02-10,16863.2,32.855000000000004
2017-02-11,44751.21,31.89
2017-02-12,71070.95,30.865000000000002
2017-02-13,64984.83,31.812499999999996
2017-02-14,53070.02,33.03
2017-02-15,47851.85,33.417500000000004
2017-02-16,26490.13,32.5175
2017-02-17,42454.7,31.310000000000002
2017-02-18,23201.7,30.480000000000004
2017-02-19,37491.09,30.805
2017-02-20,41514.27,28.6175
2017-02-21,57749.58,28.605
2017-02-22,81345.67,29.112500000000004
2017-02-23,42702.04,30.095000000000002
2017-02-24,28238.05,29.6675
2017-02-25,20994.95,29.07
2017-02-26,286481.88,33.394999999999996
2017-02-27,219480.84,36.5625
2017-02-28,172455.6,39.35
2017-03-01,213841.35,39.8125
2017-03-02,154221.69,40.2475
2017-03-03,103283.89,40.2225
2017-03-04,48850.84,40.307500000000005
2017-03-05,97730.75,39.1475
2017-03-06,72138.9,38.8375
2017-03-07,74293.52,36.635
2017-03-08,48187.47,36.0475
2017-03-09,256172.92,35.49249999999999
2017-03-10,200869.5,36.7875
2017-03-11,177643.87,39.83
2017-03-12,607970.02,43.817499999999995
2017-03-13,279976.39,45.980000000000004
2017-03-14,338023.05,45.8375
2017-03-15,486222.33,48.04
2017-03-16,882290.63,46.495
2017-03-17,3492644.89,58.6075
2017-03-18,1616564.07,64.4375
2017-03-19,954374.23,69.925
2017-03-20,1017789.27,68.68
2017-03-21,468986.0,66.31
2017-03-22,233899.67,66.1825
2017-03-23,1469410.31,67.195
2017-03-24,550990.11,63.232499999999995
2017-03-25,333844.69,60.497499999999995
2017-03-26,417047.51,57.22
2017-03-27,1637926.79,61.7725
2017-03-28,430872.0,63.5825
2017-03-29,371326.18,61.94
2017-03-30,387388.66,61.9525
2017-03-31,289743.66,62.375
2017-04-01,485652.26,60.5925
2017-04-02,399411.0,60.3925
2017-04-03,228772.32,59.195
2017-04-04,256728.34,59.707499999999996
2017-04-05,410195.06,59.3275
2017-04-06,389703.59,59.5625
2017-04-07,464022.52,62.135
2017-04-08,1782439.82,67.16499999999999
2017-04-09,819678.46,65.2775
2017-04-10,360161.66,63.3275
2017-04-11,481568.61,62.4725
2017-04-12,581592.34,62.684999999999995
2017-04-13,1141662.63,68.2525
2017-04-14,1268771.4,71.7075
2017-04-15,501897.18,72.87
2017-04-16,366417.44,70.5025
2017-04-17,813597.02,70.29
2017-04-18,605517.37,70.2875
2017-04-19,572633.56,68.0225
2017-04-20,586508.16,67.72999999999999
2017-04-21,286103.73,68.4275
2017-04-22,328365.21,68.1425
2017-04-23,236019.3,68.1575
2017-04-24,247474.17,68.765
2017-04-25,1390329.05,71.8425
2017-04-26,832295.97,75.8925
2017-04-27,1050311.92,82.2775
2017-04-28,1318842.88,90.7025
2017-04-29,1918476.12,94.025
2017-04-30,3165721.12,90.945
2017-05-01,1854539.32,90.69250000000001
2017-05-02,1913614.83,91.8575
2017-05-03,1740190.77,96.3425
2017-05-04,1867859.4,102.3875
2017-05-05,1064268.16,103.705
2017-05-06,1276417.27,99.35249999999999
2017-05-07,1201683.27,100.4375
2017-05-08,1762434.24,96.655
2017-05-09,917972.74,96.32
2017-05-10,707556.23,95.53
2017-05-11,725672.33,96.3325
2017-05-12,376677.32,96.0675
2017-05-13,393071.71,95.675
2017-05-14,381016.44,95.14249999999998
2017-05-15,302422.2,92.63
2017-05-16,375871.43,91.485
2017-05-17,648057.83,92.58
2017-05-18,1232785.07,99.9425
2017-05-19,558045.19,105.27499999999999
2017-05-20,1437479.54,112.1375
2017-05-21,11126473.1,179.275
2017-05-22,7595502.87,229.3675
2017-05-23,5518680.42,243.4725
2017-05-24,6123257.88,228.2925
2017-05-25,4824296.5,205.8075
2017-05-26,5186057.94,179.32999999999998
2017-05-27,3008300.29,190.07999999999998
2017-05-28,2683580.76,196.0775
2017-05-29,4610516.46,218.95000000000002
2017-05-30,2955256.75,231.955
2017-05-31,3166940.29,243.5225
2017-06-01,1806440.98,244.8175
2017-06-02,1602345.34,232.14
2017-06-03,1206565.51,231.8925
2017-06-04,3973251.86,247.59500000000003
2017-06-05,3933026.96,260.5225
2017-06-06,7924436.61,275.2475
2017-06-07,3372054.75,271.19000000000005
2017-06-08,1951559.68,273.8225
2017-06-09,4522185.98,299.6175
2017-06-10,4637454.43,321.05499999999995
2017-06-11,7871479.61,303.4175
2017-06-12,6172146.18,337.01750000000004
2017-06-13,14912336.13,380.9725
2017-06-14,15027992.3,365.495
2017-06-15,8306660.92,385.04499999999996
2017-06-16,6418545.77,384.02000000000004
2017-06-17,4657910.9,380.83000000000004
2017-06-18,3655011.76,378.865
2017-06-19,8722119.26,412.195
2017-06-20,5931988.99,389.01
2017-06-21,3607029.71,381.8275
2017-06-22,1828336.13,384.08500000000004
2017-06-23,2505405.01,363.55999999999995
2017-06-24,3997530.27,325.745
2017-06-25,6909838.78,297.14
2017-06-26,8941235.06,314.6275
2017-06-27,5089252.99,332.42
2017-06-28,6502176.54,324.65
2017-06-29,4864190.13,302.72249999999997
2017-06-30,4093734.4,280.9425
2017-07-01,4254616.8,281.4125
2017-07-02,4099334.72,288.4575
2017-07-03,4753916.81,285.8575
2017-07-04,3741289.45,279.485
2017-07-05,4600715.42,284.175
2017-07-06,5082300.47,267.5525
2017-07-07,3571899.46,244.8875
2017-07-08,2882997.34,248.8125
2017-07-09,5966669.72,214.9175
2017-07-10,6856401.0,186.76500000000001
2017-07-11,4570202.81,193.13
2017-07-12,2569022.92,202.675
2017-07-13,2228795.35,183.53999999999996
2017-07-14,2688992.22,167.80749999999998
2017-07-15,4419206.12,157.1325
2017-07-16,4313454.66,167.86
2017-07-17,7066793.25,193.2875
2017-07-18,5436517.85,194.2625
2017-07-19,6369271.74,197.3625
2017-07-20,3724598.28,206.925
2017-07-21,2571824.38,214.69
2017-07-22,4906286.94,216.6175
2017-07-23,3331000.03,211.05999999999997
2017-07-24,6188593.55,196.49
2017-07-25,5243696.18,185.2875
2017-07-26,3495017.87,187.5525
2017-07-27,4026018.93,181.315
2017-07-28,3458582.11,178.6725
2017-07-29,2970981.47,179.63750000000002
2017-07-30,3186139.81,172.5725
2017-07-31,5478319.52,181.91999999999996
2017-08-01,5039904.57,192.83
2017-08-02,3099793.38,187.6475
2017-08-03,3027654.94,187.4275
2017-08-04,6739992.78,197.595
2017-08-05,4086326.78,206.9825
2017-08-06,4952662.61,208.0075
2017-08-07,10043926.36,230.58499999999998
2017-08-08,11215398.18,244.1225
2017-08-09,5958112.96,238.33499999999998
2017-08-10,4839779.26,232.16750000000002
2017-08-11,5226898.88,228.28249999999997
2017-08-12,4846320.51,214.2525
2017-08-13,4716323.46,211.1275
2017-08-14,5574675.16,208.63500000000002
2017-08-15,3979828.16,213.3775
2017-08-16,4449648.1,212.4975
2017-08-17,4565949.13,204.955
2017-08-18,10726071.81,217.79250000000002
2017-08-19,8587936.38,237.3425
2017-08-20,9173034.91,241.3675
2017-08-21,6733539.35,227.54999999999998
2017-08-22,5849681.22,229.27500000000003
2017-08-23,3399462.18,227.73499999999999
2017-08-24,7558279.41,237.3225
2017-08-25,18218046.53,268.34749999999997
2017-08-26,9147522.0,284.565
2017-08-27,9977445.7,271.69250000000005
2017-08-28,7813900.57,271.96750000000003
2017-08-29,7352709.17,273.71
2017-08-30,7516714.02,280.255
2017-08-31,13935080.25,296.99
2017-09-01,14393733.32,275.43
2017-09-02,10400413.8,256.6825
2017-09-03,12486590.53,236.5725
2017-09-04,8112985.96,221.59000000000003
2017-09-05,8271627.29,238.53249999999997
2017-09-06,9284725.81,245.83999999999997
2017-09-07,10716282.64,232.44250000000002
2017-09-08,8023020.05,218.2375
2017-09-09,10478919.11,215.625
2017-09-10,6506891.19,215.85000000000002
2017-09-11,8601790.61,213.34749999999997
2017-09-12,12070939.69,200.7475
2017-09-13,14776009.43,182.1775
2017-09-14,14473592.34,171.0175
2017-09-15,5226252.73,181.51749999999998
2017-09-16,5638986.45,176.3225
2017-09-17,7849028.33,186.39249999999998
2017-09-18,6426715.01,191.1675
2017-09-19,4063971.05,188.605
2017-09-20,6363256.61,182.59
2017-09-21,15191074.95,187.82
2017-09-22,10891298.4,202.4075
2017-09-23,4588775.28,204.56499999999997
2017-09-24,13711393.46,218.4175
2017-09-25,5965599.82,231.9975
2017-09-26,48320834.38,261.6675
2017-09-27,129932039.0,326.96750000000003
2017-09-28,33621408.46,295.8875
2017-09-29,14276449.08,284.6275
2017-09-30,8272787.59,272.16999999999996
2017-10-01,14352589.05,263.72249999999997
2017-10-02,11360329.51,251.875
2017-10-03,6699836.86,244.91250000000002
2017-10-04,15488990.79,246.91999999999996
2017-10-05,11968172.48,260.2625
2017-10-06,7470652.81,254.03
2017-10-07,6725097.45,248.6975
2017-10-08,8902807.65,234.6475
2017-10-09,7349921.9,233.3075
2017-10-10,3984708.13,235.38
2017-10-11,7671451.87,231.67249999999999
2017-10-12,15275644.53,235.21
2017-10-13,4488999.38,239.58499999999998
2017-10-14,5949593.86,234.92
2017-10-15,4641112.23,232.965
2017-10-16,12919912.28,235.0625
2017-10-17,6993454.76,226.5625
2017-10-18,6877736.1,230.37
2017-10-19,6010224.89,226.775
2017-10-20,7446266.0,215.89000000000001
2017-10-21,5008455.83,212.9875
2017-10-22,6993259.3,207.5775
2017-10-23,9440959.57,212.165
2017-10-24,9149273.72,216.465
2017-10-25,8628574.58,225.53500000000003
2017-10-26,63509585.64,238.9675
2017-10-27,8716350.22,236.435
2017-10-28,11231816.45,231.04999999999998
2017-10-29,10457233.89,237.07
2017-10-30,6813678.26,235.4925
2017-10-31,10545015.86,226.41750000000002
2017-11-01,10311217.42,217.5375
2017-11-02,13392063.35,225.695
2017-11-03,7367143.47,229.7675
2017-11-04,7993604.47,227.58749999999998
2017-11-05,10311063.1,227.475
2017-11-06,12902149.08,233.945
2017-11-07,15400452.32,244.0375
2017-11-08,25515465.94,256.085
2017-11-09,27258605.59,249.6425
2017-11-10,17573689.61,247.8675
2017-11-11,28304317.34,261.0425
2017-11-12,26860170.17,272.995
2017-11-13,12337190.77,267.065
2017-11-14,21152237.06,280.1325
2017-11-15,42443115.66,297.195
2017-11-16,13347844.81,290.9425
2017-11-17,14708744.09,294.255
2017-11-18,12076482.36,298.5375
2017-11-19,13276353.02,301.82
2017-11-20,21696581.02,296.0575
2017-11-21,27984266.24,304.78749999999997
2017-11-22,25042740.17,312.565
2017-11-23,32767630.66,327.99
2017-11-24,31629741.38,348.1
2017-11-25,8748950.27,338.90250000000003
2017-11-26,24046069.97,338.3325
2017-11-27,30554697.59,354.1225
2017-11-28,50383244.67,323.0875
2017-11-29,26443119.95,295.9625
2017-11-30,17598183.38,313.66749999999996
2017-12-01,15280797.54,327.7325
2017-12-02,21610943.59,322.015
2017-12-03,13549875.13,321.6225
2017-12-04,15672960.97,322.4475
2017-12-05,34826574.87,319.62
2017-12-06,18434021.71,301.3575
2017-12-07,22031767.51,305.03499999999997
2017-12-08,26067533.15,316.61
2017-12-09,24912673.02,297.415
2017-12-10,24236748.41,300.63750000000005
2017-12-11,47695635.5,342.27
2017-12-12,77033146.5,388.2875
2017-12-13,102177176.84,462.6975
2017-12-14,51983071.48,470.78
2017-12-15,26286947.58,468.3425
2017-12-16,53810544.01,501.88
2017-12-17,68945954.77,544.325
2017-12-18,66368291.75,581.4325000000001
2017-12-19,73303856.35,618.6475
