Dates,Volume,Price
2016-11-06,16107.88,5.24
2016-11-07,45974.71,5.202500000000001
2016-11-08,31381.81,6.147499999999999
2016-11-09,26984.0,5.3475
2016-11-10,26828.32,4.7075
2016-11-11,33390.23,3.71
2016-11-12,51802.35,4.32
2016-11-13,38857.57,4.6450000000000005
2016-11-14,38310.77,5.5275
2016-11-15,48629.13,4.665
2016-11-16,42896.91,3.7675
2016-11-17,23838.39,3.4375
2016-11-18,15597.07,2.7675
2016-11-19,19459.65,2.5675
2016-11-20,26324.16,2.2499999999999996
2016-11-21,19671.93,1.705
2016-11-22,9700.67,1.4100000000000001
2016-11-23,11824.66,1.34
2016-11-24,16461.55,1.5225
2016-11-25,10633.16,1.5999999999999999
2016-11-26,19004.92,1.33
2016-11-27,14532.51,1.114325
2016-11-28,11829.09,0.8573500000000001
2016-11-29,5415.19,0.759425
2016-11-30,6637.87,0.7229
2016-12-01,4647.6,0.6523750000000001
2016-12-02,3520.97,0.5791000000000001
2016-12-03,4498.16,0.560125
2016-12-04,2376.08,0.512025
2016-12-05,4036.14,0.46504999999999996
2016-12-06,2548.79,0.42874999999999996
2016-12-07,2673.27,0.40175000000000005
2016-12-08,3213.4,0.4025500000000001
2016-12-09,2157.79,0.3991
2016-12-10,7219.37,0.4747
2016-12-11,3858.53,0.5071
2016-12-12,2455.78,0.45654999999999996
2016-12-13,1829.87,0.41659999999999997
2016-12-14,1216.2,0.39332500000000004
2016-12-15,23141.14,0.475075
2016-12-16,2741.63,0.500725
2016-12-17,4355.01,0.474975
2016-12-18,2474.99,0.44415000000000004
2016-12-19,1921.17,0.43955
2016-12-20,3683.61,0.45792499999999997
2016-12-21,4861.13,0.452775
2016-12-22,3512.64,0.48777499999999996
2016-12-23,3450.57,0.472325
2016-12-24,2708.08,0.42605
2016-12-25,1386.85,0.40167500000000006
2016-12-26,5164.91,0.39835
2016-12-27,2147.16,0.40097499999999997
2016-12-28,3759.24,0.39230000000000004
2016-12-29,1956.02,0.384825
2016-12-30,2568.13,0.40547500000000003
2016-12-31,2908.79,0.39957499999999996
2017-01-01,6433.5,0.42332499999999995
2017-01-02,1544.71,0.42515000000000003
2017-01-03,9021.36,0.43472500000000003
2017-01-04,5330.66,0.37627499999999997
2017-01-05,4213.71,0.334
2017-01-06,2051.3,0.333425
2017-01-07,3594.64,0.346975
2017-01-08,3509.05,0.365275
2017-01-09,2345.41,0.368325
2017-01-10,9690.2,0.366975
2017-01-11,13305.86,0.48465
2017-01-12,13210.89,0.56855
2017-01-13,42080.68,0.8614499999999999
2017-01-14,20688.28,0.8461000000000001
2017-01-15,8010.94,0.7656
2017-01-16,13527.52,0.906725
2017-01-17,30301.12,1.01615
2017-01-18,7796.84,1.0625
2017-01-19,9875.32,1.08
2017-01-20,19174.59,1.065
2017-01-21,10676.63,0.9929749999999999
2017-01-22,7093.39,0.9595
2017-01-23,6414.34,0.9051750000000001
2017-01-24,15671.31,0.8458
2017-01-25,4972.83,0.84745
2017-01-26,6759.71,0.8289500000000001
2017-01-27,6125.76,0.822875
2017-01-28,7287.31,0.81365
2017-01-29,8714.2,0.8137
2017-01-30,7975.77,0.858325
2017-01-31,7297.64,0.8464749999999999
2017-02-01,14743.4,0.7741
2017-02-02,5623.3,0.7418
2017-02-03,9531.49,0.7257499999999999
2017-02-04,9657.71,0.7227999999999999
2017-02-05,8132.51,0.65975
2017-02-06,8235.07,0.67125
2017-02-07,14579.52,0.774975
2017-02-08,10055.96,0.764375
2017-02-09,11062.41,0.7921750000000001
2017-02-10,6601.22,0.7825
2017-02-11,5790.97,0.7746
2017-02-12,6492.04,0.7669249999999999
2017-02-13,4784.27,0.7616499999999999
2017-02-14,6265.74,0.7592749999999999
2017-02-15,7174.52,0.748275
2017-02-16,8872.8,0.7172499999999999
2017-02-17,6778.61,0.6439750000000001
2017-02-18,4525.89,0.596525
2017-02-19,5747.5,0.5560750000000001
2017-02-20,8061.07,0.589375
2017-02-21,4985.36,0.58125
2017-02-22,8170.61,0.60965
2017-02-23,6308.63,0.581575
2017-02-24,2559.22,0.531475
2017-02-25,4843.14,0.49394999999999994
2017-02-26,14881.29,0.580325
2017-02-27,64905.34,0.785475
2017-02-28,50936.28,1.059975
2017-03-01,107398.13,1.4149999999999998
2017-03-02,48127.24,1.3475
2017-03-03,30808.48,1.0678
2017-03-04,17844.2,0.912175
2017-03-05,11134.59,0.91305
2017-03-06,8459.37,0.8813500000000001
2017-03-07,8416.57,0.82445
2017-03-08,25727.05,1.038625
2017-03-09,21929.29,0.9386749999999999
2017-03-10,28518.43,0.9204749999999999
2017-03-11,28813.48,1.0015
2017-03-12,73902.5,1.23
2017-03-13,50305.31,1.32
2017-03-14,401149.51,2.07
2017-03-15,188778.07,2.3275
2017-03-16,68665.27,1.9825
2017-03-17,101185.9,1.9975
2017-03-18,54078.6,2.3125
2017-03-19,54764.98,2.4200000000000004
2017-03-20,81893.8,2.425
2017-03-21,52330.15,2.0399999999999996
2017-03-22,47404.74,2.045
2017-03-23,32658.76,1.8675
2017-03-24,35216.12,1.9774999999999998
2017-03-25,35440.17,1.9125
2017-03-26,47940.81,1.9525000000000001
2017-03-27,46411.84,2.0
2017-03-28,38136.68,2.005
2017-03-29,56274.03,2.0324999999999998
2017-03-30,78822.92,2.1799999999999997
2017-03-31,307461.01,3.0375
2017-04-01,137764.21,3.2
2017-04-02,49931.32,3.035
2017-04-03,60729.07,2.945
2017-04-04,35163.39,2.9574999999999996
2017-04-05,46184.76,3.0075000000000003
2017-04-06,31209.98,2.965
2017-04-07,67203.85,3.0324999999999998
2017-04-08,80269.26,3.1325
2017-04-09,25255.03,3.12
2017-04-10,51203.35,3.2024999999999997
2017-04-11,85693.14,3.1750000000000003
2017-04-12,55205.96,3.1875
2017-04-13,32461.02,3.3625
2017-04-14,326125.02,4.09
2017-04-15,176038.24,4.4375
2017-04-16,103821.89,4.345
2017-04-17,89852.75,4.28
2017-04-18,136789.7,4.4725
2017-04-19,148608.82,4.7125
2017-04-20,85995.45,4.54
2017-04-21,60976.72,4.3725000000000005
2017-04-22,78256.93,4.390000000000001
2017-04-23,63177.4,4.275
2017-04-24,95089.0,4.135
2017-04-25,88561.35,3.875
2017-04-26,52431.09,4.1049999999999995
2017-04-27,78687.3,4.234999999999999
2017-04-28,222811.88,4.6925
2017-04-29,90445.13,5.035
2017-04-30,233025.43,5.055
2017-05-01,112609.88,5.04
2017-05-02,124594.78,5.442500000000001
2017-05-03,217422.4,6.045
2017-05-04,262171.53,6.9425
2017-05-05,670818.22,8.7225
2017-05-06,344423.47,8.89
2017-05-07,259278.39,8.5175
2017-05-08,313798.38,7.680000000000001
2017-05-09,295130.18,8.8275
2017-05-10,282423.03,8.9225
2017-05-11,281906.22,8.697499999999998
2017-05-12,344126.27,9.467500000000001
2017-05-13,266327.03,8.485000000000001
2017-05-14,300075.33,7.665
2017-05-15,456015.23,8.48
2017-05-16,671221.37,10.11
2017-05-17,598109.82,9.622499999999999
2017-05-18,1344441.96,5.84241
2017-05-19,1048254.81,4.955
2017-05-20,497516.88,4.0825
2017-05-21,397428.03,3.4725
2017-05-22,368201.17,3.7300000000000004
2017-05-23,403044.4,4.225
2017-05-24,150731.94,3.5200000000000005
2017-05-25,95559.19,3.1125
2017-05-26,166560.96,2.7800000000000002
2017-05-27,153885.07,3.0774999999999997
2017-05-28,75424.52,3.1275
2017-05-29,266088.04,3.2575000000000003
2017-05-30,459778.18,4.195
2017-05-31,787759.85,4.66
2017-06-01,273475.82,4.23
2017-06-02,334705.92,4.05
2017-06-03,257606.6,3.7199999999999998
2017-06-04,343972.11,3.725
2017-06-05,289859.62,3.8949999999999996
2017-06-06,205381.0,3.4524999999999997
2017-06-07,868863.71,4.23
2017-06-08,587871.94,3.915
2017-06-09,145778.55,3.5925000000000002
2017-06-10,171774.55,3.5824999999999996
2017-06-11,134467.78,3.155
2017-06-12,167032.04,3.0500000000000003
2017-06-13,84554.04,2.745
2017-06-14,80752.95,2.725
2017-06-15,125199.42,2.9375
2017-06-16,308011.24,3.4775
2017-06-17,359226.31,3.6875
2017-06-18,235277.72,3.38
2017-06-19,167856.78,3.4724999999999997
2017-06-20,114491.7,3.165
2017-06-21,139279.8,3.2124999999999995
2017-06-22,98452.35,3.2475
2017-06-23,81546.97,3.1175
2017-06-24,125990.12,2.995
2017-06-25,255999.85,2.295
2017-06-26,251295.46,2.4025
2017-06-27,86582.45,2.3875
2017-06-28,96893.35,2.3875
2017-06-29,65687.82,2.2175000000000002
2017-06-30,67582.0,1.9024999999999999
2017-07-01,46458.3,1.8075
2017-07-02,78608.14,1.8699999999999999
2017-07-03,121442.94,2.0275
2017-07-04,80052.18,1.9449999999999998
2017-07-05,39415.03,1.85
2017-07-06,41758.51,1.6975
2017-07-07,41619.22,1.61
2017-07-08,62013.45,1.4825
2017-07-09,39209.78,1.3175
2017-07-10,49176.44,1.1615
2017-07-11,50294.88,1.165
2017-07-12,16550.54,1.1425
2017-07-13,29587.35,1.0675
2017-07-14,94681.3,1.087875
2017-07-15,43388.62,1.0648
2017-07-16,41631.27,1.1925
2017-07-17,72566.71,1.2625
2017-07-18,72169.89,1.3499999999999999
2017-07-19,31880.25,1.6225
2017-07-20,38617.52,1.4449999999999998
2017-07-21,78668.83,1.7675
2017-07-22,43592.78,1.7725
2017-07-23,32918.29,1.6975
2017-07-24,53814.7,1.4675
2017-07-25,21091.41,1.345
2017-07-26,33552.55,1.3900000000000001
2017-07-27,56015.09,1.3075
2017-07-28,29372.71,1.21
2017-07-29,14096.28,1.2475
2017-07-30,42461.55,1.19
2017-07-31,43697.29,1.1425
2017-08-01,35085.48,1.14
2017-08-02,47406.48,1.26
2017-08-03,362843.35,1.53
2017-08-04,130182.31,1.6375000000000002
2017-08-05,49743.19,1.5975
2017-08-06,53525.85,1.52
2017-08-07,99478.4,1.42
2017-08-08,71268.42,1.5250000000000001
2017-08-09,139186.69,1.4900000000000002
2017-08-10,111083.5,1.56
2017-08-11,85054.2,1.6024999999999998
2017-08-12,40808.42,1.6025
2017-08-13,54975.37,1.5499999999999998
2017-08-14,44491.78,1.3199999999999998
2017-08-15,30536.29,1.34
2017-08-16,86606.78,1.3875000000000002
2017-08-17,69173.77,1.385
2017-08-18,43506.88,1.3225
2017-08-19,65606.79,1.3375
2017-08-20,1714981.56,1.93
2017-08-21,637062.4,2.2424999999999997
2017-08-22,460874.48,2.375
2017-08-23,271834.28,2.4475
2017-08-24,135360.29,2.1075
2017-08-25,187991.13,2.0225
2017-08-26,1520794.28,2.8024999999999998
2017-08-27,998138.1,3.4375
2017-08-28,471369.31,3.385
2017-08-29,290025.96,2.935
2017-08-30,341488.12,2.71
2017-08-31,457909.54,3.1075
2017-09-01,162554.94,2.9275
2017-09-02,131609.45,2.5925
2017-09-03,178626.88,2.0575
2017-09-04,231358.51,2.09
2017-09-05,121629.82,2.28
2017-09-06,60338.55,2.1475
2017-09-07,235500.47,2.045
2017-09-08,122258.82,2.1125000000000003
2017-09-09,54948.14,1.9224999999999999
2017-09-10,42656.11,1.855
2017-09-11,68841.99,1.7875
2017-09-12,78950.39,1.64
2017-09-13,60515.29,1.355
2017-09-14,60413.7,1.4775
2017-09-15,38569.8,1.4975
2017-09-16,49223.75,1.5150000000000001
2017-09-17,827194.49,2.105
2017-09-18,338695.07,2.115
2017-09-19,114827.46,1.8575
2017-09-20,232662.57,1.7374999999999998
2017-09-21,117426.62,1.7275
2017-09-22,61481.35,1.7725
2017-09-23,65557.56,1.735
2017-09-24,123737.87,1.9425000000000001
2017-09-25,93123.83,1.92
2017-09-26,110789.93,2.0549999999999997
2017-09-27,258442.01,2.15
2017-09-28,88464.42,2.0275
2017-09-29,144406.02,2.0999999999999996
2017-09-30,1100411.07,2.3074999999999997
2017-10-01,517570.91,2.3275
2017-10-02,141988.43,2.215
2017-10-03,68828.09,2.1475
2017-10-04,74489.22,2.0549999999999997
2017-10-05,35315.16,2.04
2017-10-06,73941.03,1.9625000000000001
2017-10-07,74352.41,1.9075000000000002
2017-10-08,62293.54,1.7674999999999998
2017-10-09,30953.59,1.6575
2017-10-10,57478.96,1.7574999999999998
2017-10-11,182612.63,1.9925
2017-10-12,103495.29,1.7824999999999998
2017-10-13,49339.9,1.7125
2017-10-14,55447.73,1.6974999999999998
2017-10-15,29838.8,1.68
2017-10-16,44086.15,1.5574999999999999
2017-10-17,63741.28,1.5225
2017-10-18,1745388.98,2.2474999999999996
2017-10-19,3848016.68,2.6425
2017-10-20,434138.48,1.845
2017-10-21,186565.91,1.775
2017-10-22,108752.03,1.6475
2017-10-23,372212.4,1.69
2017-10-24,135181.48,1.8225
2017-10-25,125178.66,1.8150000000000002
2017-10-26,105267.78,1.7899999999999998
2017-10-27,121391.17,1.8199999999999998
2017-10-28,145257.18,1.9324999999999999
2017-10-29,126164.81,1.8725
2017-10-30,90493.14,1.91
2017-10-31,159569.17,1.79
2017-11-01,89451.83,1.6675
2017-11-02,100421.17,1.6974999999999998
2017-11-03,87235.44,1.6925
2017-11-04,43029.02,1.6799999999999997
2017-11-05,105631.53,1.62
2017-11-06,127802.48,1.7225000000000001
2017-11-07,157954.49,1.7874999999999999
2017-11-08,228692.16,1.8875000000000002
2017-11-09,229951.84,1.755
2017-11-10,187177.31,1.7275
2017-11-11,412501.52,1.745
2017-11-12,149259.05,1.9025
