Dates,Volume,Price
2017-06-05,1760707.3,17.902499999999996
2017-06-06,1028737.84,14.47
2017-06-07,1363158.19,10.69
2017-06-08,1025837.91,9.22
2017-06-09,445373.11,8.8975
2017-06-10,421175.69,9.3
2017-06-11,520275.08,9.422500000000001
2017-06-12,248797.9,9.92
2017-06-13,307937.33,9.207500000000001
2017-06-14,265590.56,8.725000000000001
2017-06-15,241066.12,8.672500000000001
2017-06-16,190839.72,8.727500000000001
2017-06-17,299488.87,7.455
2017-06-18,467015.15,7.0375
2017-06-19,246108.15,7.352500000000001
2017-06-20,286797.03,7.2425
2017-06-21,224475.47,7.359999999999999
2017-06-22,641176.91,8.5275
2017-06-23,194184.09,8.535
2017-06-24,178213.6,7.56
2017-06-25,260895.99,6.7250000000000005
2017-06-26,172665.05,6.7325
2017-06-27,263418.25,6.1525
2017-06-28,143170.19,6.145
2017-06-29,144855.89,5.49
2017-06-30,143071.62,4.99
2017-07-01,121820.29,5.0725
2017-07-02,149930.53,5.015000000000001
2017-07-03,180133.54,5.465
2017-07-04,107757.25,5.732499999999999
2017-07-05,102415.48,5.307499999999999
2017-07-06,98202.8,5.2025
2017-07-07,73334.48,4.9350000000000005
2017-07-08,72675.61,4.6925
2017-07-09,111087.53,4.2925
2017-07-10,92172.46,4.205
2017-07-11,76634.77,4.1875
2017-07-12,99193.33,4.275
2017-07-13,61481.08,3.9800000000000004
2017-07-14,51186.93,3.6225000000000005
2017-07-15,60644.57,3.4450000000000003
2017-07-16,82573.16,3.815
2017-07-17,88922.69,3.9974999999999996
2017-07-18,89343.68,4.0475
2017-07-19,108149.37,4.9725
2017-07-20,103057.28,4.1975
2017-07-21,55532.84,4.2825
2017-07-22,56830.31,4.0925
2017-07-23,55434.7,3.995
2017-07-24,79215.85,3.7075000000000005
2017-07-25,55436.71,3.8049999999999997
2017-07-26,74812.08,3.8875
2017-07-27,138881.5,4.1125
2017-07-28,50957.95,4.025
2017-07-29,59514.71,3.8874999999999997
2017-07-30,105541.04,3.575
2017-07-31,60844.6,3.54
2017-08-01,129907.44,3.7800000000000002
2017-08-02,385571.4,4.6975
2017-08-03,180245.64,5.255000000000001
2017-08-04,151350.98,5.615
2017-08-05,128076.29,5.254999999999999
2017-08-06,153958.17,5.1899999999999995
2017-08-07,161620.26,5.3375
2017-08-08,124683.03,5.3025
2017-08-09,183132.18,5.0625
2017-08-10,246801.61,5.3925
2017-08-11,228680.01,5.765000000000001
2017-08-12,268107.01,6.220000000000001
2017-08-13,205749.29,6.245
2017-08-14,221814.49,5.7075000000000005
2017-08-15,180969.6,6.0424999999999995
2017-08-16,1066465.89,6.615
2017-08-17,307486.62,7.114999999999999
2017-08-18,346620.52,7.265
2017-08-19,201442.98,7.4725
2017-08-20,269371.78,7.095000000000001
2017-08-21,181240.51,6.845000000000001
2017-08-22,266492.03,7.199999999999999
2017-08-23,891727.72,8.695
2017-08-24,362860.6,8.8275
2017-08-25,307734.84,8.717500000000001
2017-08-26,378177.68,8.997499999999999
2017-08-27,986974.96,10.48
2017-08-28,557324.96,11.6325
2017-08-29,296211.73,11.342500000000001
2017-08-30,850450.94,12.299999999999999
2017-08-31,324765.23,12.9175
2017-09-01,342082.31,11.192499999999999
2017-09-02,365025.53,10.032499999999999
2017-09-03,572373.3,8.42
2017-09-04,308639.55,8.4875
2017-09-05,331082.32,9.7125
2017-09-06,287380.22,10.21
2017-09-07,250307.6,8.805
2017-09-08,160439.63,8.3625
2017-09-09,155296.62,8.0825
2017-09-10,186498.53,8.1675
2017-09-11,122353.14,7.8075
2017-09-12,191344.64,6.9399999999999995
2017-09-13,133697.26,5.745
2017-09-14,169297.8,6.807499999999999
2017-09-15,100035.59,6.965
2017-09-16,75988.09,6.8625
2017-09-17,124899.4,7.46
2017-09-18,92147.5,6.922499999999999
2017-09-19,147436.97,6.807500000000001
2017-09-20,884371.19,6.8725
2017-09-21,475073.3,7.0024999999999995
2017-09-22,149921.51,7.182499999999999
2017-09-23,132346.85,6.9125
2017-09-24,267517.09,7.827499999999999
2017-09-25,218838.91,7.91
2017-09-26,395064.11,8.795
2017-09-27,331241.34,8.81
2017-09-28,220908.42,8.322500000000002
2017-09-29,143544.69,8.2875
2017-09-30,177014.19,8.1175
2017-10-01,159070.19,7.875
2017-10-02,228537.08,7.442500000000001
2017-10-03,178840.82,7.035
2017-10-04,157379.26,7.0325
2017-10-05,134965.3,7.075
2017-10-06,198825.51,6.5874999999999995
2017-10-07,136069.2,6.4175
2017-10-08,243306.12,5.9975
2017-10-09,152737.02,5.907500000000001
2017-10-10,179776.88,5.8475
2017-10-11,350115.69,6.97
2017-10-12,924097.46,7.605
2017-10-13,247893.31,7.485
2017-10-14,118221.27,7.055
2017-10-15,177288.33,7.0775
2017-10-16,216717.85,7.047499999999999
2017-10-17,390271.81,7.567500000000001
2017-10-18,51893368.5,17.035
2017-10-19,13706746.87,20.51
2017-10-20,11028866.06,19.87
2017-10-21,8423505.37,22.315
2017-10-22,3968296.96,22.927500000000002
2017-10-23,6723865.7,22.155
2017-10-24,4925628.85,25.282500000000002
2017-10-25,3729406.78,22.990000000000002
2017-10-26,1727367.75,21.240000000000002
2017-10-27,1431340.37,20.1875
2017-10-28,1797651.27,19.654999999999998
2017-10-29,1440578.18,19.1175
2017-10-30,2190055.57,18.822499999999998
2017-10-31,1241243.2,17.612499999999997
2017-11-01,1771265.98,16.79
2017-11-02,17506028.88,22.002500000000005
2017-11-03,2775205.51,21.9175
2017-11-04,1708837.38,20.525
2017-11-05,1354941.84,20.4125
2017-11-06,1091073.79,21.289999999999996
2017-11-07,2920611.19,23.8925
2017-11-08,2032966.8,25.4425
2017-11-09,2173771.44,23.7225
2017-11-10,1213747.07,21.950000000000003
2017-11-11,1475918.94,20.224999999999998
2017-11-12,1276658.35,23.16
2017-11-13,818842.56,23.23
2017-11-14,1210041.95,23.9375
2017-11-15,1224313.36,23.3075
2017-11-16,919793.06,21.310000000000002
2017-11-17,1024104.38,22.009999999999998
2017-11-18,842434.26,22.232499999999998
2017-11-19,1504135.75,21.7575
2017-11-20,1171320.34,21.4225
2017-11-21,2384178.37,23.735
2017-11-22,2694204.45,25.335
2017-11-23,3631393.41,29.447499999999998
2017-11-24,2375667.99,33.185
2017-11-25,2031173.25,33.76
2017-11-26,2012435.32,32.1875
2017-11-27,1356257.24,32.2975
2017-11-28,2291394.94,29.555
2017-11-29,1362276.15,28.73
2017-11-30,1483216.79,31.185000000000002
2017-12-01,1537922.52,29.1375
2017-12-02,1118950.13,30.2225
2017-12-03,3090184.37,33.5975
2017-12-04,3145794.35,35.6575
2017-12-05,4085330.32,39.987500000000004
2017-12-06,3170358.83,35.1125
2017-12-07,2195798.67,27.905
2017-12-08,1399088.49,28.7725
2017-12-09,799128.73,27.4075
2017-12-10,1397548.72,28.277500000000003
2017-12-11,2116163.8,29.839999999999996
2017-12-12,2281083.6,29.9625
2017-12-13,3147314.29,33.315000000000005
2017-12-14,2394233.38,34.2575
2017-12-15,2072127.97,33.9075
2017-12-16,2533126.59,33.46
2017-12-17,3330595.89,37.5275
2017-12-18,3895094.69,38.092499999999994
2017-12-19,3771309.15,38.102500000000006
2017-12-20,7463791.76,43.739999999999995
2017-12-21,5400089.78,39.9625
2017-12-22,2275143.01,43.762499999999996
2017-12-23,2029079.03,43.785
2017-12-24,2938031.87,43.120000000000005
2017-12-25,2947533.24,44.925
2017-12-26,3869381.25,42.927499999999995
2017-12-27,2805942.93,42.345
2017-12-28,4643415.7,43.295
2017-12-29,11541601.52,48.1425
2017-12-30,6719863.6,58.9025
2017-12-31,3410711.04,57.98
2018-01-01,6322473.48,54.675000000000004
2018-01-02,3824598.1,52.214999999999996
2018-01-03,6004624.31,52.575
2018-01-04,4626164.68,54.3025
2018-01-05,3309012.28,50.475
2018-01-06,2800000.58,52.335
2018-01-07,3794269.56,50.61
2018-01-08,5608613.37,54.06
2018-01-09,9445871.82,61.410000000000004
2018-01-10,3637223.38,54.275
2018-01-11,3262491.37,54.967499999999994
2018-01-12,2698007.29,56.370000000000005
2018-01-13,1636645.29,52.6275
2018-01-14,2202209.1,49.5625
2018-01-15,1769528.01,39.075
2018-01-16,1784837.66,39.0075
2018-01-17,350292.84,40.567499999999995
2018-01-18,1201546.71,42.615
2018-01-19,1196283.88,44.982499999999995
2018-01-20,914988.38,38.565
2018-01-21,1035267.95,36.39
2018-01-22,574814.84,36.489999999999995
2018-01-23,809718.44,38.102500000000006
2018-01-24,1041891.13,37.9625
2018-01-25,2538146.89,40.7
2018-01-26,1303637.21,45.95
2018-01-27,1814694.99,48.6125
2018-01-28,4043758.2,48.787499999999994
2018-01-29,3674048.02,46.14
2018-01-30,1889183.44,47.790000000000006
2018-01-31,1320849.99,41.912499999999994
2018-02-01,2507595.98,39.105000000000004
2018-02-02,890603.56,42.3275
2018-02-03,784552.81,36.7375
2018-02-04,838088.77,29.89
2018-02-05,1927344.57,32.852500000000006
2018-02-06,1569801.83,36.265
2018-02-07,1205092.36,39.980000000000004
2018-02-08,701537.34,41.0875
2018-02-09,810782.03,37.995
2018-02-10,449052.37,34.8875
2018-02-11,745154.99,38.004999999999995
2018-02-12,787795.08,36.7825
2018-02-13,993864.67,40.8375
2018-02-14,1311966.68,43.5725
2018-02-15,736560.0,44.7225
2018-02-16,621414.19,47.36750000000001
2018-02-17,785673.03,43.26
2018-02-18,899233.57,44.665000000000006
2018-02-19,1139674.1,41.19
2018-02-20,982355.46,35.65
2018-02-21,419093.44,32.9925
2018-02-22,562345.5,34.455
2018-02-23,634067.04,33.925
2018-02-24,647266.76,34.4875
2018-02-25,1038715.58,36.842499999999994
2018-02-26,1730689.13,39.144999999999996
2018-02-27,1200662.16,38.1925
2018-02-28,1830030.51,40.26
2018-03-01,1771715.45,39.3875
2018-03-02,2118070.49,40.29
2018-03-03,2446317.91,40.4875
2018-03-04,318368.27,39.335
