,Coin_Name,Twitter_Mentions
0,bitcoin,1000
1,ethereum,1000
2,ripple,1000
3,bitcoin cash,1000
4,litecoin,1000
5,neo,1000
6,cardano,1000
7,stellar,1000
8,eos,1000
9,iota,1000
10,dash,1000
11,monero,1000
12,ethereum classic,567
13,nem,1000
14,tron,1000
15,vechain,713
16,tether,467
17,qtum,1000
18,bitcoin gold,771
19,lisk,1000
20,nano,1000
21,omisego,1000
22,icon,1000
23,zcash,1000
24,binance coin,561
25,bytecoin,522
26,steem,1000
27,verge,1000
28,digixdao,271
29,populous,454
30,stratis,375
31,dogecoin,1000
32,siacoin,647
33,rchain,117
34,waves,1000
35,maker,1000
36,status,1000
37,bitshares,1000
38,waltonchain,1000
39,0x,1000
40,aeternity,169
41,decred,103
42,augur,343
43,veritaseum,28
44,electroneum,870
45,revain,859
46,gas,1000
47,ardor,868
48,kucoin shares,18
49,komodo,1000
50,hshare,48
51,ark,1000
52,basic attention token,87
53,loopring,52
54,digibyte,554
55,zilliqa,101
56,cryptonex,30
57,syscoin,114
58,bytom,70
59,dragonchain,186
60,monacoin,1000
61,golem,1000
62,aelf,1000
63,nebulas,177
64,pivx,1000
65,qash,904
66,aion,1000
67,dent,1000
68,polymath,381
69,byteball bytes,7
70,factom,143
71,reddcoin,444
72,zclassic,783
73,ethos,1000
74,kyber network,133
75,dentacoin,95
76,chainlink,426
77,gxshares,3
78,iostoken,269
79,bitcore,98
80,funfair,1000
81,power ledger,37
82,zcoin,92
83,salt,1000
84,nxt,1000
85,kin,1000
86,bancor,213
87,cindicator,102
88,enigma,1000
89,request network,218
90,pillar,1000
91,neblio,88
92,particl,248
93,vertcoin,261
94,singularitynet,144
95,quantstamp,68
96,tenx,1000
97,smartcash,807
98,maidsafecoin,56
99,emercoin,38
100,ignis,1000
101,wax,1000
102,raiden network token,1
103,iconomi,71
104,gnosis,402
105,blocknet,345
106,enjin coin,26
107,gamecredits,1000
108,po.et,279
109,santiment network token,1
110,digitalnote,39
111,bitcoindark,6
112,pura,1000
113,xpa,519
114,zencash,670
115,bridgecoin,24
116,skycoin,1000
117,storj,1000
118,civic,1000
119,storm,1000
120,substratum,583
121,iexec rlc,28
122,time new bank,92
123,decentraland,453
124,achain,326
125,aragon,1000
126,ethlend,83
127,blockv,33
128,high performance blockchain,18
129,nav coin,230
130,experience points,197
131,adex,412
132,red pulse,55
133,paccoin,617
134,bluzelle,44
135,dynamic trading rights,0
136,telcoin,204
137,supernet,829
138,dew,1000
139,genesis vision,60
140,oyster,1000
141,monaco,1000
142,medishares,27
143,ubiq,174
144,medibloc,172
145,nexus,1000
146,asch,936
147,sophiatx,49
148,iot chain,98
149,ink,1000
150,paypie,986
151,vibe,1000
152,crypto20,20
153,metal,1000
154,bibox token,7
155,sonm,257
156,eidoo,165
157,data,1000
158,peercoin,890
159,deepbrain chain,4
160,minexcoin,66
161,edgeless,79
162,htmlcoin,828
163,wagerr,13
164,u.cash,62
165,simple token,71
166,appcoins,43
167,ambrosus,92
168,xtrabytes,62
169,singulardtv,29
170,theta token,83
171,jibrel network,25
172,ripio credit network,1
173,airswap,126
174,cybermiles,74
175,wabi,1000
176,sirin labs token,8
177,einsteinium,58
178,nuls,1000
179,wings,1000
180,melon,1000
181,coindash,153
182,streamr datacoin,6
183,metaverse etp,6
184,bitbay,148
185,etherparty,181
186,gifto,1000
187,blockmason credit protocol,19
188,ins ecosystem,80
189,quantum resistant ledger,2
190,bread,1000
191,viacoin,180
192,utrust,115
193,wepower,55
194,mobilego,84
195,naga,1000
196,gulden,392
197,burst,1000
198,lbry credits,31
199,tierion,144
200,counterparty,51
201,modum,305
202,cobinhood,144
203,triggers,1000
204,delphy,81
205,bottos,75
206,taas,1000
207,unikoin gold,5
208,aeon,1000
209,spankchain,60
210,trinity network credit,0
211,bean cash,16
212,district0x,79
213,cloakcoin,57
214,hive project,23
215,ion,1000
216,atmchain,278
217,qlink,225
218,medicalchain,53
219,indahash,53
220,centra,1000
221,ecc,1000
222,lunyr,44
223,everex,78
224,stk,1000
225,groestlcoin,19
226,crown,1000
227,nimiq,205
228,feathercoin,107
229,origintrail,54
230,presearch,208
231,coss,1000
232,datum,793
233,pepe cash,26
234,namecoin,38
235,mintcoin,538
236,decent,1000
237,lykke,425
238,steem dollars,40
239,salus,420
240,agoras tokens,0
241,deeponion,204
242,internet node token,8
243,viberate,806
244,tokencard,5
245,mercury,1000
246,aeron,910
247,bitcny,63
248,safe exchange coin,6
249,cappasity,68
